model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
922CA/Silicon-Natsuki-7b,False,0.025962412357330322,4096,4096,1.5292271375656128,2.6531201210256827,0.6246050000190735,3.1189820766448975,2.4569839255189887,1.734941825090289,model.layers.0.self_attn.q_proj,2587,286.4071960449219,2638,54.31775665283203,5.272809734677971,54.31775665283203,1.0013072824222036e-05,16777216
922CA/Silicon-Natsuki-7b,False,0.025416553020477295,1024,4096,1.527601957321167,1.7327432049911013,0.595861554145813,2.1939520835876465,1.892426538353925,1.1342897255968918,model.layers.0.self_attn.k_proj,1024,78.05963897705078,1024,13.62353229522705,5.729765033433998,13.62353229522705,8.570090722059831e-05,4194304
922CA/Silicon-Natsuki-7b,False,0.04444718360900879,1024,4096,4.907826900482178,-2.781810625193222,0.9840598106384277,-2.307373046875,1.4600419582855872,-0.5668110717026141,model.layers.0.self_attn.v_proj,1024,28.843101501464844,1024,0.2711370885372162,106.37829614927745,0.2711370885372162,0.0014640914741903543,4194304
922CA/Silicon-Natsuki-7b,False,0.038068950176239014,4096,4096,3.7744905948638916,-0.3561445646618713,1.08904230594635,0.034381791949272156,1.830835346877468,-0.09435566355536618,model.layers.0.self_attn.o_proj,3951,67.73846435546875,3951,0.8047191500663757,84.17652835760336,0.8047191500663757,1.0124267646460794e-05,16777216
922CA/Silicon-Natsuki-7b,False,0.01986590027809143,14336,4096,2.3909108638763428,1.4124660286749355,1.1359490156173706,2.6146059036254883,2.7835399990292684,0.590764821062768,model.layers.0.mlp.gate_proj,4096,607.4912109375,4096,3.897308826446533,155.87453753091336,3.897308826446533,0.00041025978862307966,58720256
922CA/Silicon-Natsuki-7b,False,0.04702123999595642,14336,4096,3.2854654788970947,0.6459376616149338,1.1643462181091309,1.9234950542449951,2.7332224486962104,0.1966046107511591,model.layers.0.mlp.up_proj,4096,541.0313720703125,4096,1.5725505352020264,344.0470496554223,1.5725505352020264,0.0006672217277809978,58720256
922CA/Silicon-Natsuki-7b,False,0.030712425708770752,4096,14336,4.099793434143066,0.878282319750455,1.187178611755371,1.443599820137024,2.7071025655721876,0.21422599305519216,model.layers.0.mlp.down_proj,4096,509.451171875,4096,1.637668490409851,311.08321058769485,1.637668490409851,0.011218410916626453,58720256
922CA/Silicon-Natsuki-7b,False,0.0523984432220459,4096,4096,2.9605422019958496,2.6795667064603728,0.9499605894088745,3.135922431945801,2.434393648080542,0.9050932307784509,model.layers.1.self_attn.q_proj,3108,271.8902587890625,3108,8.036986351013184,33.829876885978116,8.036986351013184,1.0002478120441083e-05,16777216
922CA/Silicon-Natsuki-7b,False,0.039601147174835205,1024,4096,2.9665286540985107,1.7592453282124425,0.8392460346221924,2.183448076248169,2.0032604458361667,0.5930316316958193,model.layers.1.self_attn.k_proj,1024,100.75357055664062,1024,3.9177041053771973,25.717503886613727,3.9177041053771973,5.291998604661785e-05,4194304
922CA/Silicon-Natsuki-7b,False,0.109576016664505,1024,4096,8.36672592163086,-7.931091120876253,1.0126292705535889,-6.75437593460083,1.4841022666515093,-0.947932464283509,model.layers.1.self_attn.v_proj,1024,30.486127853393555,1024,0.112737275660038,270.41746108292716,0.112737275660038,0.0032625955063849688,4194304
922CA/Silicon-Natsuki-7b,False,0.024743854999542236,4096,4096,3.638701915740967,0.0461382227359464,1.1388440132141113,0.16484110057353973,2.0178750834342094,0.012679857763658292,model.layers.1.self_attn.o_proj,4022,104.20176696777344,4022,1.0296268463134766,101.20342854390623,1.0296268463134766,1.004604473564541e-05,16777216
922CA/Silicon-Natsuki-7b,False,0.019493013620376587,14336,4096,2.7070157527923584,2.0346657353793343,1.1596980094909668,2.4791359901428223,2.7775146989102604,0.7516268545096285,model.layers.1.mlp.gate_proj,4096,599.1212158203125,4096,5.64451789855957,106.14214120451328,5.64451789855957,0.0013786860508844256,58720256
922CA/Silicon-Natsuki-7b,False,0.05834987759590149,14336,4096,3.4314804077148438,0.10315522176523934,1.1788923740386963,1.5119215250015259,2.724471778866006,0.030061433990216022,model.layers.1.mlp.up_proj,4096,530.2391357421875,4096,1.0716708898544312,494.7779591309154,1.0716708898544312,0.00110770168248564,58720256
922CA/Silicon-Natsuki-7b,False,0.061918437480926514,4096,14336,7.610800743103027,4.967823271773345,1.1854811906814575,4.9678754806518555,2.882553580293865,0.6527333245815468,model.layers.1.mlp.down_proj,4096,763.051025390625,4096,4.49503755569458,169.75409347224402,4.49503755569458,0.010217122733592987,58720256
922CA/Silicon-Natsuki-7b,False,0.025553971529006958,4096,4096,3.8634111881256104,1.9247350962030767,1.117061972618103,2.0956478118896484,2.4986111595462246,0.49819576599013,model.layers.2.self_attn.q_proj,4011,315.2181091308594,4011,3.149167537689209,100.09569365819121,3.149167537689209,1.0359663974668365e-05,16777216
