model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
APMIC/caigun-lora-model-34B-v3,False,0.03366643190383911,7168,7168,1.3720329999923706,3.4818086025078663,1.1317007541656494,4.301133155822754,3.8065947465668084,2.537700334122596,model.layers.0.self_attn.q_proj,5850,6406.115234375,6865,344.9056701660156,18.573528325270804,344.9056701660156,1.0011873200710397e-05,51380224
APMIC/caigun-lora-model-34B-v3,False,0.019299864768981934,1024,7168,1.4249390363693237,3.563633345848377,0.6720505952835083,4.371165752410889,3.565752180424713,2.500902322760659,model.layers.0.self_attn.k_proj,1024,3679.189697265625,1024,316.8854675292969,11.610471524464828,316.8854675292969,0.002014518016949296,7340032
APMIC/caigun-lora-model-34B-v3,False,0.027897179126739502,1024,7168,5.511343002319336,1.5582794675177425,1.0174089670181274,1.9396429061889648,2.4511193086698566,0.28274042585663284,model.layers.0.self_attn.v_proj,1024,282.56561279296875,1024,1.9175223112106323,147.35975229126294,1.9175223112106323,0.05399235710501671,7340032
APMIC/caigun-lora-model-34B-v3,False,0.06545871496200562,7168,7168,4.43035888671875,10.427025854073657,1.258346676826477,10.427027702331543,3.402323399699336,2.353539774245289,model.layers.0.self_attn.o_proj,7011,2525.360595703125,7129,225.7042694091797,11.188802951373924,225.7042694091797,1.0113782991538756e-05,51380224
APMIC/caigun-lora-model-34B-v3,False,0.024248838424682617,20480,7168,1.8661041259765625,3.21512151691652,1.2469542026519775,4.947158336639404,4.004525447258315,1.7229057436620774,model.layers.0.mlp.gate_proj,7168,10104.7470703125,7168,52.83305740356445,191.2580412132418,52.83305740356445,0.013950792141258717,146800640
APMIC/caigun-lora-model-34B-v3,False,0.02527216076850891,20480,7168,1.8700402975082397,2.829147154417316,1.2513831853866577,4.909826755523682,3.996371588773104,1.5128803150322756,model.layers.0.mlp.up_proj,7168,9916.80078125,7168,32.57469177246094,304.43268198883743,32.57469177246094,0.0134460823610425,146800640
APMIC/caigun-lora-model-34B-v3,False,0.07232141494750977,7168,20480,5.457612037658691,15.074595852669484,1.3155882358551025,15.074596405029297,4.1974490945822,2.7621230216899892,model.layers.0.mlp.down_proj,7168,15756.11328125,7168,578.2598266601562,27.247463086364256,578.2598266601562,0.11576652526855469,146800640
APMIC/caigun-lora-model-34B-v3,False,0.01733529567718506,7168,7168,1.58713698387146,3.3326201320867384,0.8180791139602661,3.7367191314697266,2.8400336915032307,2.0997684295388095,model.layers.1.self_attn.q_proj,3316,691.8846435546875,5138,125.82543182373047,5.498766294908906,125.82543182373047,1.0008036952058319e-05,51380224
APMIC/caigun-lora-model-34B-v3,False,0.015387773513793945,1024,7168,1.4750781059265137,2.756773250294208,0.5740199089050293,3.3262157440185547,2.6794855099737127,1.8688998495863693,model.layers.1.self_attn.k_proj,1003,478.06341552734375,1024,73.94347381591797,6.465255023282799,73.94347381591797,1.3797797691950109e-05,7340032
APMIC/caigun-lora-model-34B-v3,False,0.024118483066558838,1024,7168,2.083466053009033,1.8364227898084906,0.9417128562927246,2.8979744911193848,2.6134378986472475,0.8814267874229331,model.layers.1.self_attn.v_proj,1024,410.617919921875,1024,7.610738277435303,53.95244258225191,7.610738277435303,0.0333835743367672,7340032
APMIC/caigun-lora-model-34B-v3,False,0.01572549343109131,7168,7168,2.1975035667419434,4.792607220617974,1.1480790376663208,4.863211154937744,3.1528846834898543,2.1809326242521534,model.layers.1.self_attn.o_proj,6705,1421.951171875,7029,151.68150329589844,9.374585173388445,151.68150329589844,1.0018778993980959e-05,51380224
APMIC/caigun-lora-model-34B-v3,False,0.06065279245376587,20480,7168,2.361732006072998,4.815775845906548,1.2939553260803223,5.494480609893799,4.099743276256862,2.0390864981814953,model.layers.1.mlp.gate_proj,7168,12581.814453125,7168,109.41742706298828,114.98912733418628,109.41742706298828,0.005689063109457493,146800640
APMIC/caigun-lora-model-34B-v3,False,0.07407081127166748,20480,7168,2.384956121444702,4.189874785396931,1.2999584674835205,5.330699443817139,4.083637462090096,1.7567932372939792,model.layers.1.mlp.up_proj,7168,12123.763671875,7168,57.120662689208984,212.24830212212112,57.120662689208984,0.005648331716656685,146800640
APMIC/caigun-lora-model-34B-v3,False,0.023607760667800903,7168,20480,4.1817121505737305,10.525787528135709,1.3306324481964111,10.526041030883789,4.240878568670951,2.517099969851242,model.layers.1.mlp.down_proj,7168,17413.19921875,7168,328.9273376464844,52.93934929016112,328.9273376464844,0.15240144729614258,146800640
APMIC/caigun-lora-model-34B-v3,False,0.027914345264434814,7168,7168,1.5171605348587036,3.4729518269169066,0.9915693402290344,4.255934238433838,3.4225389461906754,2.2891129495669027,model.layers.2.self_attn.q_proj,5392,2645.68994140625,6598,194.58660888671875,13.596464610503975,194.58660888671875,1.001236159936525e-05,51380224
APMIC/caigun-lora-model-34B-v3,False,0.0241355299949646,1024,7168,1.419197916984558,2.7858746549187288,0.7000036239624023,3.692044973373413,3.1141841750889365,1.9629923505229052,model.layers.2.self_attn.k_proj,1024,1300.7210693359375,1024,91.8316421508789,14.164192634156096,91.8316421508789,0.00034943048376590014,7340032
APMIC/caigun-lora-model-34B-v3,False,0.045648396015167236,1024,7168,7.151398658752441,5.096290771043035,0.9775098562240601,5.47829008102417,2.740886734430765,0.7126285380281234,model.layers.2.self_attn.v_proj,1024,550.6640625,1024,5.159748554229736,106.72304216231421,5.159748554229736,0.060511935502290726,7340032
APMIC/caigun-lora-model-34B-v3,False,0.019883394241333008,7168,7168,2.8935978412628174,7.462097120783156,1.1595102548599243,7.495835304260254,3.4910803182230845,2.5788300690487675,model.layers.2.self_attn.o_proj,6737,3097.9921875,7085,379.1665954589844,8.17053038058338,379.1665954589844,1.0230628504359629e-05,51380224
APMIC/caigun-lora-model-34B-v3,False,0.04752284288406372,20480,7168,2.7915596961975098,6.171531277360584,1.2911046743392944,6.755514144897461,4.189450120913668,2.2107824832716503,model.layers.2.mlp.gate_proj,7168,15468.568359375,7168,162.47348022460938,95.20672751017997,162.47348022460938,0.001685176626779139,146800640
APMIC/caigun-lora-model-34B-v3,False,0.020695865154266357,20480,7168,5.450315952301025,10.241098069625338,1.3110179901123047,10.283212661743164,4.18461768940875,1.8789916326413572,model.layers.2.mlp.up_proj,7168,15297.40234375,7168,75.68183135986328,202.12780358091,75.68183135986328,0.001417582854628563,146800640
APMIC/caigun-lora-model-34B-v3,False,0.027463436126708984,7168,20480,4.005365371704102,11.183298962418888,1.3264598846435547,11.183392524719238,4.280260389491303,2.7920796043784892,model.layers.2.mlp.down_proj,7168,19066.03515625,7168,619.5546264648438,30.773775776706092,619.5546264648438,0.23664046823978424,146800640
APMIC/caigun-lora-model-34B-v3,False,0.05431893467903137,7168,7168,2.3991992473602295,4.632291806941438,1.1319202184677124,5.538446426391602,3.6390382128248193,1.9307657803069989,model.layers.3.self_attn.q_proj,6354,4355.501953125,6765,85.2640151977539,51.08253397430592,85.2640151977539,1.0040988854598254e-05,51380224
APMIC/caigun-lora-model-34B-v3,False,0.09723275899887085,1024,7168,1.3981190919876099,2.269264263444858,0.8496081233024597,3.6078364849090576,3.220259695713748,1.6230836675141893,model.layers.3.self_attn.k_proj,1024,1660.57958984375,1024,41.983985900878906,39.552690251093736,41.983985900878906,3.2595082302577794e-05,7340032
APMIC/caigun-lora-model-34B-v3,False,0.027346014976501465,1024,7168,5.680994033813477,2.4982302743741487,1.01375150680542,3.147343873977661,2.6764908517361454,0.4397523143845239,model.layers.3.self_attn.v_proj,1024,474.7782897949219,1024,2.7526583671569824,172.4799181255774,2.7526583671569824,0.057619884610176086,7340032
APMIC/caigun-lora-model-34B-v3,False,0.010387837886810303,7168,7168,3.6826322078704834,6.873154637192342,1.281240463256836,6.9791059494018555,3.5906752248013523,1.8663700986764595,model.layers.3.self_attn.o_proj,7070,3896.5048828125,7125,73.51400756835938,53.00357049898564,73.51400756835938,1.0805631063703913e-05,51380224
APMIC/caigun-lora-model-34B-v3,False,0.021034598350524902,20480,7168,2.491544485092163,5.366834081906544,1.285169243812561,6.345216274261475,4.258008697255138,2.154018968562796,model.layers.3.mlp.gate_proj,7168,18113.763671875,7168,142.56698608398438,127.05440557749054,142.56698608398438,0.011112447828054428,146800640
APMIC/caigun-lora-model-34B-v3,False,0.07609421014785767,20480,7168,2.603830099105835,3.818331262390502,1.314186453819275,5.84268856048584,4.261333974974275,1.4664287288566682,model.layers.3.mlp.up_proj,7168,18252.98828125,7168,29.270404815673828,623.5987645608448,29.270404815673828,0.012590635567903519,146800640
APMIC/caigun-lora-model-34B-v3,False,0.05120110511779785,7168,20480,3.639000177383423,8.502402945347155,1.3466984033584595,8.507071495056152,4.317575082865959,2.3364667575973304,model.layers.3.mlp.down_proj,7168,20776.62890625,7168,217.00350952148438,95.7432852218135,217.00350952148438,0.31572869420051575,146800640
APMIC/caigun-lora-model-34B-v3,False,0.04925721883773804,7168,7168,1.4989174604415894,2.810388944333791,1.1039934158325195,4.0521464347839355,3.494228468147108,1.8749457648627528,model.layers.4.self_attn.q_proj,6321,3120.53076171875,6722,74.98005676269531,41.61814349640906,74.98005676269531,1.0001572263718117e-05,51380224
