model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.025686100125312805,4096,4096,2.282151937484741,6.877936126464459,0.9048721194267273,6.918615818023682,3.7810733099350267,3.013794135917581,model.layers.0.self_attn.q_proj,3280,6040.505859375,3675,1032.27197265625,5.851661208849374,1032.27197265625,1.0092329830513336e-05,16777216
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.042547404766082764,1024,4096,2.7972373962402344,7.1328990259647815,0.7991113066673279,7.182897567749023,3.4932186285399376,2.549979860684012,model.layers.0.self_attn.k_proj,1024,3113.283203125,1024,354.79693603515625,8.774831141203851,354.79693603515625,0.0024199059698730707,4194304
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.040554702281951904,1024,4096,4.829174041748047,2.83072119340676,1.0071407556533813,2.8540635108947754,2.350850728192965,0.5861708791058824,model.layers.0.self_attn.v_proj,1024,224.3110809326172,1024,3.8563005924224854,58.167426412085646,3.8563005924224854,0.005153757520020008,4194304
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.01026606559753418,4096,4096,3.762866973876953,5.2089359896134315,1.1229506731033325,5.2471466064453125,3.07639218682983,1.3842997974086142,model.layers.0.self_attn.o_proj,4065,1192.3182373046875,4065,24.227008819580078,49.214422060269584,24.227008819580078,1.0789771295094397e-05,16777216
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.022000789642333984,14336,4096,3.0219695568084717,6.060358535367018,1.1681153774261475,6.41439151763916,3.989460681150313,2.005433351144482,model.layers.0.mlp.gate_proj,4096,9760.244140625,4096,101.2589340209961,96.38896789690881,101.2589340209961,0.020314102992415428,58720256
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.033524513244628906,14336,4096,4.000070571899414,6.0189132478298975,1.1902520656585693,6.396870136260986,3.914168103085424,1.5047017645420806,model.layers.0.mlp.up_proj,4096,8206.69140625,4096,31.966991424560547,256.7239217871695,31.966991424560547,0.02632598951458931,58720256
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.026405170559883118,4096,14336,3.642533540725708,6.048958332335771,1.1914865970611572,6.226233959197998,3.9136066586505724,1.660645884164083,model.layers.0.mlp.down_proj,4096,8196.0888671875,4096,45.77684783935547,179.04441336699298,45.77684783935547,0.17520754039287567,58720256
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.03462156653404236,4096,4096,3.561221122741699,7.94908445456866,1.0682011842727661,8.007532119750977,3.8105323811144833,2.232123246660081,model.layers.1.self_attn.q_proj,3974,6464.4619140625,4032,170.6566619873047,37.8799270932851,170.6566619873047,1.0073134944832418e-05,16777216
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.034007251262664795,1024,4096,4.076298713684082,8.044987892700762,0.924639105796814,8.119909286499023,3.5113274463847524,1.9736011656098316,model.layers.1.self_attn.k_proj,1024,3245.842529296875,1024,94.10250091552734,34.49262769552276,94.10250091552734,0.0006945449276827276,4194304
EpistemeAI/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT,False,0.04724818468093872,1024,4096,10.430688858032227,2.442502100504135,1.0228753089904785,2.479851484298706,2.5349769994397433,0.23416498505017422,model.layers.1.self_attn.v_proj,1024,342.7496337890625,1024,1.7146085500717163,199.89964110159514,1.7146085500717163,0.018585428595542908,4194304
