model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
LinkSoul/Chinese-Llama-2-7b,False,0.020608991384506226,4096,4096,1.5542577505111694,4.16121437194906,0.7736935615539551,4.585789680480957,3.48657138971,2.6773000620910565,model.layers.0.self_attn.q_proj,3060,3065.99462890625,3673,475.66375732421875,6.445718391818587,475.66375732421875,1.0015329280577134e-05,16777216
LinkSoul/Chinese-Llama-2-7b,False,0.03160715103149414,4096,4096,1.4590363502502441,3.7068278087242588,0.7981454730033875,4.451972007751465,3.5857060964912018,2.540600039257753,model.layers.0.self_attn.k_proj,3119,3852.17578125,3646,347.21624755859375,11.094457152670929,347.21624755859375,1.0047030627902132e-05,16777216
LinkSoul/Chinese-Llama-2-7b,False,0.07047092914581299,4096,4096,3.2500267028808594,3.9659415205956066,1.0862658023834229,4.899306774139404,3.315587653214038,1.220279672496276,model.layers.0.self_attn.v_proj,4068,2068.1767578125,4068,16.60655975341797,124.53974745653308,16.60655975341797,1.0201830264122691e-05,16777216
LinkSoul/Chinese-Llama-2-7b,False,0.051311343908309937,4096,4096,2.2862610816955566,2.9475773418878384,1.0778559446334839,3.4151625633239746,2.940658482112919,1.2892566669165495,model.layers.0.self_attn.o_proj,4055,872.28515625,4055,19.46510124206543,44.81277263356491,19.46510124206543,1.0210797881882172e-05,16777216
LinkSoul/Chinese-Llama-2-7b,False,0.012956202030181885,11008,4096,2.6951637268066406,5.775755325312087,1.1416717767715454,6.425583362579346,4.087849118585343,2.143007219882511,model.layers.0.mlp.gate_proj,4096,12241.908203125,4096,138.99757385253906,88.07281928612869,138.99757385253906,0.033556222915649414,45088768
LinkSoul/Chinese-Llama-2-7b,False,0.02683389186859131,11008,4096,2.977097988128662,6.12621274421247,1.1516636610031128,6.710518836975098,4.073077588437339,2.057780015518828,model.layers.0.mlp.up_proj,4096,11832.529296875,4096,114.2299575805664,103.58516756455516,114.2299575805664,0.024841371923685074,45088768
LinkSoul/Chinese-Llama-2-7b,False,0.01708906888961792,4096,11008,4.219757080078125,8.054282987188868,1.177057147026062,8.134085655212402,4.109048589843223,1.9087077370434202,model.layers.0.mlp.down_proj,4096,12854.3046875,4096,81.04154968261719,158.61375723738354,81.04154968261719,0.15703780949115753,45088768
LinkSoul/Chinese-Llama-2-7b,False,0.03334203362464905,4096,4096,2.9174962043762207,7.389947128648649,0.990078866481781,7.79909610748291,4.07251068098418,2.5329757473424603,model.layers.1.self_attn.q_proj,3859,11817.09375,3985,341.1738586425781,34.636574434560856,341.1738586425781,1.0116321391251404e-05,16777216
LinkSoul/Chinese-Llama-2-7b,False,0.03238117694854736,4096,4096,3.1166231632232666,8.13554846222903,0.9869792461395264,8.391268730163574,4.0709669668363535,2.6103728414233762,model.layers.1.self_attn.k_proj,3808,11775.1640625,3973,407.73016357421875,28.879796283103733,407.73016357421875,1.0102800843014847e-05,16777216
LinkSoul/Chinese-Llama-2-7b,False,0.018531978130340576,4096,4096,4.24321985244751,4.387080103228119,1.1251821517944336,4.851724147796631,3.234031911511218,1.0339035580957772,model.layers.1.self_attn.v_proj,4072,1714.083251953125,4072,10.811938285827637,158.53616684068177,10.811938285827637,1.1149320926051587e-05,16777216
