model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.026189744472503662,4096,4096,2.2770395278930664,6.86160105887101,0.8969237804412842,6.9019927978515625,3.771914235599575,3.01338688890483,model.layers.0.self_attn.q_proj,2778,5914.4482421875,3383,1031.304443359375,5.734919771044284,1031.304443359375,1.0034681508841459e-05,16777216
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.045086100697517395,1024,4096,2.785759449005127,7.103841409855403,0.7953378558158875,7.154415607452393,3.487821844845401,2.5500555736757473,model.layers.0.self_attn.k_proj,1015,3074.835205078125,1022,354.8587951660156,8.664954192947668,354.8587951660156,1.4631782505603041e-05,4194304
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.03842353820800781,1024,4096,4.770233631134033,2.7881149274890076,1.007968544960022,2.8138842582702637,2.353126327367156,0.5844818394830246,model.layers.0.self_attn.v_proj,1024,225.489501953125,1024,3.841331958770752,58.70086323528335,3.841331958770752,0.014947702176868916,4194304
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.010369539260864258,4096,4096,3.724635124206543,5.164097602230259,1.1218429803848267,5.203705310821533,3.0711504208526947,1.3864707360644795,model.layers.0.self_attn.o_proj,4062,1178.013916015625,4062,24.348417282104492,48.38153964452701,24.348417282104492,1.1499359061417636e-05,16777216
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.021508634090423584,14336,4096,3.019138813018799,6.060324687822506,1.1675890684127808,6.41563081741333,3.98729277783519,2.0073024339556165,model.layers.0.mlp.gate_proj,4096,9711.64453125,4096,101.69566345214844,95.49713529151306,101.69566345214844,0.01575700007379055,58720256
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.033435046672821045,14336,4096,3.9759576320648193,5.983601331656507,1.1901336908340454,6.367484092712402,3.911471757024082,1.5049459489710573,model.layers.0.mlp.up_proj,4096,8155.8974609375,4096,31.984970092773438,254.99156126396417,31.984970092773438,0.02106424607336521,58720256
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.0268440842628479,4096,14336,3.603656053543091,5.997347748284712,1.1913635730743408,6.181784152984619,3.9132047159199495,1.6642397773750242,model.layers.0.mlp.down_proj,4096,8188.5068359375,4096,46.15723419189453,177.40462528353677,46.15723419189453,0.16043047606945038,58720256
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.03361424803733826,4096,4096,3.54605770111084,7.869964765369635,1.0618560314178467,7.933589935302734,3.8033995628015678,2.219356093078882,model.layers.1.self_attn.q_proj,3808,6359.1572265625,3885,165.7128143310547,38.37456537222535,165.7128143310547,1.0093597666127607e-05,16777216
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.03379523754119873,1024,4096,4.092090606689453,8.00328947290251,0.9235438108444214,8.086313247680664,3.503123151970532,1.955794786122114,model.layers.1.self_attn.k_proj,1018,3185.1005859375,1024,90.32225799560547,35.26373959885356,90.32225799560547,1.4082149391470011e-05,4194304
Magpie-Align/Llama-3.1-8B-Magpie-Align-v0.1,False,0.041197001934051514,1024,4096,10.133370399475098,2.385784673672861,1.0225847959518433,2.4261200428009033,2.5290772824506447,0.2354384158104438,model.layers.1.self_attn.v_proj,1024,338.125,1024,1.719643473625183,196.6250593137182,1.719643473625183,0.017214460298419,4194304
