model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
NousResearch/Nous-Hermes-13b,False,0.05968600511550903,5120,5120,3.692525625228882,11.174425128592741,0.9744205474853516,11.262480735778809,4.265861000170914,3.0262281870826806,model.layers.0.self_attn.q_proj,4297,18444.25,4980,1062.2535400390625,17.36332175397763,1062.2535400390625,1.0002846465795301e-05,26214400
NousResearch/Nous-Hermes-13b,False,0.0630180835723877,5120,5120,2.646219491958618,7.810556651121349,0.9645415544509888,8.2254056930542,4.2428076564052155,2.9515906276316897,model.layers.0.self_attn.k_proj,4258,17490.71875,4958,894.5211791992188,19.55316336462576,894.5211791992188,1.0028329597844277e-05,26214400
NousResearch/Nous-Hermes-13b,False,0.027276843786239624,5120,5120,4.408495903015137,6.384668551207365,1.1694873571395874,6.746417045593262,3.694212393019833,1.4482645990077134,model.layers.0.self_attn.v_proj,5092,4945.52490234375,5093,28.071434020996094,176.17642542396422,28.071434020996094,1.0385876521468163e-05,26214400
NousResearch/Nous-Hermes-13b,False,0.015459537506103516,5120,5120,4.179594993591309,7.404581737422447,1.1877468824386597,7.410194396972656,3.5850031044868764,1.7716026908770113,model.layers.0.self_attn.o_proj,5086,3845.9453125,5098,59.10206985473633,65.07293774909633,59.10206985473633,1.018092007143423e-05,26214400
NousResearch/Nous-Hermes-13b,False,0.03634291887283325,13824,5120,2.859683036804199,6.330661718426009,1.156365990638733,6.865248680114746,4.164305822872941,2.213763426558195,model.layers.0.mlp.gate_proj,5120,14598.4189453125,5120,163.59251403808594,89.23647289822715,163.59251403808594,0.018375949934124947,70778880
NousResearch/Nous-Hermes-13b,False,0.04584193229675293,13824,5120,6.058690547943115,10.53407308834465,1.1754233837127686,11.072633743286133,4.132905204088148,1.7386715834035948,model.layers.0.mlp.up_proj,5120,13580.169921875,5120,54.786251068115234,247.8755099521393,54.786251068115234,0.013190226629376411,70778880
NousResearch/Nous-Hermes-13b,False,0.02020925283432007,5120,13824,5.164499759674072,12.809332323845272,1.229561448097229,12.809792518615723,4.458980900553399,2.480265837916054,model.layers.0.mlp.down_proj,5120,28772.71875,5120,302.1800842285156,95.21712466080788,302.1800842285156,0.33285874128341675,70778880
NousResearch/Nous-Hermes-13b,False,0.04004037380218506,5120,5120,3.1288442611694336,8.595083882203362,1.0768781900405884,8.978028297424316,4.4052786097874606,2.7470475245037833,model.layers.1.self_attn.q_proj,4878,25426.033203125,5063,558.5313110351562,45.523022077314806,558.5313110351562,1.012675875244895e-05,26214400
NousResearch/Nous-Hermes-13b,False,0.03656969964504242,5120,5120,3.361274003982544,9.446801904824389,1.0759602785110474,9.664935111999512,4.415818798461015,2.8104825413315067,model.layers.1.self_attn.k_proj,4820,26050.6640625,5052,646.3720092773438,40.30289630212351,646.3720092773438,1.0111458323081024e-05,26214400
NousResearch/Nous-Hermes-13b,False,0.019934415817260742,5120,5120,4.14638614654541,5.602185409798669,1.1846128702163696,5.9967360496521,3.5528125934106196,1.3511007445522574,model.layers.1.self_attn.v_proj,5098,3571.18701171875,5098,22.44402503967285,159.11526588507158,22.44402503967285,1.0853004823729862e-05,26214400
NousResearch/Nous-Hermes-13b,False,0.020107388496398926,5120,5120,4.270445346832275,6.978229628241188,1.191786289215088,7.042575836181641,3.574197658851591,1.6340753859354478,model.layers.1.self_attn.o_proj,5092,3751.43701171875,5099,43.06013488769531,87.12088388721573,43.06013488769531,1.0079485946334898e-05,26214400
NousResearch/Nous-Hermes-13b,False,0.014752328395843506,13824,5120,2.531872272491455,6.110798189502109,1.1838643550872803,6.992268085479736,4.498286883449025,2.4135491572364587,model.layers.1.mlp.gate_proj,5120,31498.283203125,5120,259.1487731933594,121.54517582694903,259.1487731933594,0.06882382929325104,70778880
NousResearch/Nous-Hermes-13b,False,0.07733839750289917,13824,5120,3.754138469696045,6.122577723156549,1.2162795066833496,7.89500617980957,4.440654907073831,1.6308875585114646,model.layers.1.mlp.up_proj,5120,27583.8515625,5120,42.74522018432617,645.3084448636073,42.74522018432617,0.06720995157957077,70778880
NousResearch/Nous-Hermes-13b,False,0.015563040971755981,5120,13824,4.476710796356201,9.735203986430847,1.2411088943481445,9.766401290893555,4.480114868397173,2.1746332138218025,model.layers.1.mlp.down_proj,5120,30207.505859375,5120,149.49725341796875,202.06060759470932,149.49725341796875,0.36267101764678955,70778880
