model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.02645707130432129,4096,4096,2.450209617614746,7.352079717014686,0.9136149287223816,7.387804985046387,3.7885265804221655,3.00059213879499,model.layers.0.self_attn.q_proj,3122,6145.06640625,3662,1001.3643798828125,6.136693624921174,1001.3643798828125,1.0076587386720348e-05,16777216
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.04637634754180908,1024,4096,2.5258045196533203,6.489524799818991,0.797003984451294,6.571269512176514,3.5081315252611995,2.56929020014174,model.layers.0.self_attn.k_proj,1018,3222.04443359375,1024,370.9284973144531,8.686430017972642,370.9284973144531,3.557643503881991e-05,4194304
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.04067152738571167,1024,4096,5.241089820861816,1.6703003916093095,1.0138185024261475,1.851379156112671,2.330102263618348,0.3186933345352693,model.layers.0.self_attn.v_proj,1024,213.8465576171875,1024,2.083019495010376,102.66181287761893,2.083019495010376,0.00642232084646821,4194304
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.01688319444656372,4096,4096,3.7687220573425293,5.184454897162145,1.126405119895935,5.215265274047852,3.045502904120524,1.3756532899690415,model.layers.0.self_attn.o_proj,4071,1110.4599609375,4071,23.749435424804688,46.75732037729618,23.749435424804688,1.0272698091284838e-05,16777216
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.027382493019104004,5888,4096,3.162081003189087,4.951162363928195,1.1543782949447632,5.337486267089844,3.5858744582895015,1.5657923876506474,model.layers.0.mlp.gate_proj,4096,3853.66943359375,4096,36.79530334472656,104.7326447478806,36.79530334472656,0.008779045194387436,24117248
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.03454875946044922,5888,4096,4.310764312744141,5.000810873732188,1.1724153757095337,5.292606830596924,3.5122418517440606,1.1600752235393679,model.layers.0.mlp.up_proj,4096,3252.683837890625,4096,14.456901550292969,224.99176788159767,14.456901550292969,0.009443004615604877,24117248
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.021554037928581238,4096,5888,4.277466297149658,5.541264097778515,1.1726521253585815,5.629724502563477,3.5059463863690064,1.295454765235907,model.layers.0.mlp.down_proj,4096,3205.87353515625,4096,19.744892120361328,162.36470250704934,19.744892120361328,0.019226819276809692,24117248
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.033303022384643555,4096,4096,3.4308102130889893,7.810590703123114,1.0636833906173706,7.863025665283203,3.809851565964947,2.2766023819460166,model.layers.1.self_attn.q_proj,3826,6454.3359375,3915,189.06118774414062,34.13887331668915,189.06118774414062,1.0105558430950623e-05,16777216
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.03901505470275879,1024,4096,4.041952133178711,8.011541487702464,0.9227389097213745,8.091533660888672,3.50966145394833,1.9820970718428452,model.layers.1.self_attn.k_proj,1019,3233.4150390625,1024,95.96150970458984,33.69491631609716,95.96150970458984,1.435632111679297e-05,4194304
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.042271435260772705,1024,4096,12.09972858428955,1.848213985477428,1.0246610641479492,1.8727989196777344,2.5028718885605703,0.15274838378417627,model.layers.1.self_attn.v_proj,1024,318.3258361816406,1024,1.4215049743652344,223.93578771948185,1.4215049743652344,0.027167700231075287,4194304
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.01904851198196411,4096,4096,3.576319694519043,4.9302525534677,1.1324305534362793,4.979296684265137,3.1617952348428333,1.3785827259860615,model.layers.1.self_attn.o_proj,4076,1451.4271240234375,4076,23.910173416137695,60.70332902913308,23.910173416137695,1.0245017620036379e-05,16777216
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.016601234674453735,5888,4096,3.1840908527374268,4.683591708760699,1.1603708267211914,5.037339687347412,3.599890371491187,1.4709353235741125,model.layers.1.mlp.gate_proj,4096,3980.06689453125,4096,29.575719833374023,134.57210566486492,29.575719833374023,0.010026917792856693,24117248
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.05762803554534912,5888,4096,5.0648064613342285,4.87424510126508,1.173780918121338,5.2182722091674805,3.524630875472457,0.9623753915329376,model.layers.1.mlp.up_proj,4096,3346.80859375,4096,9.170127868652344,364.9685851372814,9.170127868652344,0.009136179462075233,24117248
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.02147364616394043,4096,5888,5.450575351715088,5.743287617941269,1.1773186922073364,5.833694934844971,3.519986847944543,1.0537030033231403,model.layers.1.mlp.down_proj,4096,3311.2109375,4096,11.316262245178223,292.60641594894844,11.316262245178223,0.0191796887665987,24117248
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.02620983123779297,4096,4096,3.393812417984009,6.891054914177324,1.1178253889083862,6.941215515136719,3.7651578244053034,2.0304760739459917,model.layers.2.self_attn.q_proj,4048,5823.14794921875,4061,107.26945495605469,54.28523852949874,107.26945495605469,1.0298725101165473e-05,16777216
OpenBuddy/openbuddy-zen-3b-v21.2-32k,False,0.040351688861846924,1024,4096,5.477701187133789,9.499632597883787,0.9787742495536804,9.514103889465332,3.5257125605075785,1.7342370956993507,model.layers.2.self_attn.k_proj,1024,3355.15478515625,1024,54.22968673706055,61.869337387548256,54.22968673706055,3.60370431735646e-05,4194304
