model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
OpenModels4all/gemma-1.1-7b-it,False,0.03331997990608215,4096,3072,3.247873067855835,4.588574261267532,1.027020812034607,4.761835098266602,2.808885620397957,1.4127935930380418,model.layers.0.self_attn.q_proj,3046,643.9996337890625,3046,25.869831085205078,24.89384765087875,25.869831085205078,1.023267577693332e-05,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.023371011018753052,4096,3072,3.4122202396392822,5.264916110791555,1.017948031425476,5.285989761352539,2.843629824714812,1.5429590533546944,model.layers.0.self_attn.k_proj,3057,697.6375122070312,3057,34.91073989868164,19.98346394925238,34.91073989868164,1.0161676073039416e-05,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03076958656311035,4096,3072,3.1642813682556152,5.24217308335018,1.0220533609390259,5.279278755187988,2.986328126512802,1.6566709698891449,model.layers.0.self_attn.v_proj,3048,969.0097045898438,3048,45.35978317260742,21.362749925467558,45.35978317260742,1.021331081574317e-05,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03043040633201599,3072,4096,3.357913017272949,5.1611464230099235,1.0363881587982178,5.163618564605713,2.70099287706427,1.5370101597215964,model.layers.0.self_attn.o_proj,3072,502.3343505859375,3072,34.43579864501953,14.58756208224578,34.43579864501953,0.0002018978411797434,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.025668859481811523,4096,3072,5.853808879852295,2.6860922657438535,1.1041866540908813,2.755499839782715,2.745997416256061,0.45886231014286716,model.layers.1.self_attn.q_proj,3072,557.1824340820312,3072,2.876486301422119,193.70244656008384,2.876486301422119,0.0002536601386964321,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03564256429672241,4096,3072,6.070231914520264,3.1470901052817974,1.1023062467575073,3.1781930923461914,2.756859064561759,0.518446436577459,model.layers.1.self_attn.k_proj,3072,571.293212890625,3072,3.2994871139526367,173.14606578543098,3.2994871139526367,0.0002164228935725987,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.040077269077301025,4096,3072,3.8531439304351807,1.2101570163963051,1.1016128063201904,2.0587966442108154,2.7175822381552504,0.31407002651458904,model.layers.1.self_attn.v_proj,3072,521.8939208984375,3072,2.060962200164795,253.22828378740124,2.060962200164795,0.00018285909027326852,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.039904892444610596,3072,4096,8.076669692993164,1.3558606565298754,1.1077940464019775,1.4539697170257568,2.658925138132087,0.16787372866147282,model.layers.1.self_attn.o_proj,3072,455.95831298828125,3072,1.4718844890594482,309.77859769392916,1.4718844890594482,0.001451923162676394,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.02926558256149292,4096,3072,4.761250019073486,3.085911607812517,1.092114806175232,3.143914222717285,2.692541198909568,0.6481305529956225,model.layers.2.self_attn.q_proj,3072,492.653076171875,3072,4.4476494789123535,110.76706438034105,4.4476494789123535,0.0006820816779509187,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.013560771942138672,4096,3072,4.277139663696289,3.2311396258294454,1.0953412055969238,3.2611265182495117,2.6868958098470044,0.7554440303305658,model.layers.2.self_attn.k_proj,3072,486.29052734375,3072,5.694348335266113,85.39880223555454,5.694348335266113,0.0010716839460656047,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.032272547483444214,4096,3072,3.8718910217285156,0.2668055285388096,1.1079305410385132,1.61708402633667,2.6465759591536835,0.06890832594242297,model.layers.2.self_attn.v_proj,3072,443.17572021484375,3072,1.171947956085205,378.1530723388396,1.171947956085205,0.0006403870065696537,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03819587826728821,3072,4096,7.050500869750977,1.4793026249219572,1.107967734336853,1.5055618286132812,2.598474976143748,0.2098152531643055,model.layers.2.self_attn.o_proj,3072,396.711669921875,3072,1.6211203336715698,244.7145111204599,1.6211203336715698,0.00136748724617064,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.02370193600654602,4096,3072,3.5435056686401367,2.92333059790374,1.08697509765625,3.02687668800354,2.706398927573189,0.824982622089498,model.layers.3.self_attn.q_proj,3072,508.6264343261719,3072,6.68317174911499,76.1055459024416,6.68317174911499,0.0008165515610016882,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.01799607276916504,4096,3072,3.5522818565368652,3.537139351027636,1.0871121883392334,3.565377712249756,2.703802692817365,0.9957372454887373,model.layers.3.self_attn.k_proj,3072,505.59490966796875,3072,9.902326583862305,51.058193787703416,9.902326583862305,0.0012900249566882849,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.05378279089927673,4096,3072,5.2612223625183105,-0.2586716744714729,1.109967589378357,0.9439501762390137,2.6068813028265083,-0.049165698890487185,model.layers.3.self_attn.v_proj,3072,404.46533203125,3072,0.8929647207260132,452.9465976017561,0.8929647207260132,0.0008410199661739171,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.04047781229019165,3072,4096,8.142383575439453,0.7304239438372345,1.109580636024475,0.7832591533660889,2.5760445013752267,0.0897064031766414,model.layers.3.self_attn.o_proj,3072,376.7424011230469,3072,1.2294373512268066,306.43480999427146,1.2294373512268066,0.0012692708987742662,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.04218649864196777,4096,3072,4.555441856384277,3.6018315404634906,1.0766977071762085,3.6605420112609863,2.7276802240217854,0.7906656816211278,model.layers.4.self_attn.q_proj,3072,534.1708984375,3072,6.175408363342285,86.4996882810829,6.175408363342285,0.0010049979900941253,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.023450076580047607,4096,3072,4.0492353439331055,3.6251624628172707,1.0818333625793457,3.665623426437378,2.7234044584473103,0.895270873363482,model.layers.4.self_attn.k_proj,3072,528.9376220703125,3072,7.857255458831787,67.31836897014351,7.857255458831787,0.0012060482986271381,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.05351901054382324,4096,3072,7.028791427612305,-0.45187589408544,1.1118611097335815,0.3510662615299225,2.5738905799004184,-0.06428927344610981,model.layers.4.self_attn.v_proj,3072,374.8785400390625,3072,0.862403929233551,434.6902041276996,0.862403929233551,0.0010710787028074265,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03304946422576904,3072,4096,8.30077075958252,0.4444409102950963,1.1090342998504639,0.4776049256324768,2.51664703688651,0.05354212556490948,model.layers.4.self_attn.o_proj,3072,328.58447265625,3072,1.1312071084976196,290.4724255955658,1.1312071084976196,0.0011143687879666686,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.06259274482727051,4096,3072,6.110515117645264,3.9011083649311504,1.0829501152038574,3.9275686740875244,2.7241082915649653,0.6384254501991109,model.layers.5.self_attn.q_proj,3072,529.7955322265625,3072,4.349360942840576,121.80997143928735,4.349360942840576,0.0010003509232774377,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.018640637397766113,4096,3072,4.993654727935791,3.4953956921285174,1.0916715860366821,3.5165719985961914,2.7120292668431283,0.6999674351881746,model.layers.5.self_attn.k_proj,3072,515.2633666992188,3072,5.011496543884277,102.81626699473924,5.011496543884277,0.001256179646588862,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.060996055603027344,4096,3072,5.415717124938965,-0.5186764994355246,1.1071746349334717,0.6459078788757324,2.519470639825937,-0.0957724503458755,model.layers.5.self_attn.v_proj,3072,330.7277526855469,3072,0.8020982146263123,412.32824940226163,0.8020982146263123,0.001041986746713519,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.028986036777496338,3072,4096,6.600375175476074,0.502713413585691,1.1052767038345337,0.6209800839424133,2.4741177847729445,0.07616436948213798,model.layers.5.self_attn.o_proj,3072,297.93243408203125,3072,1.1916929483413696,250.0077175892512,1.1916929483413696,0.0009079466108232737,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03394734859466553,4096,3072,4.867974281311035,4.120482289032193,1.0698074102401733,4.160841941833496,2.7322198572060308,0.8464470128470916,model.layers.6.self_attn.q_proj,3072,539.7838134765625,3072,7.0217766761779785,76.87282554966873,7.0217766761779785,0.0009280976955778897,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03120449185371399,4096,3072,3.102186679840088,2.9934224594455494,1.0687439441680908,3.1646358966827393,2.7221203928530677,0.9649394986119453,model.layers.6.self_attn.k_proj,3072,527.3760375976562,3072,9.2244291305542,57.17167210389439,9.2244291305542,0.00109267293009907,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.06826992332935333,4096,3072,7.444677352905273,-1.2474501916134209,1.1089740991592407,-0.1840904951095581,2.5267801701413037,-0.16756269378505778,model.layers.6.self_attn.v_proj,3072,336.3412780761719,3072,0.6798878908157349,494.7010861932354,0.6798878908157349,0.0009632321889512241,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03403675556182861,3072,4096,7.474411964416504,0.5506465076090286,1.1095640659332275,0.569508969783783,2.473329279099156,0.07367088009471462,model.layers.6.self_attn.o_proj,3072,297.3919982910156,3072,1.1848704814910889,250.9911445483607,1.1848704814910889,0.0009379427065141499,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.025388121604919434,4096,3072,5.895115852355957,4.46087099189601,1.0662950277328491,4.480203151702881,2.6989739008815783,0.756706246937156,model.layers.7.self_attn.q_proj,3072,500.0044860839844,3072,5.7109222412109375,87.5523190415501,5.7109222412109375,0.0009456846746616066,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.028945356607437134,4096,3072,5.081800937652588,4.056144199304794,1.0674129724502563,4.090334415435791,2.6891093857036985,0.7981706188551394,model.layers.7.self_attn.k_proj,3072,488.77545166015625,3072,6.283051490783691,77.79268598659706,6.283051490783691,0.0010187478037551045,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.04912632703781128,4096,3072,5.482028007507324,-0.4662522526999184,1.1024644374847412,0.5832165479660034,2.496080079732982,-0.0850510526508461,model.layers.7.self_attn.v_proj,3072,313.3863525390625,3072,0.8221459984779358,381.1809011042373,0.8221459984779358,0.0009860279969871044,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.044836461544036865,3072,4096,5.969270706176758,2.7305503504422908,1.1001777648925781,2.7315502166748047,2.4504683955892523,0.4574344982573547,model.layers.7.self_attn.o_proj,3072,282.1424255371094,3072,2.8670449256896973,98.40879122926094,2.8670449256896973,0.000897752761375159,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.040941715240478516,4096,3072,5.474462509155273,4.029898827689161,1.088573694229126,4.050233840942383,2.7492314887240186,0.7361268473297092,model.layers.8.self_attn.q_proj,3072,561.3471069335938,3072,5.446617126464844,103.06344174736202,5.446617126464844,0.0014276322908699512,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.015579046681523323,4096,3072,4.411105632781982,3.4238199320643825,1.0953344106674194,3.4528801441192627,2.7269713749253306,0.7761818049922913,model.layers.8.self_attn.k_proj,3072,533.2997436523438,3072,5.97285270690918,89.28727524712637,5.97285270690918,0.001483688596636057,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.049971699714660645,4096,3072,12.340278625488281,-3.3633501230959344,1.1139730215072632,-2.8745532035827637,2.488994528813686,-0.27255058213589184,model.layers.8.self_attn.v_proj,3072,308.3149108886719,3072,0.5338870882987976,577.4908546132867,0.5338870882987976,0.0006965831853449345,12582912
OpenModels4all/gemma-1.1-7b-it,False,0.03694140911102295,3072,4096,6.258615493774414,2.034075627909463,1.109753131866455,2.0358505249023438,2.4620454915058967,0.3250040891524338,model.layers.8.self_attn.o_proj,3072,289.76470947265625,3072,2.113508939743042,137.10124619008496,2.113508939743042,0.0011375739704817533,12582912
