model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Sharathhebbar24/code_gpt2_mini_model,False,0.06159555912017822,768,768,5.608281135559082,15.137200313398537,0.9287213683128357,15.51712703704834,4.5266834320624305,2.6990801544205274,transformer.h.0.attn.c_attn_q,767,33626.63671875,767,500.1268310546875,67.236218156576,500.1268310546875,7.445925439242274e-05,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.08495420217514038,768,768,2.4501194953918457,7.954034403080498,0.8844223618507385,8.319561958312988,4.542564560002129,3.2463863162757356,transformer.h.0.attn.c_attn_k,767,34879.04296875,767,1763.5440673828125,19.77781197183932,1763.5440673828125,0.00010257496614940464,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.025137662887573242,768,768,2.902571201324463,5.188721625646177,0.9203201532363892,5.586038589477539,3.300965922959115,1.7876294036399618,transformer.h.0.attn.c_attn_v,765,1999.7049560546875,765,61.323848724365234,32.60892780951896,61.323848724365234,3.515787102514878e-05,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.03693050146102905,768,768,2.756560802459717,7.864260585423381,0.8179821372032166,8.230475425720215,4.108757550721766,2.8529247671250326,transformer.h.0.attn.c_proj,764,12845.693359375,764,712.7295532226562,18.023236585732,712.7295532226562,1.4395011930901092e-05,590592
Sharathhebbar24/code_gpt2_mini_model,False,0.04165610671043396,768,3072,3.9842212200164795,12.941043255704871,0.984074592590332,12.952681541442871,4.672669370173445,3.2480734731018135,transformer.h.0.mlp.c_fc,768,47061.890625,768,1770.408447265625,26.58250456141154,1770.408447265625,1.1047117710113525,2362368
Sharathhebbar24/code_gpt2_mini_model,False,0.06381815671920776,3072,768,3.325460195541382,9.29999378645142,0.9739257097244263,9.5228271484375,4.2617531253597924,2.7966035494637427,transformer.h.0.mlp.c_proj,768,18270.61328125,768,626.0421142578125,29.18431981674306,626.0421142578125,0.7048004865646362,2360064
Sharathhebbar24/code_gpt2_mini_model,False,0.04276007413864136,768,768,3.726947069168091,8.99050844251938,0.8936144113540649,9.626420021057129,4.129041782904323,2.412298397499429,transformer.h.1.attn.c_attn_q,766,13459.8984375,766,258.40350341796875,52.08868401342283,258.40350341796875,2.6310415705665946e-05,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.036245256662368774,768,768,2.95379900932312,7.728884515603066,0.882983386516571,8.375732421875,4.174486327358482,2.616591207190561,transformer.h.1.attn.c_attn_k,767,14944.669921875,767,413.61016845703125,36.13225945973704,413.61016845703125,1.4876614841341507e-05,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.08193737268447876,768,768,2.9675772190093994,5.775126063697604,0.9314868450164795,6.740807056427002,3.8051478159216554,1.9460744026150012,transformer.h.1.attn.c_attn_v,766,6384.8076171875,766,88.3231201171875,72.28919912154495,88.3231201171875,2.200937524321489e-05,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.06248927116394043,768,768,2.5168838500976562,7.19881898903782,0.814323902130127,7.33718204498291,3.78581639156268,2.860211045797168,transformer.h.1.attn.c_proj,767,6106.837890625,767,724.7880859375,8.425687465220841,724.7880859375,1.0738288438005839e-05,590592
Sharathhebbar24/code_gpt2_mini_model,False,0.027683347463607788,768,3072,3.418692111968994,10.85583946085602,0.9817954301834106,10.919811248779297,4.6059002102521385,3.175436425775003,transformer.h.1.mlp.c_fc,768,40355.265625,768,1497.739990234375,26.94410637902843,1497.739990234375,0.550910234451294,2362368
Sharathhebbar24/code_gpt2_mini_model,False,0.05013304948806763,3072,768,3.47538685798645,10.13570823880383,0.9756184816360474,10.250567436218262,4.254339674669134,2.9164258981735918,transformer.h.1.mlp.c_proj,768,17961.37890625,768,824.9467163085938,21.77277459400306,824.9467163085938,0.020075300708413124,2360064
Sharathhebbar24/code_gpt2_mini_model,False,0.03240866959095001,768,768,3.625088930130005,9.756446523453764,0.9074589014053345,10.176918029785156,4.325500350030859,2.6913674978737343,transformer.h.2.attn.c_attn_q,767,21159.25390625,767,491.3234558105469,43.06583301898975,491.3234558105469,1.4754854419152252e-05,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.04882150888442993,768,768,3.072284698486328,8.095332678073243,0.9009870886802673,8.618480682373047,4.134044496681218,2.6349552442394746,transformer.h.2.attn.c_attn_k,766,13615.841796875,766,431.474609375,31.556530792386212,431.474609375,4.010363409179263e-05,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.09039092063903809,768,768,10.759024620056152,19.833829257376856,0.9396495819091797,20.079076766967773,3.8135471752625243,1.8434597891340583,transformer.h.2.attn.c_attn_v,766,6509.4931640625,766,69.73644256591797,93.34421035184637,69.73644256591797,1.8464108507032506e-05,589824
Sharathhebbar24/code_gpt2_mini_model,False,0.04990696907043457,768,768,3.596898317337036,8.225352698098279,0.9116548299789429,8.264910697937012,3.58726371465671,2.2867904434362547,transformer.h.2.attn.c_proj,767,3866.0166015625,767,193.5487823486328,19.974378317703785,193.5487823486328,1.1292951057839673e-05,590592
