model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
TheBloke/UltraLM-13B-fp16,False,0.060848355293273926,5120,5120,3.683574676513672,11.143932889050681,0.9743747711181641,11.233757019042969,4.265739802418176,3.0253039147282563,model.layers.0.self_attn.q_proj,4294,18439.103515625,4978,1059.9952392578125,17.395458802754334,1059.9952392578125,1.0160767487832345e-05,26214400
TheBloke/UltraLM-13B-fp16,False,0.06277823448181152,5120,5120,2.6465656757354736,7.810990024831677,0.9646275639533997,8.225347518920898,4.242567728498827,2.9513682945582005,model.layers.0.self_attn.k_proj,4255,17481.05859375,4957,894.0633544921875,19.552371211634032,894.0633544921875,1.005397098197136e-05,26214400
TheBloke/UltraLM-13B-fp16,False,0.02754873037338257,5120,5120,4.414257526397705,6.395369404383019,1.1694579124450684,6.757770538330078,3.6955347732145913,1.4487984369144902,model.layers.0.self_attn.v_proj,5093,4960.6064453125,5093,28.105960845947266,176.4965970209054,28.105960845947266,1.0532108717598021e-05,26214400
TheBloke/UltraLM-13B-fp16,False,0.016081973910331726,5120,5120,4.192089080810547,7.429282534499559,1.18767511844635,7.434770107269287,3.5860757573077464,1.772214853092553,model.layers.0.self_attn.o_proj,5087,3855.4560546875,5097,59.1854362487793,65.1419724014794,59.1854362487793,1.0903104339377023e-05,26214400
TheBloke/UltraLM-13B-fp16,False,0.03633999824523926,13824,5120,2.856747627258301,6.332763676810062,1.1563788652420044,6.8644232749938965,4.164674541670592,2.216773934240663,model.layers.0.mlp.gate_proj,5120,14610.818359375,5120,164.73046875,88.69530008773802,164.73046875,0.019332347437739372,70778880
TheBloke/UltraLM-13B-fp16,False,0.04518279433250427,13824,5120,6.032322883605957,10.50249180708073,1.1754518747329712,11.038991928100586,4.133514770526236,1.741036083400534,model.layers.0.mlp.up_proj,5120,13599.244140625,5120,55.08534622192383,246.87589483121982,55.08534622192383,0.013615607284009457,70778880
TheBloke/UltraLM-13B-fp16,False,0.019482791423797607,5120,13824,5.177276611328125,12.844211139482555,1.2295621633529663,12.84465217590332,4.4592990544444016,2.4808817654012953,model.layers.0.mlp.down_proj,5120,28793.8046875,5120,302.60894775390625,95.15186150713653,302.60894775390625,0.33285626769065857,70778880
TheBloke/UltraLM-13B-fp16,False,0.03999016433954239,5120,5120,3.129455327987671,8.594043209742896,1.076946496963501,8.979290008544922,4.405762671217417,2.746178586696462,model.layers.1.self_attn.q_proj,4878,25454.388671875,5064,557.4149169921875,45.66506545828905,557.4149169921875,1.0119242688233498e-05,26214400
TheBloke/UltraLM-13B-fp16,False,0.037564635276794434,5120,5120,3.379204273223877,9.499594080013637,1.076054334640503,9.714098930358887,4.416208734734832,2.811192609836131,model.layers.1.self_attn.k_proj,4818,26074.064453125,5053,647.4296875,40.27319870642324,647.4296875,1.004213572741719e-05,26214400
TheBloke/UltraLM-13B-fp16,False,0.01891881227493286,5120,5120,4.142817497253418,5.591250092682202,1.1847844123840332,5.989462375640869,3.554238315115767,1.3496250067469924,model.layers.1.self_attn.v_proj,5099,3582.929931640625,5099,22.367889404296875,160.18185117422584,22.367889404296875,1.0505604222998954e-05,26214400
