model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Undi95/ReMM-L2-13B-PIPPA,False,0.007641613483428955,5120,5120,1.5464619398117065,4.409981909606418,0.8338857293128967,4.729892253875732,3.5767230552955116,2.8516588711800863,model.layers.0.self_attn.q_proj,4356,3773.31494140625,4960,710.6550903320312,5.309629091157691,710.6550903320312,1.0169463166675996e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.01579272747039795,5120,5120,1.5128041505813599,3.9971265130379883,0.8581400513648987,4.673763751983643,3.661791617840925,2.6421969502806566,model.layers.0.self_attn.k_proj,4518,4589.77734375,4966,438.7296142578125,10.46151705877983,438.7296142578125,1.0097048289026134e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.043875038623809814,5120,5120,4.212827682495117,6.061125338963593,1.1308032274246216,6.53318977355957,3.453843574843421,1.4387308942514807,model.layers.0.self_attn.v_proj,5083,2843.436767578125,5083,27.4619197845459,103.54107760442368,27.4619197845459,1.0892099453485571e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.03467220067977905,5120,5120,4.187311172485352,5.866725465389196,1.149185299873352,5.928548812866211,3.17368520715764,1.4010722451054525,model.layers.0.self_attn.o_proj,5081,1491.7127685546875,5081,25.180957794189453,59.239715214442825,25.180957794189453,1.040932420437457e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.035276561975479126,13824,5120,2.3669605255126953,5.267259279892422,1.1851534843444824,6.0417351722717285,4.217512834528861,2.2253262034234846,model.layers.0.mlp.gate_proj,5120,16501.09765625,5120,168.0065460205078,98.21699241549662,168.0065460205078,0.013954076915979385,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.050007641315460205,13824,5120,4.075599670410156,8.295182761642721,1.1967967748641968,8.747066497802734,4.193264941662087,2.035328155968743,model.layers.0.mlp.up_proj,5120,15605.0419921875,5120,108.47462463378906,143.85891672702448,108.47462463378906,0.010951308533549309,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.01862405240535736,5120,13824,4.079537391662598,8.122234169749106,1.2262108325958252,8.287138938903809,4.283194391420345,1.990969413921446,model.layers.0.mlp.down_proj,5120,19195.27734375,5120,97.94210052490234,195.98596763676198,97.94210052490234,0.21870067715644836,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.027239441871643066,5120,5120,3.2381882667541504,8.247307301183763,1.0536818504333496,8.49168586730957,4.07312084902412,2.5468893781925113,model.layers.1.self_attn.q_proj,4861,11833.7080078125,5047,352.2811279296875,33.59166038032674,352.2811279296875,1.0141836355614942e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.03111875057220459,5120,5120,3.354213237762451,8.597522372070602,1.0541731119155884,8.78148078918457,4.0854084921758425,2.5632008947069473,model.layers.1.self_attn.k_proj,4826,12173.3046875,5037,365.7639465332031,33.281860617705625,365.7639465332031,1.0015336556534749e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.02812093496322632,5120,5120,3.3989694118499756,5.090301460777117,1.1694295406341553,5.560143947601318,3.567569216671675,1.497601432666789,model.layers.1.self_attn.v_proj,5093,3694.615234375,5096,31.4486083984375,117.48104041890019,31.4486083984375,1.0414662938273977e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.01992577314376831,5120,5120,3.570066213607788,4.755284076228337,1.1842907667160034,5.12847900390625,3.4621484291729865,1.3319876416025371,model.layers.1.self_attn.o_proj,5096,2898.333984375,5096,21.477693557739258,134.94623976188618,21.477693557739258,1.0736985132098198e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.015223205089569092,13824,5120,2.3811936378479004,5.301717518282119,1.173305869102478,6.45358419418335,4.349376571384899,2.2264957515482693,model.layers.1.mlp.gate_proj,5120,22355.09765625,5120,168.4595947265625,132.7030240844161,168.4595947265625,0.02500823326408863,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.07684087753295898,13824,5120,3.6609387397766113,5.57276342008319,1.2164071798324585,7.277413845062256,4.3051522413711405,1.5222225271169758,model.layers.1.mlp.up_proj,5120,20190.740234375,5120,33.28300476074219,606.6381439872366,33.28300476074219,0.019607916474342346,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.014878153800964355,5120,13824,4.8716301918029785,8.565071926581952,1.241100549697876,8.815717697143555,4.328437024510777,1.7581531416308183,model.layers.1.mlp.down_proj,5120,21302.81640625,5120,57.2998046875,371.77816787388156,57.2998046875,0.2996083199977875,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.022634267807006836,5120,5120,3.1423890590667725,7.990964768313275,1.1238871812820435,8.181307792663574,4.22203888147303,2.542958436434486,model.layers.2.self_attn.q_proj,4982,16673.96484375,5080,349.1069030761719,47.76177353362702,349.1069030761719,1.0349799595132936e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.028323888778686523,5120,5120,3.662088394165039,9.211642666306266,1.1245944499969482,9.32625675201416,4.2488023993353705,2.5154069685984553,model.layers.2.self_attn.k_proj,4958,17733.82421875,5069,327.6475830078125,54.12469109630865,327.6475830078125,1.0386668691353407e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.02309352159500122,5120,5120,3.8784751892089844,4.729569581151762,1.1947797536849976,5.843550205230713,3.710563408215543,1.2194404631775815,model.layers.2.self_attn.v_proj,5104,5135.271484375,5104,16.574501037597656,309.82962761449846,16.574501037597656,1.1664724297588691e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.010178536176681519,5120,5120,4.30059814453125,6.767985248064989,1.205878734588623,6.806825160980225,3.691944629219758,1.5737311463688677,model.layers.2.self_attn.o_proj,5104,4919.76806640625,5106,37.47409439086914,131.28450857520897,37.47409439086914,1.0018444299930707e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.01383960247039795,13824,5120,2.7680253982543945,6.160275003175012,1.209859848022461,6.862576484680176,4.39101392340652,2.2255124563018382,model.layers.2.mlp.gate_proj,5120,24604.46484375,5120,168.07861328125,146.38664826784807,168.07861328125,0.05127083510160446,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.077324777841568,13824,5120,4.135654449462891,5.816760747140773,1.2333496809005737,7.541114330291748,4.326856251082514,1.4064909963394578,model.layers.2.mlp.up_proj,5120,21225.41796875,5120,25.497112274169922,832.4636037412205,25.497112274169922,0.04009449481964111,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.016749262809753418,5120,13824,4.701680660247803,7.574873009146748,1.2426347732543945,8.300532341003418,4.338300359834849,1.6110989998090415,model.layers.2.mlp.down_proj,5120,21792.1640625,5120,40.84124755859375,533.5822327962783,40.84124755859375,0.27094611525535583,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.027961134910583496,5120,5120,2.5580379962921143,6.655756749487916,1.1262294054031372,6.996377468109131,4.243172339306751,2.601899095766154,model.layers.3.self_attn.q_proj,5021,17505.412109375,5093,399.8518371582031,43.77974660261197,399.8518371582031,1.0628701602399815e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.04329198598861694,5120,5120,3.4321463108062744,8.9371418472704,1.1308284997940063,9.037276268005371,4.290459649984832,2.6039512998415564,model.layers.3.self_attn.k_proj,4994,19519.09375,5086,401.7457580566406,48.585687237668544,401.7457580566406,1.0037112588179298e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.03140914440155029,5120,5120,4.634592056274414,5.489781384960585,1.2037278413772583,6.4425225257873535,3.752912183859871,1.1845231076008937,model.layers.3.self_attn.v_proj,5107,5661.248046875,5107,15.294071197509766,370.1596503484817,15.294071197509766,1.0072501027025282e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.020938754081726074,5120,5120,4.07031774520874,7.3713811369718645,1.2020944356918335,7.412469863891602,3.731693483173678,1.8110087709120197,model.layers.3.self_attn.o_proj,5100,5391.2998046875,5106,64.71556854248047,83.30761710219008,64.71556854248047,1.0106612535309978e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.01258021593093872,13824,5120,3.5333170890808105,7.5729807131967455,1.2304012775421143,7.912920951843262,4.404733319834537,2.1433062819637425,model.layers.3.mlp.gate_proj,5120,25394.12890625,5120,139.09332275390625,182.56900046294163,139.09332275390625,0.05277484282851219,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.03731036186218262,13824,5120,8.795909881591797,13.157050958032162,1.2418692111968994,13.282364845275879,4.338412756902152,1.495814661035514,model.layers.3.mlp.up_proj,5120,21797.8046875,5120,31.319488525390625,695.9821412737497,31.319488525390625,0.036599162966012955,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.021974027156829834,5120,13824,4.225040435791016,7.253779281266417,1.2394053936004639,7.860056400299072,4.341585131993215,1.7168544044734944,model.layers.3.mlp.down_proj,5120,21957.61328125,5120,52.10200119018555,421.4351230214581,52.10200119018555,0.32430917024612427,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.04415363073348999,5120,5120,2.3879218101501465,5.4569809172228165,1.1501761674880981,6.200376033782959,4.207381033598092,2.285242713570967,model.layers.4.self_attn.q_proj,5065,16120.59375,5099,192.86024475097656,83.58691948574005,192.86024475097656,1.0715495591284707e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.049761682748794556,5120,5120,2.528857707977295,6.0636822753174675,1.153127908706665,6.494259357452393,4.215969346573169,2.3977949633898143,model.layers.4.self_attn.k_proj,5051,16442.556640625,5096,249.91651916503906,65.7921961123615,249.91651916503906,1.0320393812435213e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.04598414897918701,5120,5120,3.7683143615722656,4.844756762368834,1.2033573389053345,5.687574863433838,3.749175887453559,1.2856562105788438,model.layers.4.self_attn.v_proj,5106,5612.75244140625,5106,19.30439567565918,290.749968852086,19.30439567565918,1.0381522770330776e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.026616692543029785,5120,5120,4.262369155883789,6.338577291173407,1.206163763999939,6.474434852600098,3.727134622502573,1.4871019049168026,model.layers.4.self_attn.o_proj,5106,5335.00244140625,5106,30.69742202758789,173.79317509501817,30.69742202758789,1.2477047675929498e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.016597270965576172,13824,5120,3.4953644275665283,7.624095319386616,1.2323558330535889,7.855317115783691,4.408879875224026,2.181201839573137,model.layers.4.mlp.gate_proj,5120,25637.748046875,5120,151.7755584716797,168.91881871519408,151.7755584716797,0.04533855989575386,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.03872358798980713,13824,5120,10.0717191696167,13.968158558781422,1.2428791522979736,14.494948387145996,4.339480633461248,1.3868693441055318,model.layers.4.mlp.up_proj,5120,21851.46875,5120,24.37077522277832,896.625919785119,24.37077522277832,0.032996635884046555,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.03666520118713379,5120,13824,5.718775749206543,9.161725661101944,1.238936185836792,9.812857627868652,4.3417670816935034,1.6020431754773905,model.layers.4.mlp.down_proj,5120,21966.814453125,5120,39.998451232910156,549.1916255760177,39.998451232910156,0.27864521741867065,70778880
Undi95/ReMM-L2-13B-PIPPA,False,0.03283947706222534,5120,5120,2.3504621982574463,5.250859881504276,1.1416594982147217,6.181406497955322,4.193947852640664,2.23396908293062,model.layers.5.self_attn.q_proj,5073,15629.599609375,5100,171.38352966308594,91.19662572068871,171.38352966308594,1.0398111953691114e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.04671037197113037,5120,5120,2.416245460510254,5.732338985098859,1.148430585861206,6.269986629486084,4.185538032640419,2.3724158322426083,model.layers.5.self_attn.k_proj,5061,15329.8544921875,5099,235.73052978515625,65.03126475030223,235.73052978515625,1.0171598660235759e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.030457913875579834,5120,5120,3.691948890686035,4.623279229764505,1.2015891075134277,5.7642107009887695,3.7676683448558452,1.252259813625267,model.layers.5.self_attn.v_proj,5106,5856.9072265625,5106,17.875566482543945,327.64876191654986,17.875566482543945,1.1878978511958849e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.030360639095306396,5120,5120,3.747337579727173,5.810583017569365,1.203790545463562,6.003952980041504,3.739583777655577,1.5505896903989118,model.layers.5.self_attn.o_proj,5105,5490.14453125,5106,35.52954864501953,154.52334016687823,35.52954864501953,1.3003021194890607e-05,26214400
Undi95/ReMM-L2-13B-PIPPA,False,0.011413335800170898,13824,5120,3.5851473808288574,8.087485570462345,1.2329996824264526,8.217710494995117,4.418985294565603,2.2558307124859627,model.layers.5.mlp.gate_proj,5120,26241.296875,5120,180.23150634765625,145.5977226555608,180.23150634765625,0.05721960961818695,70778880
