model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.017873764038085938,4096,4096,1.437728762626648,2.49563512116937,0.6375176906585693,2.992870807647705,2.455412673489699,1.7358177606532597,model.layers.0.self_attn.q_proj,2917,285.37286376953125,3041,54.42742156982422,5.243181755421395,54.42742156982422,1.0005381227529142e-05,16777216
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.02062910795211792,1024,4096,1.4612231254577637,1.661815251653946,0.5901715159416199,2.150179386138916,1.8926599770061117,1.1372768625827365,model.layers.0.self_attn.k_proj,1024,78.10160827636719,1024,13.717559814453125,5.6935496788632625,13.717559814453125,1.245182011189172e-05,4194304
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.04444456100463867,1024,4096,4.368622779846191,-2.968988611126263,0.9665306806564331,-2.5587987899780273,1.2326549574118075,-0.6796166116294421,model.layers.0.self_attn.v_proj,1024,17.086572647094727,1024,0.20911413431167603,81.70931488365053,0.20911413431167603,0.0005642375908792019,4194304
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.03353089094161987,4096,4096,3.2709574699401855,-0.29135372723849534,1.0859726667404175,0.31596750020980835,1.8477146416463135,-0.08907291822532416,model.layers.0.self_attn.o_proj,3949,70.42301940917969,3949,0.814567506313324,86.45449132621235,0.814567506313324,1.0164554623770528e-05,16777216
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.01980447769165039,14336,4096,2.384014129638672,1.4046145697009371,1.1349217891693115,2.6037871837615967,2.7761050271898076,0.5891804718094622,model.layers.0.mlp.gate_proj,4096,597.1796875,4096,3.8831169605255127,153.78874588912257,3.8831169605255127,0.0004543559334706515,58720256
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.04772764444351196,14336,4096,3.2435288429260254,0.6272251577139955,1.163742184638977,1.9158375263214111,2.726103368787821,0.19337739483400687,model.layers.0.mlp.up_proj,4096,532.2349243164062,4096,1.560908317565918,340.9776976179959,1.560908317565918,0.0005115409730933607,58720256
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.03112703561782837,4096,14336,4.075224876403809,0.8562222887006203,1.1869841814041138,1.429943323135376,2.700884108381292,0.21010430458900115,model.layers.0.mlp.down_proj,4096,502.20855712890625,4096,1.6221996545791626,309.58492421772286,1.6221996545791626,0.010013025254011154,58720256
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.05195395648479462,4096,4096,2.948049306869507,2.6781010047235796,0.955345869064331,3.1388206481933594,2.4357131509147134,0.9084315511559128,model.layers.1.self_attn.q_proj,3323,272.71759033203125,3323,8.099002838134766,33.67298367249853,8.099002838134766,1.0014213330578059e-05,16777216
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.03881335258483887,1024,4096,2.9526281356811523,1.7600490472427262,0.836867094039917,2.1895625591278076,2.004279314480171,0.5960957378863065,model.layers.1.self_attn.k_proj,1021,100.99021911621094,1021,3.9454426765441895,25.59667631634892,3.9454426765441895,1.0380357707617804e-05,4194304
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.06602239608764648,1024,4096,22.041685104370117,-21.89111998533535,1.0129882097244263,-21.66037368774414,1.4110717369307233,-0.9931690740375874,model.layers.1.self_attn.v_proj,1024,25.767467498779297,1024,0.10158531367778778,253.6534718050834,0.10158531367778778,0.0021929650101810694,4194304
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.02080214023590088,4096,4096,3.519993782043457,0.07012854593635558,1.1362732648849487,0.32946762442588806,2.0301843875728864,0.01992291756141795,model.layers.1.self_attn.o_proj,4023,107.19743347167969,4023,1.0469427108764648,102.39092584343764,1.0469427108764648,1.0087265764013864e-05,16777216
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.019508913159370422,14336,4096,2.6922874450683594,2.0124842144536146,1.159055471420288,2.465679407119751,2.7711229747700865,0.7474997582966169,model.layers.1.mlp.gate_proj,4096,590.3682250976562,4096,5.591132164001465,105.5901037179456,5.591132164001465,0.000607117370236665,58720256
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.058047741651535034,14336,4096,3.416219472885132,0.07290560323429622,1.17853844165802,1.5025205612182617,2.71831939439058,0.021341018577101127,model.layers.1.mlp.up_proj,4096,522.780517578125,4096,1.0503668785095215,497.71230250515373,1.0503668785095215,0.0005373668973334134,58720256
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.024020791053771973,4096,14336,5.2704596519470215,0.15610743937127666,1.194275140762329,0.5453373789787292,2.707581532479056,0.02961932159249283,model.layers.1.mlp.down_proj,4096,510.0133361816406,4096,1.0705804824829102,476.3895330865814,1.0705804824829102,0.008347999304533005,58720256
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.028925925493240356,4096,4096,3.836611270904541,1.925737547671596,1.115942120552063,2.1041266918182373,2.5006042200225456,0.5019371032649793,model.layers.2.self_attn.q_proj,4001,316.66802978515625,4001,3.1764140129089355,99.69356277179816,3.1764140129089355,1.028141014103312e-05,16777216
chihoonlee10/T3Q-EN-DPO-Mistral-7B,False,0.030112192034721375,1024,4096,5.795485019683838,1.1733079027172786,0.9880939722061157,1.2092232704162598,2.1131466914612234,0.20245206375864055,model.layers.2.self_attn.k_proj,1024,129.76174926757812,1024,1.5938669443130493,81.41316295602388,1.5938669443130493,5.668699668603949e-05,4194304
