model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
indischepartij/MiniCPM-3B-Bacchus,False,0.02693575620651245,2304,2304,1.9425873756408691,7.570570458139097,0.482951283454895,7.578418731689453,4.107401011628457,3.897158271010347,model.layers.0.self_attn.q_proj,1948,12805.6318359375,2227,7891.4765625,1.6227168305598703,7891.4765625,1.0034083061327692e-05,5308416
indischepartij/MiniCPM-3B-Bacchus,False,0.0183069109916687,2304,2304,1.9053096771240234,7.565521553374019,0.4625049829483032,7.574153423309326,4.171780028871266,3.9707569033049905,model.layers.0.self_attn.k_proj,1864,14851.83203125,2191,9348.822265625,1.5886313387151665,9348.822265625,1.0120692422788125e-05,5308416
indischepartij/MiniCPM-3B-Bacchus,False,0.023412257432937622,2304,2304,1.933814525604248,4.0122932026784905,0.8631309866905212,4.496495246887207,3.2336052872724155,2.0748076661720143,model.layers.0.self_attn.v_proj,2271,1712.4002685546875,2271,118.79759979248047,14.414434900586917,118.79759979248047,1.102453734347364e-05,5308416
indischepartij/MiniCPM-3B-Bacchus,False,0.019518643617630005,2304,2304,1.9953444004058838,1.3579792734496885,0.8991997241973877,1.9614086151123047,2.005521822663631,0.6805738764563424,model.layers.0.self_attn.o_proj,2248,101.2795639038086,2248,4.792629718780518,21.13235735841056,4.792629718780518,1.0255851520923898e-05,5308416
indischepartij/MiniCPM-3B-Bacchus,False,0.03311803936958313,5760,2304,3.094637632369995,10.350361716379423,1.020517349243164,10.361868858337402,4.505128268354636,3.3446118563654603,model.layers.0.mlp.gate_proj,2304,31998.400390625,2304,2211.11767578125,14.47159540222981,2211.11767578125,0.08213873952627182,13271040
indischepartij/MiniCPM-3B-Bacchus,False,0.05119609832763672,5760,2304,3.1964101791381836,8.146448960058857,1.072837471961975,8.320919036865234,4.483932552841158,2.5486243953381797,model.layers.0.mlp.up_proj,2304,30474.216796875,2304,353.6913146972656,86.16048947359293,353.6913146972656,0.09283779561519623,13271040
indischepartij/MiniCPM-3B-Bacchus,False,0.04630500078201294,2304,5760,4.51204252243042,6.106777883882736,1.071884036064148,6.118133068084717,3.174645306137772,1.3534397899675177,model.layers.0.mlp.down_proj,2304,1495.01416015625,2304,22.565231323242188,66.25299509411124,22.565231323242188,0.01043756678700447,13271040
indischepartij/MiniCPM-3B-Bacchus,False,0.04260128736495972,2304,2304,4.608141899108887,9.916615623305562,1.0287134647369385,10.03520393371582,4.116454996566207,2.151977052881817,model.layers.1.self_attn.q_proj,2300,13075.400390625,2300,141.89825439453125,92.1463089621272,141.89825439453125,1.2403869732224848e-05,5308416
indischepartij/MiniCPM-3B-Bacchus,False,0.04198753833770752,2304,2304,4.851495265960693,11.101901521956188,1.0216041803359985,11.124654769897461,4.111239173537606,2.288346357843511,model.layers.1.self_attn.k_proj,2298,12919.3056640625,2300,194.24343872070312,66.51089863909785,194.24343872070312,1.2048436474287882e-05,5308416
indischepartij/MiniCPM-3B-Bacchus,False,0.04704049229621887,2304,2304,3.4801387786865234,7.350454727554925,1.0144938230514526,7.5630292892456055,3.898624951269076,2.1121154054463136,model.layers.1.self_attn.v_proj,2295,7918.17236328125,2295,129.4539794921875,61.16592471194838,129.4539794921875,1.5380170225398615e-05,5308416
indischepartij/MiniCPM-3B-Bacchus,False,0.055583417415618896,2304,2304,2.6551480293273926,1.525290848569308,1.0107816457748413,2.52186918258667,2.579568869844525,0.5744654654737641,model.layers.1.self_attn.o_proj,2281,379.8121643066406,2281,3.753751039505005,101.18203373357579,3.753751039505005,1.0759490578493569e-05,5308416
indischepartij/MiniCPM-3B-Bacchus,False,0.047926902770996094,5760,2304,2.806993007659912,8.033681838564863,1.0322489738464355,8.346427917480469,4.424792339934566,2.86202417200257,model.layers.1.mlp.gate_proj,2304,26594.53125,2304,727.8203125,36.53996844172991,727.8203125,0.25001251697540283,13271040
indischepartij/MiniCPM-3B-Bacchus,False,0.03695178031921387,5760,2304,5.955484390258789,14.453658100519046,1.090375542640686,14.455388069152832,4.514041294180742,2.426949204024524,model.layers.1.mlp.up_proj,2304,32661.888671875,2304,267.2693786621094,122.205876465808,267.2693786621094,0.24233587086200714,13271040
indischepartij/MiniCPM-3B-Bacchus,False,0.03365910053253174,2304,5760,5.800721645355225,4.393667516853279,1.0934783220291138,4.713971138000488,3.2111807570792665,0.7574346409763332,model.layers.1.mlp.down_proj,2304,1626.2254638671875,2304,5.720508575439453,284.27987519313524,5.720508575439453,0.03680717945098877,13271040
