model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
maldv/badger-kappa-llama-3-8b,False,0.027613699436187744,4096,4096,2.484172821044922,7.381538456909985,0.919845700263977,7.4112114906311035,3.721563076787808,2.9714271061886413,model.layers.0.self_attn.q_proj,3018,5266.9970703125,3829,936.3260498046875,5.625174127550085,936.3260498046875,1.0003514944401104e-05,16777216
maldv/badger-kappa-llama-3-8b,False,0.043470174074172974,1024,4096,2.642265796661377,6.681733220007823,0.7942854762077332,6.739218711853027,3.4432350178467033,2.5287892037396453,model.layers.0.self_attn.k_proj,1024,2774.8212890625,1024,337.9007873535156,8.211940880029529,337.9007873535156,0.0003958767920266837,4194304
maldv/badger-kappa-llama-3-8b,False,0.0351390540599823,1024,4096,4.5189619064331055,1.6169356251474039,1.0083893537521362,1.7954133749008179,2.248395117940256,0.3578112979544187,model.layers.0.self_attn.v_proj,1024,177.17201232910156,1024,2.2793514728546143,77.7291323602739,2.2793514728546143,0.004083361476659775,4194304
maldv/badger-kappa-llama-3-8b,False,0.011503219604492188,4096,4096,3.682378053665161,4.799474631628352,1.120487093925476,4.838873863220215,2.9647296560645975,1.3033628165503859,model.layers.0.self_attn.o_proj,4058,921.997314453125,4058,20.10771942138672,45.85290331197291,20.10771942138672,1.0790074156830087e-05,16777216
maldv/badger-kappa-llama-3-8b,False,0.021405398845672607,14336,4096,3.0597846508026123,5.827178818855028,1.1693476438522339,6.170870780944824,3.894675438567003,1.9044408296271766,model.layers.0.mlp.gate_proj,4096,7846.490234375,4096,80.24922180175781,97.77652740058255,80.24922180175781,0.015600250102579594,58720256
maldv/badger-kappa-llama-3-8b,False,0.0345381498336792,14336,4096,4.088512420654297,5.804783199053907,1.1908466815948486,6.1008620262146,3.809789202507803,1.419778785489161,model.layers.0.mlp.up_proj,4096,6453.4091796875,4096,26.28928565979004,245.47677952155664,26.28928565979004,0.017833493649959564,58720256
maldv/badger-kappa-llama-3-8b,False,0.0261765718460083,4096,14336,3.5933940410614014,5.655403367684299,1.1912963390350342,5.826780796051025,3.807213651452032,1.5738333461514369,model.layers.0.mlp.down_proj,4096,6415.2509765625,4096,37.482913970947266,171.15134062242103,37.482913970947266,0.12140926718711853,58720256
maldv/badger-kappa-llama-3-8b,False,0.032828956842422485,4096,4096,3.6103968620300293,7.906386662879966,1.0677539110183716,7.948429584503174,3.7519063270404533,2.1898940656718877,model.layers.1.self_attn.q_proj,3837,5648.1513671875,3949,154.84388732910156,36.476424511243714,154.84388732910156,1.0346350791223813e-05,16777216
maldv/badger-kappa-llama-3-8b,False,0.028886735439300537,1024,4096,4.091920852661133,7.788184151952986,0.9238998293876648,7.878179550170898,3.4591782785985496,1.903307623090518,model.layers.1.self_attn.k_proj,1024,2878.579833984375,1024,80.04010009765625,35.96422081521942,80.04010009765625,0.00016526589752174914,4194304
maldv/badger-kappa-llama-3-8b,False,0.05001622438430786,1024,4096,8.693195343017578,1.6596884705699941,1.021673560142517,1.6827919483184814,2.4007355893067683,0.19091811527082098,model.layers.1.self_attn.v_proj,1024,251.6144561767578,1024,1.5520943403244019,162.11286236902848,1.5520943403244019,0.012125776149332523,4194304
maldv/badger-kappa-llama-3-8b,False,0.022588767111301422,4096,4096,3.754119634628296,4.954920032822041,1.1276447772979736,4.987215995788574,3.0765859593376614,1.3198620489122048,model.layers.1.self_attn.o_proj,4068,1192.850341796875,4068,20.88632583618164,57.111545187640694,20.88632583618164,1.0311575351806823e-05,16777216
maldv/badger-kappa-llama-3-8b,False,0.02239990234375,14336,4096,3.1510956287384033,5.205494902259868,1.1788009405136108,5.7094035148620605,3.9041528182295835,1.6519634805066135,model.layers.1.mlp.gate_proj,4096,8019.60205078125,4096,44.870765686035156,178.72665928848056,44.870765686035156,0.027355952188372612,58720256
maldv/badger-kappa-llama-3-8b,False,0.03372830152511597,14336,4096,4.537430763244629,4.553935683422759,1.192068338394165,5.701876163482666,3.8222648998110293,1.00363750347704,model.layers.1.mlp.up_proj,4096,6641.48046875,4096,10.084108352661133,658.6085984486031,10.084108352661133,0.02835029549896717,58720256
maldv/badger-kappa-llama-3-8b,False,0.022073984146118164,4096,14336,4.815410614013672,6.372962836140965,1.1963104009628296,6.472805976867676,3.8203001626425346,1.3234515905236717,model.layers.1.mlp.down_proj,4096,6611.50244140625,4096,21.05967140197754,313.9413866061281,21.05967140197754,0.06868933886289597,58720256
maldv/badger-kappa-llama-3-8b,False,0.026960313320159912,4096,4096,3.3828680515289307,6.5706357222778,1.1175127029418945,6.6337103843688965,3.707965047834938,1.942326931524307,model.layers.2.self_attn.q_proj,4047,5104.63916015625,4057,87.56427001953125,58.29591406423714,87.56427001953125,1.1936923328903504e-05,16777216
maldv/badger-kappa-llama-3-8b,False,0.03585851192474365,1024,4096,5.558272361755371,9.328604024204482,0.9784207344055176,9.342050552368164,3.4750251372638608,1.678327979821844,model.layers.2.self_attn.k_proj,1024,2985.555419921875,1024,47.67909240722656,62.61770661283318,47.67909240722656,0.00016429398965556175,4194304
maldv/badger-kappa-llama-3-8b,False,0.04552769660949707,1024,4096,4.939022541046143,-0.2752076845237579,1.013793706893921,0.6629645228385925,2.2495731422868963,-0.055721082914002185,model.layers.2.self_attn.v_proj,1024,177.6532440185547,1024,0.8795872330665588,201.97342269190437,0.8795872330665588,0.008577653206884861,4194304
maldv/badger-kappa-llama-3-8b,False,0.01380389928817749,4096,4096,3.2448859214782715,3.908352893721115,1.1275575160980225,4.006306171417236,3.0043204289694008,1.2044654229140321,model.layers.2.self_attn.o_proj,4067,1009.997802734375,4067,16.012731552124023,63.07467276564709,16.012731552124023,1.1078524039476179e-05,16777216
maldv/badger-kappa-llama-3-8b,False,0.021986722946166992,14336,4096,4.599430084228516,8.193431102876747,1.1892722845077515,8.204948425292969,3.9291367222588414,1.7814013807867397,model.layers.2.mlp.gate_proj,4096,8494.478515625,4096,60.450706481933594,140.519094150929,60.450706481933594,0.0183066688477993,58720256
maldv/badger-kappa-llama-3-8b,False,0.03401505947113037,14336,4096,10.562167167663574,10.018805530215221,1.1958699226379395,10.065027236938477,3.8183429930591184,0.948555857067679,model.layers.2.mlp.up_proj,4096,6581.7744140625,4096,8.882922172546387,740.9469863874494,8.882922172546387,0.01564478687942028,58720256
maldv/badger-kappa-llama-3-8b,False,0.01396837830543518,4096,14336,4.491489410400391,5.888231230019541,1.191422939300537,6.217097759246826,3.820792060710608,1.310975200427922,model.layers.2.mlp.down_proj,4096,6618.9951171875,4096,20.46327781677246,323.45722794039995,20.46327781677246,0.08735848218202591,58720256
maldv/badger-kappa-llama-3-8b,False,0.01918613910675049,4096,4096,3.3677265644073486,6.732318993985043,1.121854305267334,6.7872161865234375,3.7120510065522034,1.9990693618470163,model.layers.3.self_attn.q_proj,4060,5152.8916015625,4070,99.78594207763672,51.63945435874506,99.78594207763672,1.0073806151922327e-05,16777216
