model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
mlabonne/NeuralPipe-7B-ties,False,0.026585549116134644,4096,4096,1.427562952041626,2.4762813684687086,0.5950948596000671,2.975931406021118,2.452206554522899,1.7346214854674258,model.layers.0.self_attn.q_proj,2092,283.2738952636719,2147,54.277706146240234,5.218973228169371,54.277706146240234,1.0051202480099164e-05,16777216
mlabonne/NeuralPipe-7B-ties,False,0.023724913597106934,1024,4096,1.4543298482894897,1.6530665204108965,0.5881498456001282,2.143097162246704,1.8897538428989167,1.1366517178720845,model.layers.0.self_attn.k_proj,974,77.58072662353516,974,13.69782829284668,5.6637245674958265,13.69782829284668,1.0183506674366072e-05,4194304
mlabonne/NeuralPipe-7B-ties,False,0.0475541353225708,1024,4096,4.452949047088623,-3.0389849011129253,0.9658801555633545,-2.658170700073242,1.2240613448964053,-0.6824656803786785,model.layers.0.self_attn.v_proj,1024,16.751794815063477,1024,0.20774678885936737,80.63563777346026,0.20774678885936737,0.0005134923849254847,4194304
mlabonne/NeuralPipe-7B-ties,False,0.03300705552101135,4096,4096,3.6587119102478027,-0.33475995006962095,1.0861530303955078,0.09993552416563034,1.8343854045499486,-0.09149666830339419,model.layers.0.self_attn.o_proj,3942,68.29444885253906,3942,0.8100341558456421,84.31057920174055,0.8100341558456421,1.0065657988889143e-05,16777216
mlabonne/NeuralPipe-7B-ties,False,0.020165234804153442,14336,4096,2.3825182914733887,1.4206448427314273,1.1347169876098633,2.6195271015167236,2.7821258796708213,0.59627867194794,model.layers.0.mlp.gate_proj,4096,605.516357421875,4096,3.9471049308776855,153.40771730819714,3.9471049308776855,0.0003027663624379784,58720256
mlabonne/NeuralPipe-7B-ties,False,0.04718485474586487,14336,4096,3.2519876956939697,0.6502581901911944,1.1636290550231934,1.9351940155029297,2.731914696554651,0.19995714960798155,model.layers.0.mlp.up_proj,4096,539.4046630859375,4096,1.5847368240356445,340.3749158250171,1.5847368240356445,0.00035490046138875186,58720256
mlabonne/NeuralPipe-7B-ties,False,0.03174719214439392,4096,14336,4.067090034484863,0.8826208523955821,1.1869884729385376,1.4559847116470337,2.7069325992146998,0.21701532174400823,model.layers.0.mlp.down_proj,4096,509.2518310546875,4096,1.6482205390930176,308.97068624986224,1.6482205390930176,0.010073508135974407,58720256
mlabonne/NeuralPipe-7B-ties,False,0.0527949184179306,4096,4096,2.940793514251709,2.668330487815676,0.9467830657958984,3.130549192428589,2.43370363402516,0.9073505075702801,model.layers.1.self_attn.q_proj,3093,271.4586181640625,3093,8.07886791229248,33.60107147574748,8.07886791229248,1.0050403943751007e-05,16777216
mlabonne/NeuralPipe-7B-ties,False,0.03866446018218994,1024,4096,2.957207679748535,1.759271161092963,0.8385209441184998,2.187314987182617,2.0026100616310734,0.5949095740352472,model.layers.1.self_attn.k_proj,969,100.60279846191406,969,3.9346814155578613,25.56821959311045,3.9346814155578613,1.0963868589897174e-05,4194304
mlabonne/NeuralPipe-7B-ties,False,0.11114177107810974,1024,4096,4.636137008666992,-4.769350880091082,1.0130140781402588,-3.223724365234375,1.4060516984894251,-1.0287338081629283,model.layers.1.self_attn.v_proj,1024,25.47133445739746,1024,0.09359791874885559,272.1356927363184,0.09359791874885559,0.0021531106904149055,4194304
