model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
mobiuslabsgmbh/aanaphi2-v0.1,False,0.018693208694458008,2560,2560,3.258556842803955,8.199847275143608,0.9936481714248657,8.291587829589844,4.013606539389917,2.5164045529086803,model.layers.0.self_attn.q_proj,2514,10318.26171875,2532,328.40106201171875,31.419696561096384,328.40106201171875,1.0473763722984586e-05,6556160
mobiuslabsgmbh/aanaphi2-v0.1,False,0.03912818431854248,2560,2560,3.6165518760681152,9.585186841339087,0.9924653768539429,9.600883483886719,4.010329941910346,2.650366196809548,model.layers.0.self_attn.k_proj,2507,10240.70703125,2532,447.0603942871094,22.906764191401965,447.0603942871094,1.0822767762874719e-05,6556160
mobiuslabsgmbh/aanaphi2-v0.1,False,0.016986995935440063,2560,2560,4.801691055297852,6.051860014009589,1.0796071290969849,6.4844770431518555,3.611537678834692,1.2603601406909317,model.layers.0.self_attn.v_proj,2550,4088.252197265625,2550,18.21210479736328,224.47994027892457,18.21210479736328,2.2149188225739636e-05,6556160
mobiuslabsgmbh/aanaphi2-v0.1,False,0.013484299182891846,2560,2560,3.9869911670684814,7.844109252749254,1.063393235206604,7.849443435668945,3.572703794601664,1.967425791544153,model.layers.0.self_attn.dense,2555,3738.55517578125,2555,92.77389526367188,40.29749063738172,92.77389526367188,1.2962631444679573e-05,6556160
mobiuslabsgmbh/aanaphi2-v0.1,False,0.09533202648162842,10240,2560,4.937099933624268,13.648231367716079,1.0554877519607544,13.65648078918457,3.991510356537696,2.7644227484164112,model.layers.0.mlp.fc1,2560,9806.4169921875,2560,581.3300170898438,16.868932798754706,581.3300170898438,0.0002595447876956314,26224640
mobiuslabsgmbh/aanaphi2-v0.1,False,0.04471522569656372,2560,10240,5.250883102416992,7.578405389932136,1.1025826930999756,7.792640686035156,3.819229333399524,1.44326301730918,model.layers.0.mlp.fc2,2560,6595.220703125,2560,27.750001907348633,237.6655945878866,27.750001907348633,0.05379994586110115,26216960
mobiuslabsgmbh/aanaphi2-v0.1,False,0.044461190700531006,2560,2560,2.433816909790039,5.364412590204827,0.9899905323982239,5.953321933746338,3.870954220980857,2.2041150953576065,model.layers.1.self_attn.q_proj,2548,7429.408203125,2550,159.99819946289062,46.434323811551074,159.99819946289062,1.1045485734939575e-05,6556160
mobiuslabsgmbh/aanaphi2-v0.1,False,0.03961664438247681,2560,2560,3.0955705642700195,7.448454652532162,0.9999638795852661,7.514618873596191,3.8728056802450457,2.4061653572056807,model.layers.1.self_attn.k_proj,2542,7461.1484375,2548,254.78001403808594,29.284669229921096,254.78001403808594,1.4265619029174559e-05,6556160
mobiuslabsgmbh/aanaphi2-v0.1,False,0.07111465930938721,2560,2560,3.8914945125579834,4.04331629334953,1.0484122037887573,4.8987345695495605,3.288787226499596,1.0390137465957134,model.layers.1.self_attn.v_proj,2549,1944.4072265625,2549,10.939909934997559,177.73521337156546,10.939909934997559,1.0909378033829853e-05,6556160
mobiuslabsgmbh/aanaphi2-v0.1,False,0.020241200923919678,2560,2560,4.701664924621582,7.043022209634295,1.058115005493164,7.049505710601807,3.319253864413704,1.4979847187219875,model.layers.1.self_attn.dense,2552,2085.709716796875,2552,31.476375579833984,66.26270268973184,31.476375579833984,1.3450578990159556e-05,6556160
