model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
tyson0420/stack_llama_full,False,0.020150184631347656,4096,4096,1.5510201454162598,4.153722139177847,0.773511528968811,4.577566146850586,3.485541971835299,2.6780581486664565,model.layers.0.self_attn.q_proj,3029,3058.73583984375,3659,476.4947814941406,6.4192431032560275,476.4947814941406,1.0017914064519573e-05,16777216
tyson0420/stack_llama_full,False,0.03176805377006531,4096,4096,1.4557363986968994,3.6969687613714246,0.7984920740127563,4.443960666656494,3.585476950254294,2.539586675637678,model.layers.0.self_attn.k_proj,3111,3850.143798828125,3642,346.4070129394531,11.11450881481165,346.4070129394531,1.002349927148316e-05,16777216
tyson0420/stack_llama_full,False,0.06789612770080566,4096,4096,3.608537197113037,4.371150417669926,1.0858049392700195,5.2401652336120605,3.3145963546154547,1.21133583468864,model.layers.0.self_attn.v_proj,4066,2063.46142578125,4066,16.268062591552734,126.84125194186994,16.268062591552734,1.0926099093921948e-05,16777216
tyson0420/stack_llama_full,False,0.05330049991607666,4096,4096,2.2254974842071533,2.85804725818534,1.07794189453125,3.3632030487060547,2.937415585316974,1.2842284830546713,model.layers.0.self_attn.o_proj,4056,865.7960205078125,4056,19.241037368774414,44.997367029330846,19.241037368774414,1.0351591299695428e-05,16777216
tyson0420/stack_llama_full,False,0.013321518898010254,11008,4096,2.6928563117980957,5.766943501764233,1.1414804458618164,6.415280818939209,4.084086960322047,2.141571192082463,model.layers.0.mlp.gate_proj,4096,12136.318359375,4096,138.53872680664062,87.60235234667441,138.53872680664062,0.03337067365646362,45088768
tyson0420/stack_llama_full,False,0.0269089937210083,11008,4096,2.9721639156341553,6.091170086797994,1.1515610218048096,6.6921772956848145,4.069331094049884,2.0494058402220903,model.layers.0.mlp.up_proj,4096,11730.8935546875,4096,112.04844665527344,104.69483428698115,112.04844665527344,0.024589361622929573,45088768
tyson0420/stack_llama_full,False,0.017643094062805176,4096,11008,4.226236820220947,8.023332226156963,1.1771878004074097,8.107190132141113,4.105532404538094,1.8984577929396544,model.layers.0.mlp.down_proj,4096,12750.65234375,4096,79.15125274658203,161.09223671511134,79.15125274658203,0.15584395825862885,45088768
tyson0420/stack_llama_full,False,0.0321199893951416,4096,4096,2.911686897277832,7.368695166064567,0.9899662733078003,7.780533790588379,4.0710042796918895,2.530730612880678,model.layers.1.self_attn.q_proj,3859,11776.17578125,3984,339.4146728515625,34.695541245502135,339.4146728515625,1.0081936125061475e-05,16777216
tyson0420/stack_llama_full,False,0.0326387882232666,4096,4096,3.1089980602264404,8.108910037955287,0.9869049787521362,8.36423110961914,4.069251331569772,2.608206850204559,model.layers.1.self_attn.k_proj,3808,11728.7392578125,3971,405.70172119140625,28.90975967114271,405.70172119140625,1.0124861546501052e-05,16777216
tyson0420/stack_llama_full,False,0.017620742321014404,4096,4096,4.172670841217041,4.2852737897896755,1.1245242357254028,4.824065208435059,3.2312869259075,1.0269858210382565,model.layers.1.self_attn.v_proj,4073,1703.283447265625,4073,10.641082763671875,160.0667418056882,10.641082763671875,1.0943537745333742e-05,16777216
