model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
vikash06/llama-2-7b-small-model-new,False,0.01984626054763794,4096,4096,1.5521068572998047,4.156592568255655,0.7733072638511658,4.579970836639404,3.4853340402800366,2.6780324748302866,model.layers.0.self_attn.q_proj,3032,3057.271728515625,3660,476.46661376953125,6.416549743807316,476.46661376953125,1.0023763024946675e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.03187417984008789,4096,4096,1.461327075958252,3.7098355390156375,0.7984607815742493,4.454367160797119,3.584593290757705,2.5386757010458774,model.layers.0.self_attn.k_proj,3114,3842.31787109375,3644,345.68115234375,11.115207887506974,345.68115234375,1.0022925380326342e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.07078734040260315,4096,4096,3.2275421619415283,3.9092132459639415,1.0862785577774048,4.864938735961914,3.3132410956366933,1.211204393256432,model.layers.0.self_attn.v_proj,4066,2057.0322265625,4066,16.263139724731445,126.48432353036725,16.263139724731445,1.0559796464804094e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.054428696632385254,4096,4096,2.2935972213745117,2.9452752534276385,1.078250765800476,3.4138906002044678,2.9394408206930684,1.2841292385515657,model.layers.0.self_attn.o_proj,4056,869.8428955078125,4056,19.23664093017578,45.218024220815145,19.23664093017578,1.028030692395987e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.013087183237075806,11008,4096,2.6846060752868652,5.749711945283255,1.14104425907135,6.406553268432617,4.08609672973169,2.1417339393709245,model.layers.0.mlp.gate_proj,4096,12192.611328125,4096,138.5906524658203,87.97571200649324,138.5906524658203,0.034455306828022,45088768
vikash06/llama-2-7b-small-model-new,False,0.02665179967880249,11008,4096,2.9588623046875,6.063351335316113,1.1512701511383057,6.672553539276123,4.070929758837492,2.0492171351503607,model.layers.0.mlp.up_proj,4096,11774.1552734375,4096,111.99977111816406,105.12660120541955,111.99977111816406,0.024870404973626137,45088768
vikash06/llama-2-7b-small-model-new,False,0.017442941665649414,4096,11008,4.2192583084106445,8.011231167402055,1.1771302223205566,8.096131324768066,4.10621972421834,1.8987297249453805,model.layers.0.mlp.down_proj,4096,12770.84765625,4096,79.2008285522461,161.24638958575423,79.2008285522461,0.15614505112171173,45088768
vikash06/llama-2-7b-small-model-new,False,0.03260493278503418,4096,4096,2.912899971008301,7.370514803471689,0.9899342060089111,7.7822957038879395,4.070494552425585,2.5303013755465087,model.layers.1.self_attn.q_proj,3859,11762.3623046875,3984,339.0793762207031,34.6891115460573,339.0793762207031,1.0151818969461601e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.033102698624134064,4096,4096,3.084275007247925,8.044474053586141,0.9868826270103455,8.304720878601074,4.068908287208932,2.608222040733055,model.layers.1.self_attn.k_proj,3809,11719.478515625,3971,405.7159118652344,28.885922816647696,405.7159118652344,1.0095731340697967e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.020740747451782227,4096,4096,4.16851282119751,4.303871473332523,1.1248016357421875,4.783005237579346,3.2304960081428225,1.0324716890509955,model.layers.1.self_attn.v_proj,4071,1700.184326171875,4071,10.776350021362305,157.76996133213427,10.776350021362305,1.036336561810458e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.01911306381225586,4096,4096,3.96770977973938,4.6643501867501636,1.1201882362365723,4.770533084869385,3.0604522448104317,1.1755774604705445,model.layers.1.self_attn.o_proj,4063,1149.349853515625,4063,14.982264518737793,76.7140275809557,14.982264518737793,1.0343367648601998e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.012726962566375732,11008,4096,2.6131339073181152,6.025878530900878,1.1399778127670288,6.446981906890869,4.177407301551902,2.3059968392837917,model.layers.1.mlp.gate_proj,4096,15045.5234375,4096,202.30044555664062,74.37217152983241,202.30044555664062,0.018433798104524612,45088768
vikash06/llama-2-7b-small-model-new,False,0.056635379791259766,11008,4096,4.2760772705078125,7.798296063785813,1.1714283227920532,8.008674621582031,4.125166448239729,1.823703261297641,model.layers.1.mlp.up_proj,4096,13340.326171875,4096,66.6351318359375,200.1995914815663,66.6351318359375,0.016789011657238007,45088768
vikash06/llama-2-7b-small-model-new,False,0.02235126495361328,4096,11008,4.7969255447387695,7.898048978477101,1.1884427070617676,8.141295433044434,4.136327881428306,1.6464814608472753,model.layers.1.mlp.down_proj,4096,13687.6181640625,4096,44.30792999267578,308.9202805530545,44.30792999267578,0.20768889784812927,45088768
vikash06/llama-2-7b-small-model-new,False,0.021825522184371948,4096,4096,3.059199094772339,7.404347941066489,1.0728521347045898,7.613237380981445,4.075813858418817,2.4203550379310994,model.layers.2.self_attn.q_proj,3992,11907.3154296875,4049,263.2419128417969,45.23335703324553,263.2419128417969,1.0052835023088846e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.02785930037498474,4096,4096,3.326622724533081,8.538929861360629,1.0714433193206787,8.595010757446289,4.119634012626439,2.5668464891999854,model.layers.2.self_attn.k_proj,3948,13171.462890625,4036,368.8471984863281,35.709808681421286,368.8471984863281,1.0061871762445662e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.023824036121368408,4096,4096,4.076324462890625,4.472943780074313,1.1452587842941284,5.4012131690979,3.5393409677456,1.0972982697511853,model.layers.2.self_attn.v_proj,4083,3462.11083984375,4083,12.51117992401123,276.72136927703593,12.51117992401123,1.1139615708088968e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.013457655906677246,4096,4096,4.414872646331787,6.885770442662072,1.152539610862732,6.893758773803711,3.5129207151945527,1.5596758942487945,model.layers.2.self_attn.o_proj,4085,3257.772216796875,4085,36.28071975708008,89.79348366321013,36.28071975708008,1.0441440281283576e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.015511155128479004,11008,4096,2.8549368381500244,5.86385463243836,1.1612370014190674,6.518354892730713,4.20097755396999,2.0539349782036123,model.layers.2.mlp.gate_proj,4096,15884.646484375,4096,113.22308349609375,140.29512351978144,113.22308349609375,0.020881418138742447,45088768
vikash06/llama-2-7b-small-model-new,False,0.06367850303649902,11008,4096,4.11945104598999,6.412404210283146,1.1812081336975098,7.088545799255371,4.14015015924009,1.556616194413863,model.layers.2.mlp.up_proj,4096,13808.6162109375,4096,36.0260124206543,383.29571559856555,36.0260124206543,0.016934866085648537,45088768
vikash06/llama-2-7b-small-model-new,False,0.017973661422729492,4096,11008,5.341361999511719,8.054041758136664,1.1910102367401123,8.37480640411377,4.144694949790064,1.507862930629477,model.layers.2.mlp.down_proj,4096,13953.87890625,4096,32.200523376464844,433.34323306213093,32.200523376464844,0.1361655443906784,45088768
vikash06/llama-2-7b-small-model-new,False,0.02423536777496338,4096,4096,4.127574443817139,9.310758741249723,1.1073733568191528,9.355895042419434,4.028008895738418,2.255745806159035,model.layers.3.self_attn.q_proj,4059,10666.1796875,4077,180.19627380371094,59.19201025831835,180.19627380371094,1.0834602107934188e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.03895184397697449,4096,4096,3.1617929935455322,7.496114429960024,1.1119792461395264,7.559276103973389,4.062303778052128,2.3708428873308764,model.layers.3.self_attn.k_proj,4044,11542.603515625,4074,234.8782958984375,49.142912381381024,234.8782958984375,1.0238731192657724e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.041273653507232666,4096,4096,4.877727031707764,4.755589588660273,1.1510446071624756,5.581393241882324,3.493862372442388,0.9749601725858102,model.layers.3.self_attn.v_proj,4083,3117.9013671875,4083,9.439743041992188,330.2951524546467,9.439743041992188,1.072941995516885e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.01429283618927002,4096,4096,4.191120624542236,6.732892666582907,1.1490819454193115,6.739807605743408,3.475133618893012,1.6064659716918286,model.layers.3.self_attn.o_proj,4083,2986.30126953125,4083,40.40787124633789,73.90394934011512,40.40787124633789,1.0380610547144897e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.01670968532562256,11008,4096,3.907363176345825,7.768066047435541,1.1808737516403198,7.961930274963379,4.213502218779061,1.9880583648997414,model.layers.3.mlp.gate_proj,4096,16349.4150390625,4096,97.28779602050781,168.0520651903361,97.28779602050781,0.05071249604225159,45088768
vikash06/llama-2-7b-small-model-new,False,0.026986420154571533,11008,4096,7.898282527923584,10.938665743708068,1.18968665599823,11.112371444702148,4.146146817539039,1.3849423219586683,model.layers.3.mlp.up_proj,4096,14000.60546875,4096,24.26287841796875,577.0381084868045,24.26287841796875,0.040406517684459686,45088768
vikash06/llama-2-7b-small-model-new,False,0.03426042199134827,4096,11008,4.13969612121582,6.652284122920929,1.183745265007019,7.223469257354736,4.147288893090148,1.6069498649497893,model.layers.3.mlp.down_proj,4096,14037.4716796875,4096,40.452919006347656,347.0076331817937,40.452919006347656,0.13050441443920135,45088768
vikash06/llama-2-7b-small-model-new,False,0.030715227127075195,4096,4096,2.766536235809326,6.305051161556594,1.1012301445007324,6.664488315582275,4.064443620241625,2.2790415971949507,model.layers.4.self_attn.q_proj,4060,11599.6162109375,4079,190.12603759765625,61.01014020754248,190.12603759765625,1.0303880117135122e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.03320121765136719,4096,4096,4.020005226135254,9.627504673441777,1.10587477684021,9.65030288696289,4.082615305181215,2.394898546611456,model.layers.4.self_attn.k_proj,4050,12095.2626953125,4074,248.25531005859375,48.72106337809149,248.25531005859375,1.0602827387629077e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.048809587955474854,4096,4096,4.783437728881836,4.705315694984904,1.1511352062225342,5.7177605628967285,3.5402788101758715,0.9836682239166111,model.layers.4.self_attn.v_proj,4085,3469.59521484375,4085,9.630929946899414,360.25547210638297,9.630929946899414,1.0852693776541855e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.039335012435913086,4096,4096,4.143593788146973,6.342368243335254,1.1507394313812256,6.363819122314453,3.521775322471998,1.530644307238326,model.layers.4.self_attn.o_proj,4085,3324.875,4085,33.934722900390625,97.97855163749479,33.934722900390625,1.113990947487764e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.015904545783996582,11008,4096,3.6410107612609863,7.577851663268706,1.1793767213821411,7.74371337890625,4.231818201020733,2.0812494552046528,model.layers.4.mlp.gate_proj,4096,17053.68359375,4096,120.57283020019531,141.43885952941972,120.57283020019531,0.03843175247311592,45088768
vikash06/llama-2-7b-small-model-new,False,0.03551989793777466,11008,4096,8.17574691772461,11.541731977303334,1.1902769804000854,11.632340431213379,4.140115758370694,1.411703675939557,model.layers.4.mlp.up_proj,4096,13807.5224609375,4096,25.804988861083984,535.0718241060883,25.804988861083984,0.028826408088207245,45088768
vikash06/llama-2-7b-small-model-new,False,0.039727091789245605,4096,11008,4.183000564575195,6.680244938596106,1.1840033531188965,7.228459358215332,4.137186101855232,1.5969983353981494,model.layers.4.mlp.down_proj,4096,13714.693359375,4096,39.5365104675293,346.8867939328803,39.5365104675293,0.1516086906194687,45088768
vikash06/llama-2-7b-small-model-new,False,0.04182448983192444,4096,4096,2.8054375648498535,6.385073473863054,1.1047178506851196,6.713951587677002,4.068973675731591,2.275963490994597,model.layers.5.self_attn.q_proj,4061,11721.2431640625,4077,188.78326416015625,62.08835945393264,188.78326416015625,1.1697573427227326e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.03881204128265381,4096,4096,3.4894790649414062,8.503906037380156,1.1067478656768799,8.548206329345703,4.1039026588849445,2.4370130552776224,model.layers.5.self_attn.k_proj,4049,12702.8935546875,4075,273.53509521484375,46.43972117987352,273.53509521484375,1.0443866813147906e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.04359561204910278,4096,4096,4.465684413909912,4.257835311510376,1.1520568132400513,5.461869239807129,3.5625466206522964,0.953456383583193,model.layers.5.self_attn.v_proj,4085,3652.13330078125,4085,8.983723640441895,406.527788136814,8.983723640441895,1.0165100320591591e-05,16777216
vikash06/llama-2-7b-small-model-new,False,0.037000417709350586,4096,4096,4.493477821350098,6.763947921246937,1.1490586996078491,6.784768581390381,3.5439107295229886,1.5052812521092316,model.layers.5.self_attn.o_proj,4084,3498.732421875,4084,32.009674072265625,109.30234447174307,32.009674072265625,1.0435910553496797e-05,16777216
