model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.02763456106185913,4096,4096,2.4830145835876465,7.373776519571042,0.8900168538093567,7.404441833496094,3.7233438963494194,2.9696871570189707,model.layers.0.self_attn.q_proj,2842,5288.638671875,3319,932.582275390625,5.670962028159693,932.582275390625,1.0028301403508522e-05,16777216
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.044786661863327026,1024,4096,2.644670248031616,6.67878327334038,0.7958751916885376,6.738372802734375,3.445297865477894,2.5253746769795917,model.layers.0.self_attn.k_proj,1013,2788.03271484375,1022,335.2545471191406,8.31616674196206,335.2545471191406,1.2726412023766898e-05,4194304
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.0340343713760376,1024,4096,4.686387538909912,1.7125001251536471,1.0105586051940918,1.8771330118179321,2.2702036135489134,0.36542008336595805,model.layers.0.self_attn.v_proj,1024,186.29603576660156,1024,2.3196372985839844,80.31257122840947,2.3196372985839844,0.015597346238791943,4194304
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.010101616382598877,4096,4096,3.686777353286743,4.819399763896789,1.1204746961593628,4.858283042907715,2.967816336136308,1.3072120451212816,model.layers.0.self_attn.o_proj,4058,928.5736083984375,4058,20.28672981262207,45.77246391977352,20.28672981262207,1.0603956980048679e-05,16777216
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.02162182331085205,14336,4096,3.0557644367218018,5.826469516625083,1.1692928075790405,6.17196798324585,3.896550894079183,1.9067142239784916,model.layers.0.mlp.gate_proj,4096,7880.44775390625,4096,80.67040252685547,97.68697697129775,80.67040252685547,0.015787309035658836,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.034890949726104736,14336,4096,4.0656046867370605,5.779856870368734,1.1908234357833862,6.082975387573242,3.8120204914998315,1.421647532339767,model.layers.0.mlp.up_proj,4096,6486.650390625,4096,26.402650833129883,245.68178519732538,26.402650833129883,0.017904134467244148,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.02519172430038452,4096,14336,3.5971693992614746,5.675185655844643,1.1913357973098755,5.843044757843018,3.8098929614180155,1.5776809557564346,model.layers.0.mlp.down_proj,4096,6454.951171875,4096,37.81646728515625,170.6915435331714,37.81646728515625,0.12215548008680344,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.03189808130264282,4096,4096,3.605721950531006,7.897609302207353,1.061972975730896,7.940816402435303,3.7544988035159372,2.1902990331920327,model.layers.1.self_attn.q_proj,3771,5681.96826171875,3835,154.98834228515625,36.66061703702041,154.98834228515625,1.0008477147493977e-05,16777216
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.029154956340789795,1024,4096,4.086861610412598,7.786572406396795,0.926230251789093,7.878367900848389,3.462466216670574,1.9052694093085978,model.layers.1.self_attn.k_proj,998,2900.45556640625,1011,80.40247344970703,36.074208192370214,80.40247344970703,1.0210977961833123e-05,4194304
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.05024760961532593,1024,4096,8.537431716918945,1.6863037290083964,1.0217163562774658,1.7106833457946777,2.4038841587200652,0.19751885402100328,model.layers.1.self_attn.v_proj,1024,253.44525146484375,1024,1.5758644342422485,160.82934924964687,1.5758644342422485,0.012124300934374332,4194304
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.020912960171699524,4096,4096,3.7512295246124268,4.963594794166871,1.127722144126892,4.995764255523682,3.0788120201181552,1.3231914393933826,model.layers.1.self_attn.o_proj,4069,1198.980224609375,4069,21.047060012817383,56.96663685470616,21.047060012817383,1.056884866557084e-05,16777216
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.022246956825256348,14336,4096,3.155261516571045,5.219030559166904,1.1788511276245117,5.721751689910889,3.907011232246803,1.6540722636641045,model.layers.1.mlp.gate_proj,4096,8072.55908203125,4096,45.08917236328125,179.03542378181257,45.08917236328125,0.02689942717552185,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.03388571739196777,14336,4096,4.562680244445801,4.612457899145551,1.192093849182129,5.731359481811523,3.824901933075332,1.010909739896927,model.layers.1.mlp.up_proj,4096,6681.93017578125,4096,10.254387855529785,651.6166805781537,10.254387855529785,0.028451332822442055,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.023001492023468018,4096,14336,5.157166957855225,6.890361777270855,1.196001410484314,6.964661598205566,3.8507788632477014,1.3360749872128312,model.layers.1.mlp.down_proj,4096,7092.16552734375,4096,21.680784225463867,327.11757349690663,21.680784225463867,0.12107504159212112,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.02712571620941162,4096,4096,3.383219003677368,6.5771770640044025,1.1174265146255493,6.640953540802002,3.711090582538292,1.944058914558999,model.layers.2.self_attn.q_proj,4046,5141.5087890625,4055,87.91417694091797,58.483272754948395,87.91417694091797,1.2020886970276479e-05,16777216
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.03520393371582031,1024,4096,5.663159370422363,9.514308520221514,0.9785035848617554,9.526793479919434,3.481005275241707,1.680035453339525,model.layers.2.self_attn.k_proj,1023,3026.9501953125,1023,47.86691665649414,63.2367908097091,47.86691665649414,5.159414286026731e-05,4194304
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.04540908336639404,1024,4096,4.919699668884277,-0.24140775231591266,1.0138041973114014,0.6861316561698914,2.2526382174569997,-0.049069611676247044,model.layers.2.self_attn.v_proj,1024,178.91148376464844,1024,0.8931623101234436,200.31239757521917,0.8931623101234436,0.008446580730378628,4194304
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.014258041977882385,4096,4096,3.251829147338867,3.9304511787210763,1.127612829208374,4.026065826416016,3.006855667361047,1.208689325494717,model.layers.2.self_attn.o_proj,4068,1015.9110107421875,4068,16.16922950744629,62.82989614776251,16.16922950744629,1.0456182280904613e-05,16777216
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.021695613861083984,14336,4096,4.604813098907471,8.215863095308274,1.189296007156372,8.227123260498047,3.931391268490922,1.7841903501485337,model.layers.2.mlp.gate_proj,4096,8538.6904296875,4096,60.84016036987305,140.3462840626519,60.84016036987305,0.018131230026483536,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.034304261207580566,14336,4096,10.532173156738281,10.021673320923368,1.195879578590393,10.067524909973145,3.8208360783777495,0.9515294870092118,model.layers.2.mlp.up_proj,4096,6619.666015625,4096,8.943952560424805,740.127585751706,8.943952560424805,0.015631053596735,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.0127829909324646,4096,14336,4.493412017822266,5.92520959490529,1.1914150714874268,6.242896556854248,3.823541089112093,1.3186437325141944,model.layers.2.mlp.down_proj,4096,6661.025390625,4096,20.827816009521484,319.8139155627214,20.827816009521484,0.08865257352590561,58720256
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.018862664699554443,4096,4096,3.369854688644409,6.741668314170103,1.1217948198318481,6.797018051147461,3.715014927288155,2.0005813119740403,model.layers.3.self_attn.q_proj,4058,5188.1787109375,4068,100.13394165039062,51.81238874078878,100.13394165039062,1.0752348316600546e-05,16777216
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.03648132085800171,1024,4096,5.049920558929443,8.652592710756494,0.9812009334564209,8.682610511779785,3.48050450225677,1.7134116487152817,model.layers.3.self_attn.k_proj,1024,3023.4619140625,1024,51.690608978271484,58.49151274912303,51.690608978271484,4.853495192946866e-05,4194304
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.08229424059391022,1024,4096,6.396690368652344,-0.478905683372328,1.0263398885726929,0.711650550365448,2.4013905478610296,-0.07486772936818324,model.layers.3.self_attn.v_proj,1024,251.99420166015625,1024,0.841651439666748,299.4044681488733,0.841651439666748,0.024743156507611275,4194304
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.037931203842163086,4096,4096,3.257842540740967,3.767583080796267,1.1409330368041992,3.910729169845581,3.12268930936115,1.1564656774171058,model.layers.3.self_attn.o_proj,4073,1326.4451904296875,4073,14.337244033813477,92.51744528455755,14.337244033813477,1.0277051842422225e-05,16777216
0x1202/0d50f72b-a78b-4844-9477-00355bf7804e,True,NousResearch/Hermes-2-Pro-Llama-3-8B,0.02230656147003174,14336,4096,3.5294671058654785,6.8080551141122285,1.1842976808547974,6.878974914550781,3.983222242428675,1.9289187035624151,model.layers.3.mlp.gate_proj,4096,9621.044921875,4096,84.90215301513672,113.31921017550307,84.90215301513672,0.014409934170544147,58720256
