model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Aashraf995/QwenStock-14B,False,0.01838916540145874,5120,5120,3.468724012374878,7.657954229249224,1.1707853078842163,7.943106651306152,4.101067151576922,2.207715056582484,model.layers.0.self_attn.q_proj,5049,12620.2265625,5091,161.32997131347656,78.22617496148888,161.32997131347656,1.024405901262071e-05,26219520
Aashraf995/QwenStock-14B,False,0.04055070877075195,1024,5120,3.4281907081604004,5.898667206851528,1.0046350955963135,6.309134006500244,3.667252477752818,1.7206356673245895,model.layers.0.self_attn.k_proj,1024,4647.85400390625,1024,52.5576171875,88.43349932180085,52.5576171875,0.008467597886919975,5243904
Aashraf995/QwenStock-14B,False,0.07028764486312866,1024,5120,2.985412120819092,2.9875356504982227,1.0313829183578491,3.4623985290527344,2.9641866644238317,1.0007113020223648,model.layers.0.self_attn.v_proj,1024,920.8452758789062,1024,10.01639175415039,91.93383191081209,10.01639175415039,0.08179301023483276,5243904
Aashraf995/QwenStock-14B,False,0.03963637351989746,5120,5120,3.6545493602752686,6.941615597830162,1.1877187490463257,7.3198628425598145,3.7881037819436703,1.8994450241348784,model.layers.0.self_attn.o_proj,5085,6139.0869140625,5099,79.33138275146484,77.38535118309333,79.33138275146484,1.0619395652611274e-05,26214400
Aashraf995/QwenStock-14B,False,0.0279390811920166,13824,5120,3.895465135574341,9.012991988319056,1.177290916442871,9.179142951965332,4.383267595960605,2.3137139403482805,model.layers.0.mlp.gate_proj,5120,24169.49609375,5120,205.92730712890625,117.36906790424057,205.92730712890625,0.010816468857228756,70778880
Aashraf995/QwenStock-14B,False,0.03326225280761719,13824,5120,10.32495403289795,19.73746430482762,1.1882306337356567,19.73814582824707,4.3288092410804655,1.9116273294717825,model.layers.0.mlp.up_proj,5120,21321.08203125,5120,81.58819580078125,261.32557316638,81.58819580078125,0.008081783540546894,70778880
Aashraf995/QwenStock-14B,False,0.014071524143218994,5120,13824,4.376921653747559,8.294929914726307,1.2394837141036987,8.673018455505371,4.445400701674526,1.8951515633422673,model.layers.0.mlp.down_proj,5120,27886.9296875,5120,78.55097198486328,355.01699066020205,78.55097198486328,0.2484685480594635,70778880
Aashraf995/QwenStock-14B,False,0.055595338344573975,5120,5120,1.530573844909668,3.2575168164847494,0.7766298055648804,3.6819725036621094,2.9439213201058165,2.128297714820158,model.layers.1.self_attn.q_proj,2496,878.86328125,3231,134.3685760498047,6.540690592153354,134.3685760498047,1.000702195597114e-05,26219520
Aashraf995/QwenStock-14B,False,0.030070215463638306,1024,5120,1.456583857536316,2.4385874256836177,0.6593618392944336,3.1935136318206787,2.687770751971276,1.6741826521462864,model.layers.1.self_attn.k_proj,1015,487.2712097167969,1023,47.22616195678711,10.317823628408759,47.22616195678711,1.1394446119084023e-05,5243904
Aashraf995/QwenStock-14B,False,0.03805047273635864,1024,5120,3.729956865310669,3.445422372431183,0.9579195380210876,4.021421909332275,2.7360608737525007,0.92371641197095,model.layers.1.self_attn.v_proj,1024,544.5789794921875,1024,8.389120101928711,64.91491036908452,8.389120101928711,0.00016195376520045102,5243904
Aashraf995/QwenStock-14B,False,0.027574270963668823,5120,5120,2.739880084991455,5.837834956671682,1.1337454319000244,5.964997291564941,3.63345933206452,2.1306899483120585,model.layers.1.self_attn.o_proj,5016,4299.90966796875,5071,135.1107635498047,31.825071186010376,135.1107635498047,1.0458522410772275e-05,26214400
Aashraf995/QwenStock-14B,False,0.05533906817436218,13824,5120,2.9158530235290527,7.856777023683104,0.9184118509292603,7.859449863433838,3.3893372548860325,2.6945037902404483,model.layers.1.mlp.gate_proj,1556,2450.9658203125,2341,494.8844299316406,4.952602409922367,494.8844299316406,1.0001107511925511e-05,70778880
Aashraf995/QwenStock-14B,False,0.029877662658691406,13824,5120,2.9256644248962402,5.760787209138901,0.9783600568771362,5.82707405090332,3.1270837503216495,1.9690526227536194,model.layers.1.mlp.up_proj,1875,1339.93505859375,2356,93.1220703125,14.389017062197846,93.1220703125,1.0000171641877387e-05,70778880
Aashraf995/QwenStock-14B,False,0.04879558086395264,5120,13824,3.2604620456695557,8.774357043758341,1.1748967170715332,8.780476570129395,3.4371572083133275,2.6911391455736067,model.layers.1.mlp.down_proj,1402,2736.259033203125,4927,491.065185546875,5.572089233236701,491.065185546875,1.0003022907767445e-05,70778880
Aashraf995/QwenStock-14B,False,0.06242814660072327,5120,5120,2.0132827758789062,4.09771049088328,0.9648884534835815,4.910675525665283,3.4753121018567708,2.035337777672294,model.layers.2.self_attn.q_proj,4109,2987.52880859375,4453,108.4770278930664,27.54065876084632,108.4770278930664,1.0045101589639671e-05,26219520
Aashraf995/QwenStock-14B,False,0.06379854679107666,1024,5120,1.3953157663345337,2.608421777848636,0.7660883665084839,3.5608770847320557,3.1019246193246937,1.869413247369022,model.layers.2.self_attn.k_proj,1024,1264.516845703125,1024,74.03093719482422,17.080924456965164,74.03093719482422,6.37288685538806e-05,5243904
Aashraf995/QwenStock-14B,False,0.058617740869522095,1024,5120,10.444479942321777,7.822368841367845,1.005569338798523,8.161094665527344,3.064812949626792,0.7489476627429814,model.layers.2.self_attn.v_proj,1024,1160.948486328125,1024,5.609803676605225,206.94993145119716,5.609803676605225,0.008796275593340397,5243904
Aashraf995/QwenStock-14B,False,0.03031468391418457,5120,5120,4.185816764831543,7.175593216493713,1.1831837892532349,7.36685037612915,3.8411237900765958,1.714263576175077,model.layers.2.self_attn.o_proj,5092,6936.23486328125,5100,51.79210662841797,133.92455559000928,51.79210662841797,1.0395939170848578e-05,26214400
Aashraf995/QwenStock-14B,False,0.025171995162963867,13824,5120,3.1573262214660645,7.651993825030084,1.1212562322616577,7.7235107421875,3.9379276608325644,2.42356769250058,model.layers.2.mlp.gate_proj,3831,8668.1748046875,4179,265.1964416503906,32.685863923147146,265.1964416503906,1.0005878721131012e-05,70778880
Aashraf995/QwenStock-14B,False,0.015187256038188934,13824,5120,3.9571547508239746,7.154107013626671,1.1537293195724487,7.253990650177002,3.739790720713755,1.8078916454144267,model.layers.2.mlp.up_proj,4250,5492.76123046875,4489,64.25273895263672,85.48680289750271,64.25273895263672,1.0003030183725059e-05,70778880
Aashraf995/QwenStock-14B,False,0.02189946174621582,5120,13824,3.901378870010376,8.253764864182003,1.2196961641311646,8.336094856262207,3.8287291087166193,2.1156019805274773,model.layers.2.mlp.down_proj,3862,6741.07421875,5037,130.4974365234375,51.65675585925624,130.4974365234375,1.0031848432845436e-05,70778880
Aashraf995/QwenStock-14B,False,0.054617106914520264,5120,5120,2.6376447677612305,5.202706640741243,1.1110577583312988,5.857386112213135,3.7977811813276716,1.9724819294590512,model.layers.3.self_attn.q_proj,4801,6277.419921875,4932,93.86029815673828,66.88046005769417,93.86029815673828,1.00317274700501e-05,26219520
Aashraf995/QwenStock-14B,False,0.05955418944358826,1024,5120,4.366769790649414,6.843803118597123,0.9332764148712158,7.3415422439575195,3.3658050418651735,1.5672461445647519,model.layers.3.self_attn.k_proj,1024,2321.6943359375,1024,36.918678283691406,62.88671328093275,36.918678283691406,0.006952828262001276,5243904
Aashraf995/QwenStock-14B,False,0.046668700873851776,1024,5120,10.633213996887207,7.766230816471338,1.0206339359283447,8.038434982299805,3.1174359734873422,0.7303747313601365,model.layers.3.self_attn.v_proj,1024,1310.496826171875,1024,5.374953746795654,243.8154611010642,5.374953746795654,0.09528836607933044,5243904
Aashraf995/QwenStock-14B,False,0.021030664443969727,5120,5120,4.783263206481934,8.104150795871087,1.1998798847198486,8.189857482910156,3.9058526186010956,1.6942723923050955,model.layers.3.self_attn.o_proj,5105,8051.0517578125,5107,49.46208190917969,162.77219734898182,49.46208190917969,1.4242746146919671e-05,26214400
Aashraf995/QwenStock-14B,False,0.02534794807434082,13824,5120,2.6984615325927734,7.03810389209915,1.1681239604949951,7.164180755615234,4.228877151852186,2.608191299779879,model.layers.3.mlp.gate_proj,5120,16938.5859375,5120,405.68719482421875,41.752823736128434,405.68719482421875,0.00026901456294581294,70778880
Aashraf995/QwenStock-14B,False,0.03058147430419922,13824,5120,4.620461463928223,8.0866885659336,1.2063045501708984,8.24573802947998,3.971604957416646,1.7501906744739864,model.layers.3.mlp.up_proj,5120,9367.095703125,5120,56.258827209472656,166.5000172905809,56.258827209472656,0.0003070905222557485,70778880
Aashraf995/QwenStock-14B,False,0.035945892333984375,5120,13824,4.6071038246154785,10.185589097475825,1.2175337076187134,10.193646430969238,4.068407106781459,2.2108442712002354,model.layers.3.mlp.down_proj,5120,11705.9619140625,5120,162.49659729003906,72.0381971640219,162.49659729003906,0.010023314505815506,70778880
Aashraf995/QwenStock-14B,False,0.0432107150554657,5120,5120,2.9935302734375,5.660070045046457,1.148688554763794,6.4812469482421875,3.956070272253495,1.8907675981332046,model.layers.4.self_attn.q_proj,4999,9037.95703125,5044,77.76203155517578,116.22583477435448,77.76203155517578,1.0061310604214668e-05,26219520
Aashraf995/QwenStock-14B,False,0.05825403332710266,1024,5120,3.516855478286743,5.720601049342912,0.957169771194458,6.456961154937744,3.5006111676219707,1.6266238646035398,model.layers.4.self_attn.k_proj,1024,3166.73095703125,1024,42.32762145996094,74.8147627436794,42.32762145996094,0.007962368428707123,5243904
Aashraf995/QwenStock-14B,False,0.10647499561309814,1024,5120,27.309112548828125,17.503611158817566,1.0260471105575562,17.990997314453125,3.1916707266852358,0.6409439752947472,model.layers.4.self_attn.v_proj,1024,1554.786376953125,1024,4.374656677246094,355.4076334812825,4.374656677246094,0.2761419713497162,5243904
Aashraf995/QwenStock-14B,False,0.03042575716972351,5120,5120,4.866433143615723,7.212898877801339,1.2037252187728882,7.684956073760986,3.9594584100418824,1.4821736300361892,model.layers.4.self_attn.o_proj,5109,9108.7421875,5109,30.351043701171875,300.1129805347783,30.351043701171875,1.32803397718817e-05,26214400
Aashraf995/QwenStock-14B,False,0.011746764183044434,13824,5120,2.5889205932617188,6.683311993531784,1.1824034452438354,7.010773658752441,4.375983859468952,2.581505207586008,model.layers.4.mlp.gate_proj,5120,23767.51953125,5120,381.5093688964844,62.29865232405049,381.5093688964844,0.0025410428643226624,70778880
Aashraf995/QwenStock-14B,False,0.025780707597732544,13824,5120,4.076173782348633,8.784671936454169,1.2196366786956787,8.799473762512207,4.146077290298964,2.155126941470235,model.layers.4.mlp.up_proj,5120,13998.3642578125,5120,142.93116760253906,97.93780105917101,142.93116760253906,0.002953092334792018,70778880
Aashraf995/QwenStock-14B,False,0.04757744073867798,5120,13824,5.338377475738525,12.202277624641692,1.232364535331726,12.207916259765625,4.241167626766397,2.285765231120828,model.layers.4.mlp.down_proj,5120,17424.79296875,5120,193.09242248535156,90.24068756541642,193.09242248535156,0.12775331735610962,70778880
Aashraf995/QwenStock-14B,False,0.03886541724205017,5120,5120,3.833747386932373,6.289032005279468,1.1882151365280151,7.170095920562744,4.0369911916134935,1.640439854414019,model.layers.5.self_attn.q_proj,5085,10889.080078125,5090,43.69581604003906,249.2018931091066,43.69581604003906,1.003112174657872e-05,26219520
Aashraf995/QwenStock-14B,False,0.03455907106399536,1024,5120,6.515807628631592,9.02752811792509,1.0040065050125122,9.220146179199219,3.51756191408387,1.3854810688787929,model.layers.5.self_attn.k_proj,1024,3292.77392578125,1024,24.29299545288086,135.54417083590926,24.29299545288086,0.009088885970413685,5243904
Aashraf995/QwenStock-14B,False,0.08998532593250275,1024,5120,18.650827407836914,12.294602905005945,1.029247522354126,13.121203422546387,3.240400355712619,0.6591987924267564,model.layers.5.self_attn.v_proj,1024,1739.403564453125,1024,4.562457084655762,381.24272342264965,4.562457084655762,0.2763785123825073,5243904
Aashraf995/QwenStock-14B,False,0.014937639236450195,5120,5120,4.596492767333984,6.24958370151549,1.2111717462539673,7.1891398429870605,3.973102631518475,1.3596418003590847,model.layers.5.self_attn.o_proj,5111,9399.4541015625,5111,22.889789581298828,410.63960278787107,22.889789581298828,1.2404215340211522e-05,26214400
Aashraf995/QwenStock-14B,False,0.015779435634613037,13824,5120,2.8116378784179688,7.281948480129326,1.20392906665802,7.555729866027832,4.490162171893043,2.5899311344555787,model.layers.5.mlp.gate_proj,5120,30914.49609375,5120,388.98345947265625,79.47509165469579,388.98345947265625,0.0025617226492613554,70778880
Aashraf995/QwenStock-14B,False,0.032733142375946045,13824,5120,5.377498626708984,8.22280911495639,1.235396385192871,8.771632194519043,4.251167042070818,1.529114126429583,model.layers.5.mlp.up_proj,5120,17830.64453125,5120,33.81536865234375,527.2941044815182,33.81536865234375,0.0038500444497913122,70778880
Aashraf995/QwenStock-14B,False,0.04268503189086914,5120,13824,5.929568767547607,12.394212482069815,1.2405390739440918,12.400470733642578,4.3192156443039185,2.0902384250779,model.layers.5.mlp.down_proj,5120,20855.26171875,5120,123.09443664550781,169.42489268471004,123.09443664550781,0.12686768174171448,70778880
Aashraf995/QwenStock-14B,False,0.029132306575775146,5120,5120,3.791560411453247,6.550774724533687,1.188399076461792,7.223209857940674,4.021877920663306,1.7277252670814958,model.layers.6.self_attn.q_proj,5091,10516.662109375,5098,53.422630310058594,196.8578119111235,53.422630310058594,1.0081838809128385e-05,26219520
Aashraf995/QwenStock-14B,False,0.05784609913825989,1024,5120,6.613586902618408,8.53033943116436,1.0039304494857788,8.916982650756836,3.475713739655029,1.2898204192020346,model.layers.6.self_attn.k_proj,1024,2990.29296875,1024,19.490385055541992,153.42400677198142,19.490385055541992,0.021553367376327515,5243904
