model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.025868594646453857,4096,4096,2.463207721710205,7.405356146770409,0.8955446481704712,7.43361759185791,3.7671972607021043,3.0063871924000267,model.layers.0.self_attn.q_proj,2777,5850.5576171875,3355,1014.8157348632812,5.765142790159539,1014.8157348632812,1.0022746209870093e-05,16777216
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.046275511384010315,1024,4096,2.78640079498291,7.089670146507558,0.7957057356834412,7.140467643737793,3.4835002714073027,2.5443827604675375,model.layers.0.self_attn.k_proj,1014,3044.389892578125,1022,350.25372314453125,8.6919558348902,350.25372314453125,1.1826952686533332e-05,4194304
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.0406164824962616,1024,4096,4.77530574798584,2.768474102740008,1.0065529346466064,2.793290376663208,2.3405342179761672,0.5797480305648939,model.layers.0.self_attn.v_proj,1024,219.04544067382812,1024,3.7996888160705566,57.648257864535786,3.7996888160705566,0.004100740421563387,4194304
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.010424196720123291,4096,4096,3.747558832168579,5.17966904083922,1.122053623199463,5.217813968658447,3.0672597499663525,1.382144823552224,model.layers.0.self_attn.o_proj,4064,1167.5076904296875,4064,24.107091903686523,48.43005100300584,24.107091903686523,1.079044977814192e-05,16777216
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.021512269973754883,14336,4096,3.0181937217712402,6.046177875702045,1.16765558719635,6.401014804840088,3.9838423430059704,2.0032438050907544,model.layers.0.mlp.gate_proj,4096,9634.7919921875,4096,100.74971008300781,95.63096493527756,100.74971008300781,0.01566355861723423,58720256
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.033305823802948,14336,4096,3.977019786834717,5.973342733213109,1.1901285648345947,6.355251789093018,3.908088106115529,1.50196454968288,model.layers.0.mlp.up_proj,4096,8092.6005859375,4096,31.76614761352539,254.75549268340717,31.76614761352539,0.020885396748781204,58720256
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.02662789821624756,4096,14336,3.620593309402466,6.008311737453993,1.1913634538650513,6.189752101898193,3.9096865871103925,1.659482638342938,model.layers.0.mlp.down_proj,4096,8122.44140625,4096,45.65439987182617,177.91147028662286,45.65439987182617,0.15934307873249054,58720256
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.03401467204093933,4096,4096,3.549602746963501,7.868488343445308,1.0610241889953613,7.930997848510742,3.7995376848477025,2.2167236460971265,model.layers.1.self_attn.q_proj,3799,6302.8603515625,3869,164.71139526367188,38.26608560672326,164.71139526367188,1.0040242159448098e-05,16777216
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.03252175450325012,1024,4096,4.1048383712768555,8.014876545344334,0.9241049885749817,8.096057891845703,3.499153926583364,1.9525437594394777,model.layers.1.self_attn.k_proj,1010,3156.123046875,1018,89.64865112304688,35.2054716645215,89.64865112304688,1.056235942087369e-05,4194304
Adun/Meta-Llama-3.1-8B-8bit-Instruct-sql-v3,True,meta-llama/Llama-3.1-8B-Instruct,0.04356980323791504,1024,4096,10.215938568115234,2.346551234220294,1.0225282907485962,2.3863182067871094,2.5253954708362834,0.22969511989275945,model.layers.1.self_attn.v_proj,1024,335.2705993652344,1024,1.6970518827438354,197.56060658744303,1.6970518827438354,0.017105044797062874,4194304
