model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Aleteian/Saiga-Unleashed,False,0.01676034927368164,4096,5120,2.1969943046569824,5.763700145348259,0.8623207211494446,5.881666660308838,3.41589685605099,2.6234479229786385,model.layers.0.self_attn.q_proj,2766,2605.53466796875,3499,420.192138671875,6.2008172647023105,420.192138671875,1.00023844424868e-05,20971520
Aleteian/Saiga-Unleashed,False,0.053374648094177246,1024,5120,1.984409213066101,4.263128787554075,0.7351884245872498,4.651499271392822,3.1357693677624403,2.1483113258515543,model.layers.0.self_attn.k_proj,1023,1367.002685546875,1024,140.70558166503906,9.715340851233142,140.70558166503906,2.265201874251943e-05,5242880
Aleteian/Saiga-Unleashed,False,0.043118178844451904,1024,5120,5.675363540649414,-0.3550338532903845,1.0116863250732422,0.32965782284736633,2.1612871019420115,-0.06255702401220259,model.layers.0.self_attn.v_proj,1024,144.97299194335938,1024,0.8658506274223328,167.43418246972803,0.8658506274223328,0.011326774023473263,5242880
Aleteian/Saiga-Unleashed,False,0.030068933963775635,5120,4096,4.199217796325684,6.007629515710902,1.123640537261963,6.008995056152344,2.912502935849322,1.4306544235375405,model.layers.0.self_attn.o_proj,4095,817.528564453125,4095,26.955936431884766,30.328331071671222,26.955936431884766,1.429700932931155e-05,20971520
Aleteian/Saiga-Unleashed,False,0.03076338768005371,14336,5120,2.8407788276672363,5.233144548667852,1.2061173915863037,5.728814125061035,3.805265440014372,1.8421513486726298,model.layers.0.mlp.gate_proj,5120,6386.537109375,5120,69.52665710449219,91.85738787608645,69.52665710449219,0.007621551863849163,73400320
Aleteian/Saiga-Unleashed,False,0.03375750780105591,14336,5120,3.747601270675659,5.36843526998065,1.2386728525161743,5.728692054748535,3.765241610367143,1.4324990526574266,model.layers.0.mlp.up_proj,5120,5824.271484375,5120,27.0706729888916,215.15059809429113,27.0706729888916,0.00716554606333375,73400320
Aleteian/Saiga-Unleashed,False,0.011172175407409668,5120,14336,5.124701023101807,5.901519760071866,1.2477108240127563,6.050930023193359,3.7686470603285303,1.1515832306056906,model.layers.0.mlp.down_proj,5120,5870.12109375,5120,14.176963806152344,414.06052621807197,14.176963806152344,0.007541135884821415,73400320
Aleteian/Saiga-Unleashed,False,0.0132066011428833,4096,5120,4.225898742675781,5.786681028809516,1.1311863660812378,6.049757957458496,3.500825199670022,1.369337360209788,model.layers.1.self_attn.q_proj,4096,3168.2919921875,4096,23.40654754638672,135.35921886423574,23.40654754638672,1.1611494301178027e-05,20971520
Aleteian/Saiga-Unleashed,False,0.02444741129875183,1024,5120,5.945859909057617,6.008257732917832,0.9955357313156128,6.251703262329102,3.1182439316476307,1.010494331318698,model.layers.1.self_attn.k_proj,1024,1312.9371337890625,1024,10.244584083557129,128.1591446837131,10.244584083557129,0.00023508707818109542,5242880
Aleteian/Saiga-Unleashed,False,0.03890591859817505,1024,5120,12.097830772399902,-0.22463083639403666,1.0250837802886963,-0.18516230583190918,2.3606868721206364,-0.018567860686769685,model.layers.1.self_attn.v_proj,1024,229.44937133789062,1024,0.9581469893455505,239.4719953090005,0.9581469893455505,0.024410314857959747,5242880
Aleteian/Saiga-Unleashed,False,0.015885531902313232,5120,4096,4.166293621063232,4.850433998477638,1.1506017446517944,4.8617987632751465,3.0423764823647654,1.164208392311969,model.layers.1.self_attn.o_proj,4096,1102.49462890625,4096,14.595144271850586,75.5384536371191,14.595144271850586,0.001336804823949933,20971520
Aleteian/Saiga-Unleashed,False,0.02835988998413086,14336,5120,2.837460994720459,3.983508143269511,1.2196532487869263,5.1868367195129395,3.8208372956879706,1.4038988203472937,model.layers.1.mlp.gate_proj,5120,6619.6845703125,5120,25.345380783081055,261.1791326777531,25.345380783081055,0.014492034912109375,73400320
Aleteian/Saiga-Unleashed,False,0.05620434880256653,14336,5120,7.877718448638916,6.045092267288712,1.2415131330490112,7.265695095062256,3.7662734983924757,0.767365869534619,model.layers.1.mlp.up_proj,5120,5838.12646484375,5120,5.852829456329346,997.4878831520205,5.852829456329346,0.014164311811327934,73400320
Aleteian/Saiga-Unleashed,False,0.025558412075042725,5120,14336,5.0699238777160645,5.420218223509271,1.2462985515594482,5.819876670837402,3.767936768962443,1.069092624315892,model.layers.1.mlp.down_proj,5120,5860.5283203125,5120,11.724453926086426,499.85511967197607,11.724453926086426,0.00876927562057972,73400320
Aleteian/Saiga-Unleashed,False,0.04207956790924072,4096,5120,3.0869057178497314,4.013475111984927,1.118153691291809,5.025972366333008,3.4979772257968005,1.300161222539904,model.layers.2.self_attn.q_proj,4081,3147.583251953125,4081,19.960031509399414,157.6943027605388,19.960031509399414,1.3363613106776029e-05,20971520
Aleteian/Saiga-Unleashed,False,0.0720718502998352,1024,5120,5.038154125213623,5.38218482453901,0.9745361804962158,5.891091346740723,3.1025205469166597,1.0682850684546694,model.layers.2.self_attn.k_proj,1024,1266.253173828125,1024,11.702672958374023,108.20204737260802,11.702672958374023,3.712983743753284e-05,5242880
Aleteian/Saiga-Unleashed,False,0.07942023873329163,1024,5120,7.271422863006592,-0.20021123318893566,1.0303081274032593,0.9099283814430237,2.4833191821524423,-0.027533982957793794,model.layers.2.self_attn.v_proj,1024,304.31207275390625,1024,0.9385685920715332,324.2299767161962,0.9385685920715332,0.015316260978579521,5242880
Aleteian/Saiga-Unleashed,False,0.02845337986946106,5120,4096,4.233299255371094,4.607754475135383,1.1490514278411865,4.641815662384033,3.1021946560634293,1.0884547009732872,model.layers.2.self_attn.o_proj,4096,1265.3033447265625,4096,12.258990287780762,103.21431986023865,12.258990287780762,5.950181730440818e-05,20971520
Aleteian/Saiga-Unleashed,False,0.02685314416885376,14336,5120,3.651453733444214,5.347616784979199,1.2361719608306885,5.805201053619385,3.8379514355631947,1.4645171965345125,model.layers.2.mlp.gate_proj,5120,6885.7529296875,5120,29.141855239868164,236.28395903453986,29.141855239868164,0.011750529520213604,73400320
Aleteian/Saiga-Unleashed,False,0.03951829671859741,14336,5120,8.516129493713379,5.966662757533975,1.2471386194229126,6.863460540771484,3.764992426222796,0.7006308161399583,model.layers.2.mlp.up_proj,5120,5820.9306640625,5120,5.019157409667969,1159.7425999930078,5.019157409667969,0.012364254333078861,73400320
Aleteian/Saiga-Unleashed,False,0.022169530391693115,5120,14336,6.102783679962158,6.339056023184073,1.2433183193206787,6.652705192565918,3.766679181262887,1.0387155035492557,model.layers.2.mlp.down_proj,5120,5843.58251953125,5120,10.93239974975586,534.5196528933867,10.93239974975586,0.013259616680443287,73400320
Aleteian/Saiga-Unleashed,False,0.038732677698135376,4096,5120,4.100713729858398,4.801672740642643,1.1359224319458008,5.4188151359558105,3.4661071654253286,1.1709358557951446,model.layers.3.self_attn.q_proj,4088,2924.8740234375,4088,14.822991371154785,197.32009215961904,14.822991371154785,8.658829756313935e-05,20971520
Aleteian/Saiga-Unleashed,False,0.026331305503845215,1024,5120,7.912177562713623,6.339662678051373,0.9964706897735596,6.649668216705322,3.0415637435968303,0.801253842927796,model.layers.3.self_attn.k_proj,1024,1100.433349609375,1024,6.327816009521484,173.9041318447865,6.327816009521484,2.362712984904647e-05,5242880
Aleteian/Saiga-Unleashed,False,0.04557681083679199,1024,5120,9.423815727233887,-0.8424490915723377,1.0283535718917847,-0.20835338532924652,2.38492183707205,-0.08939575178000816,model.layers.3.self_attn.v_proj,1024,242.61734008789062,1024,0.8139622211456299,298.06953416881345,0.8139622211456299,0.03244286775588989,5242880
Aleteian/Saiga-Unleashed,False,0.02184450626373291,5120,4096,3.4384729862213135,3.4308861977997203,1.1474273204803467,3.6533079147338867,3.0489428283028426,0.9977935588117182,model.layers.3.self_attn.o_proj,4096,1119.29052734375,4096,9.949323654174805,112.49915735468993,9.949323654174805,0.001415862119756639,20971520
Aleteian/Saiga-Unleashed,False,0.025705397129058838,14336,5120,3.4178125858306885,5.740540636575888,1.2362208366394043,5.896405220031738,3.8576821627281235,1.6795949141198063,model.layers.3.mlp.gate_proj,5120,7205.79931640625,5120,47.81838607788086,150.69097699513128,47.81838607788086,0.01712081767618656,73400320
Aleteian/Saiga-Unleashed,False,0.013669133186340332,14336,5120,8.840364456176758,6.620620113138433,1.2482941150665283,7.03416633605957,3.749998478787382,0.7489080507888574,model.layers.3.mlp.up_proj,5120,5623.3935546875,5120,5.609292030334473,1002.5139579606067,5.609292030334473,0.016247021034359932,73400320
Aleteian/Saiga-Unleashed,False,0.012595176696777344,5120,14336,3.77931809425354,4.304056281889087,1.2392791509628296,5.220648765563965,3.751350611222983,1.138844673708046,model.layers.3.mlp.down_proj,5120,5640.9287109375,5120,13.767169952392578,409.73771155902455,13.767169952392578,0.022930817678570747,73400320
Aleteian/Saiga-Unleashed,False,0.03731915354728699,4096,5120,3.388136863708496,4.133258059617192,1.1293338537216187,4.925613880157471,3.4353210577077116,1.2199206306834727,model.layers.4.self_attn.q_proj,4096,2724.71484375,4096,16.592836380004883,164.21031229075484,16.592836380004883,7.326411287067458e-05,20971520
Aleteian/Saiga-Unleashed,False,0.048656463623046875,1024,5120,6.718385219573975,6.160210554376802,0.9843202829360962,6.528484344482422,3.052064120665716,0.9169183297839288,model.layers.4.self_attn.k_proj,1024,1127.3638916015625,1024,8.25882625579834,136.5041298465463,8.25882625579834,0.0008888741140253842,5242880
Aleteian/Saiga-Unleashed,False,0.08196642994880676,1024,5120,3.3376777172088623,0.19018496659866524,1.0248304605484009,1.8233604431152344,2.49264300834923,0.056981225484438826,model.layers.4.self_attn.v_proj,1024,310.91595458984375,1024,1.1402004957199097,272.6853353922943,1.1402004957199097,0.03218575567007065,5242880
Aleteian/Saiga-Unleashed,False,0.041104912757873535,5120,4096,6.055243015289307,5.329275190909454,1.1486542224884033,5.360246658325195,3.1188914835698354,0.8801092173267355,model.layers.4.self_attn.o_proj,4096,1314.896240234375,4096,7.58768367767334,173.29349721093936,7.58768367767334,0.0015888402704149485,20971520
