model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.016307413578033447,1536,1536,2.490300178527832,7.160303477077256,0.859546959400177,7.2008819580078125,3.7455260953054257,2.875277261277854,model.layers.0.self_attn.q_proj,1523,5565.78076171875,1527,750.3731079101562,7.417351052491546,750.3731079101562,1.4379297681443859e-05,2359296
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.05226008594036102,256,1536,6.745704174041748,8.355052137296148,0.9639259576797485,8.909396171569824,3.088305009693152,1.238573753270616,model.layers.0.self_attn.k_proj,256,1225.4765625,256,17.32103157043457,70.75078395398674,17.32103157043457,0.05160553380846977,393216
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.045789897441864014,256,1536,10.908682823181152,0.9545222017879346,1.0004018545150757,1.365248203277588,2.140072709292645,0.08750114172900483,model.layers.0.self_attn.v_proj,256,138.06153869628906,256,1.223210334777832,112.86819181540415,1.223210334777832,0.04151539131999016,393216
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.0613824725151062,1536,1536,6.826438903808594,7.433142518567086,1.035560131072998,7.434625148773193,3.0934241648639147,1.08887556503582,model.layers.0.self_attn.o_proj,1531,1240.007080078125,1531,12.270875930786133,101.05285776438325,12.270875930786133,1.0663626198947895e-05,2359296
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.013926327228546143,8960,1536,3.9915976524353027,8.548168532653605,1.0274631977081299,8.740782737731934,4.114795933561659,2.1415406253278824,model.layers.0.mlp.gate_proj,1536,13025.5458984375,1536,138.5289764404297,94.02759071159926,138.5289764404297,0.03407641500234604,13762560
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.05342966318130493,8960,1536,10.405117988586426,14.45309786594309,1.043778657913208,14.906383514404297,3.9536296069583248,1.3890373835065561,model.layers.0.mlp.up_proj,1536,8987.3076171875,1536,24.492740631103516,366.9376062299231,24.492740631103516,0.03729788959026337,13762560
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.05334460735321045,1536,8960,6.194815158843994,10.350533204319602,1.0633131265640259,10.514656066894531,3.9942483089804606,1.6708381023350987,model.layers.0.mlp.down_proj,1536,9868.435546875,1536,46.86386489868164,210.57664723578137,46.86386489868164,0.20889249444007874,13762560
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.04030442237854004,1536,1536,2.9444165229797363,4.747559514993383,0.9588395357131958,5.478170394897461,3.4165267449326024,1.6123939931531406,model.layers.1.self_attn.q_proj,1530,2609.31640625,1530,40.96321105957031,63.699020139203185,40.96321105957031,1.3368756299314555e-05,2359296
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.07076197862625122,256,1536,5.370299339294434,6.242856217940627,0.9411492347717285,6.889651775360107,2.88823613957267,1.1624782574523738,model.layers.1.self_attn.k_proj,256,773.100830078125,256,14.537116050720215,53.18116931726793,14.537116050720215,0.029743574559688568,393216
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.05976754426956177,256,1536,8.59046745300293,1.3441164113891046,0.9948883056640625,2.1093509197235107,2.2021257949793047,0.156466038517991,model.layers.1.self_attn.v_proj,256,159.26699829101562,256,1.4337255954742432,111.08610935995308,1.4337255954742432,0.036521535366773605,393216
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.030442357063293457,1536,1536,3.7945199012756348,4.505071373579979,0.9771758317947388,4.9644622802734375,3.113037982513272,1.1872572791265301,model.layers.1.self_attn.o_proj,1528,1297.292724609375,1528,15.390661239624023,84.2909024122648,15.390661239624023,1.0175904208153952e-05,2359296
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.017857849597930908,8960,1536,4.288680076599121,9.822376258970877,1.0530657768249512,9.904974937438965,4.155393867574369,2.29030286324363,model.layers.1.mlp.gate_proj,1536,14301.904296875,1536,195.1204833984375,73.29781091035125,195.1204833984375,0.16160662472248077,13762560
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.019922375679016113,8960,1536,5.75806999206543,11.495419497269728,1.060484766960144,11.500226974487305,4.058066860555496,1.9964014874967333,model.layers.1.mlp.up_proj,1536,11430.54296875,1536,99.17483520507812,115.25648563078947,99.17483520507812,0.10591433197259903,13762560
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.037606120109558105,1536,8960,4.198570251464844,7.458879679494215,1.0603107213974,7.869473934173584,4.027492787932945,1.77652849250096,model.layers.1.mlp.down_proj,1536,10653.51171875,1536,59.77622604370117,178.22322391114884,59.77622604370117,0.5565921068191528,13762560
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.044084906578063965,1536,1536,2.4648642539978027,3.415251851047823,0.9597658514976501,4.618022918701172,3.348425139298947,1.3855740110265997,model.layers.2.self_attn.q_proj,1529,2230.61767578125,1529,24.298194885253906,91.80178553654484,24.298194885253906,1.3819304513162933e-05,2359296
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.0743294358253479,256,1536,2.8123648166656494,2.5173108890186873,0.9519516825675964,3.8352622985839844,2.724708921824168,0.8950868941687377,model.layers.2.self_attn.k_proj,256,530.5287475585938,256,7.8539276123046875,67.5494827234489,7.8539276123046875,0.025639906525611877,393216
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.08492922782897949,256,1536,6.7385640144348145,2.0603772396903897,0.9944857358932495,2.9790849685668945,2.322363514303621,0.30575909574752336,model.layers.2.self_attn.v_proj,256,210.0697479248047,256,2.021897315979004,103.89733754757411,2.021897315979004,0.12242630124092102,393216
Alphatao/e3b33525-0d71-4f01-8aec-0a8e6e0172c8,True,unsloth/Qwen2.5-1.5B-Instruct,0.0565449595451355,1536,1536,3.9812371730804443,4.400649800427411,0.9880056977272034,5.042662143707275,3.1814609130719136,1.1053473101735485,model.layers.2.self_attn.o_proj,1531,1518.6612548828125,1531,12.745219230651855,119.15536542756985,12.745219230651855,1.3539778592530638e-05,2359296
