model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.019004225730895996,4096,4096,1.5590760707855225,4.287407582322166,0.7207238078117371,4.602540969848633,3.4125233809172704,2.7499668955614234,model.layers.0.self_attn.q_proj,2750,2585.3740234375,3522,562.2984619140625,4.597867855865893,562.2984619140625,1.0017919521487784e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.02595454454421997,4096,4096,1.4488892555236816,3.844253093036099,0.7323251962661743,4.455153942108154,3.5240298588543006,2.6532414940482427,model.layers.0.self_attn.k_proj,2814,3342.18017578125,3507,450.030029296875,7.426571469026318,450.030029296875,1.002850058284821e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.054258912801742554,4096,4096,1.8551075458526611,2.6139439548388586,1.045931339263916,3.9355854988098145,3.315568581523734,1.4090525159485643,model.layers.0.self_attn.v_proj,4063,2068.0859375,4063,25.64794158935547,80.63360290707722,25.64794158935547,1.0524378012632951e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.02725672721862793,4096,4096,2.150617837905884,2.7049320462886337,1.0778312683105469,3.7476119995117188,3.169480518531265,1.2577464943388088,model.layers.0.self_attn.o_proj,4066,1477.3402099609375,4066,18.10283088684082,81.60824233489554,18.10283088684082,1.0403052328911144e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.022932395339012146,11008,4096,3.078601837158203,7.561006317868335,1.1371159553527832,7.996115207672119,4.3253333515568855,2.455987073939952,model.layers.0.mlp.gate_proj,4096,21151.119140625,4096,285.75054931640625,74.0195222414245,285.75054931640625,0.02915276028215885,45088768
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.04830324649810791,11008,4096,3.5405914783477783,8.107511411982733,1.1499907970428467,8.46518611907959,4.317578920514531,2.289874858922192,model.layers.0.mlp.up_proj,4096,20776.8125,4096,194.92828369140625,106.586956528546,194.92828369140625,0.02184292860329151,45088768
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.018605798482894897,4096,11008,4.1719560623168945,8.251119742075874,1.170897126197815,8.803747177124023,4.396384317530574,1.9777580633228473,model.layers.0.mlp.down_proj,4096,24910.607421875,4096,95.00753784179688,262.19611609507496,95.00753784179688,0.19647854566574097,45088768
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.032808005809783936,4096,4096,3.097088575363159,7.952568755356417,0.9698236584663391,8.261505126953125,4.024928398340877,2.5677563175357077,model.layers.1.self_attn.q_proj,3789,10590.791015625,3951,369.6207275390625,28.65313070005182,369.6207275390625,1.030034400173463e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.0303737074136734,4096,4096,3.051152229309082,7.883962240516142,0.9676350355148315,8.264452934265137,4.029827287159067,2.583929495481589,model.layers.1.self_attn.k_proj,3783,10710.9326171875,3947,383.64495849609375,27.91886711915845,383.64495849609375,1.014647841657279e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.023141324520111084,4096,4096,3.852382183074951,6.177138532892934,1.0989164113998413,6.5043253898620605,3.5831496324563474,1.6034594283068702,model.layers.1.self_attn.v_proj,4076,3829.566650390625,4076,40.12910079956055,95.43116028237948,40.12910079956055,1.0175622264796402e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.01380544900894165,4096,4096,4.384881973266602,6.471565405878918,1.122963309288025,6.603938579559326,3.500008271729639,1.475881322538267,model.layers.1.self_attn.o_proj,4077,3162.337890625,4077,29.914470672607422,105.71264740849124,29.914470672607422,1.1072390407207422e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.01529550552368164,11008,4096,2.5284934043884277,6.341674070956668,1.1244690418243408,7.0057902336120605,4.441273944860114,2.5080840867332785,model.layers.1.mlp.gate_proj,4096,27623.197265625,4096,322.16925048828125,85.74125936525336,322.16925048828125,0.03686442971229553,45088768
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.04534149169921875,11008,4096,7.002647399902344,14.636401654792254,1.157098412513733,14.651915550231934,4.409989459405499,2.0901240372314573,model.layers.1.mlp.up_proj,4096,25703.333984375,4096,123.06201934814453,208.8648806554997,123.06201934814453,0.03204474225640297,45088768
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.016860604286193848,4096,11008,4.928184509277344,9.252902845921195,1.1843674182891846,9.717406272888184,4.442004744759173,1.8775479750205246,model.layers.1.mlp.down_proj,4096,27669.71875,4096,75.43067169189453,366.8231785475838,75.43067169189453,0.3436453342437744,45088768
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.028369873762130737,4096,4096,3.2431983947753906,8.11996555218313,1.0615293979644775,8.390886306762695,4.220266412740051,2.503690666986002,model.layers.2.self_attn.q_proj,3967,16606.052734375,4036,318.9265441894531,52.06858142391072,318.9265441894531,1.0208140338363592e-05,16777216
BohdanPetryshyn/codellama-7b-openapi-completion-ctx-lvl-fim-no-spm-inf-seq-4096,True,codellama/CodeLlama-7b-hf,0.03029567003250122,4096,4096,3.7102959156036377,9.73257256572186,1.0600810050964355,9.796754837036133,4.236092598060607,2.623125698624618,model.layers.2.self_attn.k_proj,3928,17222.357421875,4024,419.8804931640625,41.01728397071688,419.8804931640625,1.0131229828402866e-05,16777216
