model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.02802586555480957,4096,4096,2.484354019165039,7.379602303169086,0.8885815739631653,7.41001558303833,3.723344377511582,2.9704310441429276,model.layers.0.self_attn.q_proj,2827,5288.64453125,3294,934.1810302734375,5.661263031322739,934.1810302734375,1.006170168693643e-05,16777216
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.04572001099586487,1024,4096,2.645197868347168,6.678669923451689,0.7959182262420654,6.738592147827148,3.4452999951535177,2.524828105817583,model.layers.0.self_attn.k_proj,1012,2788.04638671875,1021,334.8328857421875,8.326680279742511,334.8328857421875,1.0922058208961971e-05,4194304
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.03511756658554077,1024,4096,4.546398639678955,1.6393184211701768,1.0082978010177612,1.8143724203109741,2.250018299041753,0.36057516093352027,model.layers.0.self_attn.v_proj,1024,177.83543395996094,1024,2.2939035892486572,77.52524334216199,2.2939035892486572,0.003901542630046606,4194304
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.010545611381530762,4096,4096,3.6809282302856445,4.812616811448632,1.1202526092529297,4.851711273193359,2.966846110296098,1.3074465217364934,model.layers.0.self_attn.o_proj,4058,926.50146484375,4058,20.297685623168945,45.64567025248376,20.297685623168945,1.0390431270934641e-05,16777216
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.021457314491271973,14336,4096,3.0381946563720703,5.7926932791681,1.1692756414413452,6.142496109008789,3.8961625529019073,1.906623483462115,model.layers.0.mlp.gate_proj,4096,7873.404296875,4096,80.65354919433594,97.62005981787502,80.65354919433594,0.015375258401036263,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.03471696376800537,14336,4096,4.059856414794922,5.770322582382817,1.1908397674560547,6.074106693267822,3.8114878832430583,1.4213119856541274,model.layers.0.mlp.up_proj,4096,6478.7001953125,4096,26.382259368896484,245.57033212062953,26.382259368896484,0.017628708854317665,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.025140702724456787,4096,14336,3.5780768394470215,5.645992949294645,1.1913180351257324,5.817768096923828,3.809401086121462,1.5779406655132684,model.layers.0.mlp.down_proj,4096,6447.64453125,4096,37.839088439941406,170.39640216184827,37.839088439941406,0.12118396908044815,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.031599223613739014,4096,4096,3.6101889610290527,7.907636952430494,1.0618263483047485,7.950493812561035,3.754448491629275,2.1903664982058144,model.layers.1.self_attn.q_proj,3770,5681.31005859375,3833,155.01242065429688,36.6506763433106,155.01242065429688,1.0099885003000963e-05,16777216
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.02949368953704834,1024,4096,4.081120014190674,7.77314005854448,0.9262333512306213,7.8660783767700195,3.4625416616104197,1.9046585328331664,model.layers.1.self_attn.k_proj,996,2900.95947265625,1008,80.28945922851562,36.13126181856191,80.28945922851562,1.0912265679507982e-05,4194304
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.05131036043167114,1024,4096,8.700616836547852,1.6970458919237348,1.0216262340545654,1.7194174528121948,2.402304054376567,0.19504891708311023,model.layers.1.self_attn.v_proj,1024,252.52481079101562,1024,1.5669275522232056,161.15921277453165,1.5669275522232056,0.011817235499620438,4194304
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.021781861782073975,4096,4096,3.7600858211517334,4.976085526423286,1.1275352239608765,5.007768154144287,3.0781135487491578,1.323396795475026,model.layers.1.self_attn.o_proj,4068,1197.053466796875,4068,21.05701446533203,56.84820460980766,21.05701446533203,1.072799386747647e-05,16777216
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.0223081111907959,14336,4096,3.1556849479675293,5.219728394422322,1.1788359880447388,5.721699237823486,3.9066299809325065,1.6540714553219815,model.layers.1.mlp.gate_proj,4096,8065.4755859375,4096,45.089088439941406,178.87865700990386,45.089088439941406,0.026512810960412025,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.03383633494377136,14336,4096,4.555953025817871,4.579037124410248,1.192101240158081,5.722315788269043,3.824398784532311,1.0050667990783844,model.layers.1.mlp.up_proj,4096,6674.193359375,4096,10.117350578308105,659.6779767308514,10.117350578308105,0.02787575125694275,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.021688997745513916,4096,14336,4.784505844116211,6.368812799472469,1.1963088512420654,6.46606969833374,3.821465676817338,1.3311328289638467,model.layers.1.mlp.down_proj,4096,6629.26953125,4096,21.435461044311523,309.2664775227335,21.435461044311523,0.06081586703658104,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.02708989381790161,4096,4096,3.383044958114624,6.575400144418697,1.1174770593643188,6.63934326171875,3.7109214067803533,1.9436336867610464,model.layers.2.self_attn.q_proj,4046,5139.50634765625,4056,87.82814025878906,58.51776358365887,87.82814025878906,1.1211636774532963e-05,16777216
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.03402082622051239,1024,4096,5.522116661071777,9.27280215181109,0.9784901738166809,9.287862777709961,3.480998409640204,1.6792115634173055,model.layers.2.self_attn.k_proj,1023,3026.90234375,1023,47.77619552612305,63.35586813510405,47.77619552612305,5.0087939598597586e-05,4194304
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.04473346471786499,1024,4096,4.908039569854736,-0.23203662256265242,1.0136302709579468,0.6880939602851868,2.2511684469159015,-0.04727684430007968,model.layers.2.self_attn.v_proj,1024,178.30702209472656,1024,0.8968569040298462,198.8132346348005,0.8968569040298462,0.00820331834256649,4194304
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.01339462399482727,4096,4096,3.2401814460754395,3.9161467895214224,1.1273231506347656,4.013796329498291,3.005860681119531,1.2086195957528005,model.layers.2.self_attn.o_proj,4066,1013.586181640625,4066,16.16663360595703,62.696180685825766,16.16663360595703,1.0406366527604405e-05,16777216
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.022526800632476807,14336,4096,4.605588912963867,8.212806922734929,1.1892893314361572,8.224145889282227,3.931007846514048,1.7832262231692935,model.layers.2.mlp.gate_proj,4096,8531.1552734375,4096,60.70524597167969,140.53406978068202,60.70524597167969,0.01777774468064308,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.03465849161148071,14336,4096,10.591846466064453,10.07255874056083,1.1958824396133423,10.116305351257324,3.820241848051771,0.9509728802086221,model.layers.2.mlp.up_proj,4096,6610.61474609375,4096,8.932497024536133,740.0634702631811,8.932497024536133,0.015260058455169201,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.012343168258666992,4096,14336,4.479461193084717,5.905052465526248,1.1913976669311523,6.226420879364014,3.823042830680256,1.3182506134091136,model.layers.2.mlp.down_proj,4096,6653.3876953125,4096,20.808971405029297,319.73650046462416,20.808971405029297,0.08084665983915329,58720256
CMU-AIR2/math-llama-3-LORA-Arithmetic-8k,True,meta-llama/Meta-Llama-3-8B,0.018988072872161865,4096,4096,3.374084711074829,6.748904415228556,1.1217001676559448,6.804019927978516,3.7147944826536112,2.0002178348031645,model.layers.3.self_attn.q_proj,4058,5185.5458984375,4067,100.0501708984375,51.82945568080468,100.0501708984375,1.0212122106167953e-05,16777216
