model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.02639669179916382,4096,4096,2.4793167114257812,7.453101207758891,0.8955944180488586,7.480564594268799,3.7673183046393532,3.0061109875199583,model.layers.0.self_attn.q_proj,2790,5852.1884765625,3361,1014.1705322265625,5.770418574196099,1014.1705322265625,1.0071161341329571e-05,16777216
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.04560138285160065,1024,4096,2.786451578140259,7.089832465830865,0.7957448363304138,7.140595436096191,3.483531441029791,2.54439464207836,model.layers.0.self_attn.k_proj,1014,3044.6083984375,1022,350.2633056640625,8.69234187310955,350.2633056640625,1.1974402696068864e-05,4194304
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.04233759641647339,1024,4096,4.550793647766113,2.6376246483580283,1.0060774087905884,2.673663854598999,2.343473865210431,0.5795966269867634,model.layers.0.self_attn.v_proj,1024,220.53314208984375,1024,3.7983644008636475,58.060027637079884,3.7983644008636475,0.004099591635167599,4194304
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.01052170991897583,4096,4096,3.7527925968170166,5.186938580543548,1.1221082210540771,5.224966049194336,3.0677110095182485,1.3821543415276725,model.layers.0.self_attn.o_proj,4064,1168.721435546875,4064,24.107620239257812,48.47933657274401,24.107620239257812,1.0112434210896026e-05,16777216
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.021511971950531006,14336,4096,3.018648386001587,6.047403047560909,1.167685866355896,6.4020256996154785,3.9841323765960786,2.003347947248378,model.layers.0.mlp.gate_proj,4096,9641.228515625,4096,100.77387237548828,95.67190669920195,100.77387237548828,0.016697118058800697,58720256
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.033230483531951904,14336,4096,3.9738516807556152,5.969988716540894,1.1901313066482544,6.352043628692627,3.9084143795432413,1.5023179514857283,model.layers.0.mlp.up_proj,4096,8098.6826171875,4096,31.792007446289062,254.73957977865354,31.792007446289062,0.02204621210694313,58720256
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.02584180235862732,4096,14336,3.622546911239624,6.0117134150103375,1.1913453340530396,6.193124771118164,3.909891457720907,1.6595267258949444,model.layers.0.mlp.down_proj,4096,8126.27392578125,4096,45.659034729003906,177.9773482731822,45.659034729003906,0.1595994085073471,58720256
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.03324630856513977,4096,4096,3.549086332321167,7.8670499910294245,1.0611274242401123,7.929660797119141,3.799658048907275,2.216640919491026,model.layers.1.self_attn.q_proj,3799,6304.607421875,3870,164.68002319335938,38.28398429645855,164.68002319335938,1.0130742339242715e-05,16777216
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.033041685819625854,1024,4096,4.10381555557251,8.012546946898146,0.9241288900375366,8.093883514404297,3.4992234284031576,1.9524627358113178,model.layers.1.self_attn.k_proj,1010,3156.628173828125,1018,89.63192749023438,35.21767591321795,89.63192749023438,1.0870313417399302e-05,4194304
CounterNarratives/Meta-Llama-3.1-8B-Instruct_multi_no-info_a,True,meta-llama/Llama-3.1-8B-Instruct,0.047194480895996094,1024,4096,10.200285911560059,2.3423253999086735,1.0225260257720947,2.3828392028808594,2.525895527976711,0.22963330834227882,model.layers.1.self_attn.v_proj,1024,335.6568603515625,1024,1.6968103647232056,197.81636612428224,1.6968103647232056,0.017255205661058426,4194304
