model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.09159672260284424,3072,3072,5.654085159301758,8.556240026569737,1.1038472652435303,8.644308090209961,3.457066445278303,1.5132846049362256,model.layers.0.self_attn.o_proj,3066,2864.6162109375,3066,32.60503005981445,87.85810673022891,32.60503005981445,1.3836398466082755e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.03546488285064697,3072,3072,4.74152135848999,7.344392251315655,1.0739922523498535,7.754880428314209,3.702305555800799,1.5489526875514463,model.layers.0.self_attn.qkv_proj_q,3066,5038.5498046875,3066,35.395877838134766,142.3484911923578,35.395877838134766,1.0133962859981693e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.0353776216506958,3072,3072,5.389286518096924,7.8410478532878125,1.082457184791565,8.201627731323242,3.7023021046464653,1.4549324529245218,model.layers.0.self_attn.qkv_proj_k,3065,5038.509765625,3065,28.505748748779297,176.75416317000844,28.505748748779297,1.2623970178538002e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.030406653881072998,3072,3072,12.168200492858887,13.231174818538015,1.0998023748397827,13.597328186035156,3.7341261897066635,1.0873567399142505,model.layers.0.self_attn.qkv_proj_v,3067,5421.583984375,3067,12.228036880493164,443.3732116905706,12.228036880493164,1.2854458873334806e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.09127980470657349,16384,3072,12.375910758972168,24.25047561572232,1.1490468978881836,24.468944549560547,4.719779840904594,1.9594901812088006,model.layers.0.mlp.gate_up_proj,3072,52454.1484375,3072,91.09408569335938,575.8238642854486,91.09408569335938,5.438941478729248,50331648
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.0910751223564148,3072,8192,6.117897033691406,14.755641506027208,1.1360877752304077,14.768375396728516,4.5102422117232255,2.4118813090131357,model.layers.0.mlp.down_proj,3072,32377.41796875,3072,258.15545654296875,125.41829796017088,258.15545654296875,1.5526379346847534,25165824
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.07258808612823486,3072,3072,6.853427410125732,9.667363169452482,1.1077929735183716,9.701712608337402,3.7291496763515095,1.4105881029934373,model.layers.1.self_attn.o_proj,3067,5359.8134765625,3067,25.738788604736328,208.2387620828516,25.738788604736328,1.1374886526027694e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.028249934315681458,3072,3072,2.788184404373169,5.429787836183797,1.0609736442565918,6.631621360778809,4.068574533001841,1.947427805588241,model.layers.1.self_attn.qkv_proj_q,3067,11710.4755859375,3067,88.59879302978516,132.1742112446235,88.59879302978516,1.234602586919209e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.040652453899383545,3072,3072,2.786773204803467,5.437437504019891,1.0604016780853271,6.604671478271484,4.025363357144882,1.9511589585573608,model.layers.1.self_attn.qkv_proj_k,3064,10601.4033203125,3066,89.36325073242188,118.6326955814982,89.36325073242188,1.1726701814041007e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.10847949981689453,3072,3072,40.789249420166016,44.99248343264132,1.1046470403671265,inf,3.931876520345311,1.1030475939671802,model.layers.1.self_attn.qkv_proj_v,3067,8548.236328125,3067,12.677907943725586,674.2623756276446,12.677907943725586,1.507189608673798e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.09031260013580322,16384,3072,16.486270904541016,31.224602421758085,1.1494590044021606,31.23562240600586,4.8403017809870565,1.8939760605994598,model.layers.1.mlp.gate_up_proj,3072,69231.1875,3072,78.3386459350586,883.742457808008,78.3386459350586,7.275317668914795,50331648
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.051356375217437744,3072,8192,4.030002593994141,8.743261057662101,1.1385093927383423,8.960527420043945,4.5629757925861085,2.1695422902933283,model.layers.1.mlp.down_proj,3072,36557.44140625,3072,147.75503540039062,247.41925922988443,147.75503540039062,1.8009940385818481,25165824
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.07811525464057922,3072,3072,3.627187728881836,5.94188440574497,1.1064611673355103,6.2243123054504395,3.82665415694442,1.6381518823611296,model.layers.2.self_attn.o_proj,3068,6708.94384765625,3068,43.46622085571289,154.34845071824262,43.46622085571289,1.1803484085248783e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.0626133382320404,3072,3072,8.53570556640625,16.07355052690541,1.0925390720367432,16.498023986816406,4.3588162614446455,1.8830957091778866,model.layers.2.self_attn.qkv_proj_q,3069,22846.3203125,3069,76.4004135131836,299.0339876702062,76.4004135131836,1.4022174582350999e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.020895183086395264,3072,3072,4.658153533935547,9.386106844521365,1.0887649059295654,9.991618156433105,4.320773037865816,2.0149844302343762,model.layers.2.self_attn.qkv_proj_k,3068,20930.18359375,3069,103.51050567626953,202.20347158972854,103.51050567626953,1.2104739653295837e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.08035358786582947,3072,3072,16.588491439819336,20.80194373652818,1.1087260246276855,20.808618545532227,3.9349106341325593,1.2539985213239337,model.layers.2.self_attn.qkv_proj_v,3068,8608.166015625,3068,17.947275161743164,479.6363758869853,17.947275161743164,1.504718602518551e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.09171327948570251,16384,3072,12.286664962768555,26.122956354516596,1.1493030786514282,26.125497817993164,4.867477293625709,2.126122624298393,model.layers.2.mlp.gate_up_proj,3072,73701.6640625,3072,133.69729614257812,551.2577007084924,133.69729614257812,7.7266011238098145,50331648
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.07336419820785522,3072,8192,4.796618461608887,9.723334674986255,1.1391160488128662,9.981040000915527,4.574359126754215,2.0271228059537685,model.layers.2.mlp.down_proj,3072,37528.3203125,3072,106.44439697265625,352.5626653898973,106.44439697265625,1.8565090894699097,25165824
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.08548974990844727,3072,3072,8.584495544433594,13.21761598215614,1.1087298393249512,13.26600170135498,3.945933949361921,1.5397079436690697,model.layers.3.self_attn.o_proj,3068,8829.4560546875,3068,34.65037536621094,254.81559611898115,34.65037536621094,1.2950428754265886e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.10874709486961365,3072,3072,8.18450927734375,12.893423680735834,1.0982840061187744,14.40003776550293,4.327300971365208,1.5753447450328193,model.layers.3.self_attn.qkv_proj_q,3070,21247.1640625,3070,37.61358642578125,564.8800362184204,37.61358642578125,1.5548534065601416e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.07722577452659607,3072,3072,14.448503494262695,24.45065345094501,1.093783974647522,24.998802185058594,4.3489706135554265,1.6922620021273505,model.layers.3.self_attn.qkv_proj_k,3068,22334.2109375,3068,49.233646392822266,453.6371480450834,49.233646392822266,1.9603132386691868e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.1180848777294159,3072,3072,14.119481086730957,15.394526109580701,1.1095236539840698,16.861173629760742,3.971247392179477,1.0903039577033742,model.layers.3.self_attn.qkv_proj_v,3068,9359.38671875,3068,12.311301231384277,760.2272532241204,12.311301231384277,1.1804767382272985e-05,9437184
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.09010344743728638,16384,3072,20.237855911254883,37.897236290570795,1.1495143175125122,37.91554260253906,4.879896803237265,1.8725914670385118,model.layers.3.mlp.gate_up_proj,3072,75839.734375,3072,74.57469177246094,1016.9634305214282,74.57469177246094,7.985322952270508,50331648
DongfuJiang/PairRM-V2-phi-3-4k-mini-all,True,microsoft/Phi-3-mini-128k-instruct,0.08417725563049316,3072,8192,12.232632637023926,22.271147888653843,1.1396976709365845,22.283447265625,4.5797954716941955,1.8206340817631375,model.layers.3.mlp.down_proj,3072,38001.0390625,3072,66.16587829589844,574.3298515974759,66.16587829589844,1.8392599821090698,25165824
