model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.02746722102165222,4096,4096,2.47930908203125,7.367250510457673,0.888096272945404,7.397154808044434,3.7215113375199067,2.9714933744452012,model.layers.0.self_attn.q_proj,2830,5266.36962890625,3296,936.4689331054688,5.623645849566193,936.4689331054688,1.0058775842480827e-05,16777216
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.042881518602371216,1024,4096,2.6398749351501465,6.67674269967898,0.7952083945274353,6.7345991134643555,3.443553695962177,2.529189019819695,model.layers.0.self_attn.k_proj,1013,2776.858154296875,1022,338.2120056152344,8.210406810502041,338.2120056152344,1.0953132004942745e-05,4194304
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.0352778434753418,1024,4096,4.572656631469727,1.6349607203864613,1.0083633661270142,1.8077988624572754,2.247867112144249,0.3575516055884035,model.layers.0.self_attn.v_proj,1024,176.9567413330078,1024,2.277988910675049,77.68112500625355,2.277988910675049,0.004028430208563805,4194304
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.012340724468231201,4096,4096,3.682507038116455,4.803799622940444,1.1204614639282227,4.842907905578613,2.96483860411191,1.3044916338836143,model.layers.0.self_attn.o_proj,4059,922.2286376953125,4059,20.160051345825195,45.74535163008354,20.160051345825195,1.0086918337037787e-05,16777216
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.02132660150527954,14336,4096,3.057398796081543,5.81910613805896,1.1693811416625977,6.163625240325928,3.8940948061905702,1.903286593007398,model.layers.0.mlp.gate_proj,4096,7836.0068359375,4096,80.03622436523438,97.90575327715302,80.03622436523438,0.015413054265081882,58720256
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.03447556495666504,14336,4096,4.087830543518066,5.802148870269565,1.1908470392227173,6.098317623138428,3.809493166111452,1.4193711819756898,model.layers.0.mlp.up_proj,4096,6449.01171875,4096,26.264623641967773,245.53984883473598,26.264623641967773,0.017694545909762383,58720256
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.02552032470703125,4096,14336,3.6008331775665283,5.670906967219515,1.1913185119628906,5.838592529296875,3.807268123120608,1.5748874462026476,model.layers.0.mlp.down_proj,4096,6416.0556640625,4096,37.57400131225586,170.75784957642284,37.57400131225586,0.12159155309200287,58720256
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.032666563987731934,4096,4096,3.6105527877807617,7.904770063530893,1.0618467330932617,7.946913719177246,3.7519386142371522,2.189351749760619,model.layers.1.self_attn.q_proj,3770,5648.5712890625,3833,154.65065002441406,36.524717407723685,154.65065002441406,1.017877639242215e-05,16777216
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.02906036376953125,1024,4096,4.096771240234375,7.8004866484688735,0.9261143207550049,7.89005184173584,3.460023049148424,1.9040571686942935,model.layers.1.self_attn.k_proj,997,2884.1845703125,1008,80.17835998535156,35.97210732221806,80.17835998535156,1.1294010619167238e-05,4194304
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.04698759317398071,1024,4096,8.797897338867188,1.6743622861607692,1.02165687084198,1.695906639099121,2.4006176355286355,0.19031391498100378,model.layers.1.self_attn.v_proj,1024,251.54612731933594,1024,1.5499365329742432,162.29446946232872,1.5499365329742432,0.012043364346027374,4194304
DongfuJiang/vapo_lora_all_data_iter_2,True,meta-llama/Meta-Llama-3-8B-Instruct,0.02296900749206543,4096,4096,3.7757952213287354,4.9897456323107665,1.1275910139083862,5.020538330078125,3.076291599084323,1.3215085405386024,model.layers.1.self_attn.o_proj,4068,1192.0421142578125,4068,20.965660095214844,56.85688448845365,20.965660095214844,1.0212115739705041e-05,16777216
