model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
DreadPoor/ONeil-model_stock-8B,False,0.02742987871170044,4096,4096,2.4845213890075684,7.379131375667674,0.8893670439720154,7.409207344055176,3.7219758038199333,2.9700413964297714,model.layers.0.self_attn.q_proj,2834,5272.0048828125,3310,933.34326171875,5.648516573745989,933.34326171875,1.0046406714536715e-05,16777216
DreadPoor/ONeil-model_stock-8B,False,0.04356005787849426,1024,4096,2.645778179168701,6.68323263668081,0.7958378791809082,6.741788864135742,3.443823604450829,2.525998849525877,model.layers.0.self_attn.k_proj,1013,2778.58447265625,1024,335.7367248535156,8.276081426208487,335.7367248535156,1.32837258206564e-05,4194304
DreadPoor/ONeil-model_stock-8B,False,0.03389483690261841,1024,4096,4.552454948425293,1.6370377572856083,1.009002923965454,1.809529423713684,2.2523757126482096,0.3595944991947398,model.layers.0.self_attn.v_proj,1024,178.80337524414062,1024,2.288729667663574,78.1234139489572,2.288729667663574,0.008245485834777355,4194304
DreadPoor/ONeil-model_stock-8B,False,0.010810032486915588,4096,4096,3.680293321609497,4.803582404631674,1.1202588081359863,4.842646598815918,2.9650131514696216,1.3052172707068173,model.layers.0.self_attn.o_proj,4057,922.599365234375,4057,20.193763732910156,45.68734077693488,20.193763732910156,1.1090447515016422e-05,16777216
DreadPoor/ONeil-model_stock-8B,False,0.021396875381469727,14336,4096,3.054277181625366,5.8172116490912265,1.1693143844604492,6.162586688995361,3.8947849063767084,1.9046115670469486,model.layers.0.mlp.gate_proj,4096,7848.46826171875,4096,80.28077697753906,97.76273420864615,80.28077697753906,0.01543113961815834,58720256
DreadPoor/ONeil-model_stock-8B,False,0.034458160400390625,14336,4096,4.065769195556641,5.776227108412795,1.1908248662948608,6.077218532562256,3.8101334697752836,1.4206972483153897,model.layers.0.mlp.up_proj,4096,6458.52685546875,4096,26.344942092895508,245.15244074916504,26.344942092895508,0.0176764614880085,58720256
DreadPoor/ONeil-model_stock-8B,False,0.025494754314422607,4096,14336,3.602989912033081,5.67366498463966,1.19132661819458,5.841159343719482,3.8078577183419324,1.5747102054577073,model.layers.0.mlp.down_proj,4096,6424.77197265625,4096,37.55867004394531,171.0596239200957,37.55867004394531,0.12128254771232605,58720256
DreadPoor/ONeil-model_stock-8B,False,0.03260517120361328,4096,4096,3.60648775100708,7.898380435813602,1.062038779258728,7.940933704376221,3.7527752915150603,2.1900477642293525,model.layers.1.self_attn.q_proj,3772,5659.4638671875,3837,154.89869689941406,36.53654924458508,154.89869689941406,1.011728909361409e-05,16777216
DreadPoor/ONeil-model_stock-8B,False,0.028930723667144775,1024,4096,4.093471527099609,7.7972024214169595,0.9258009791374207,7.88718318939209,3.4608373029910573,1.9047897047281024,model.layers.1.self_attn.k_proj,1003,2889.59716796875,1014,80.31371307373047,35.97887655021018,80.31371307373047,1.02658559626434e-05,4194304
DreadPoor/ONeil-model_stock-8B,False,0.050910890102386475,1024,4096,8.756970405578613,1.6756150319348186,1.0216889381408691,1.6974966526031494,2.401376399596129,0.1913464308235381,model.layers.1.self_attn.v_proj,1024,251.98599243164062,1024,1.5536258220672607,162.19220152787307,1.5536258220672607,0.012084518559277058,4194304
DreadPoor/ONeil-model_stock-8B,False,0.021565057337284088,4096,4096,3.7567691802978516,4.9768205373936185,1.1275391578674316,5.007846355438232,3.076856935786124,1.324760798053352,model.layers.1.self_attn.o_proj,4069,1193.5948486328125,4069,21.123252868652344,56.50620461037749,21.123252868652344,1.0158561963180546e-05,16777216
DreadPoor/ONeil-model_stock-8B,False,0.022162675857543945,14336,4096,3.1524946689605713,5.206833121253824,1.1787346601486206,5.715137958526611,3.9053948927948055,1.6516548537005462,model.layers.1.mlp.gate_proj,4096,8042.57080078125,4096,44.838890075683594,179.3659652860762,44.838890075683594,0.02676919661462307,58720256
DreadPoor/ONeil-model_stock-8B,False,0.033556461334228516,14336,4096,4.523805618286133,4.549918794993706,1.1920474767684937,5.699038505554199,3.8232207683775568,1.0057723914135521,model.layers.1.mlp.up_proj,4096,6656.1142578125,4096,10.133801460266113,656.8230376241959,10.133801460266113,0.028157882392406464,58720256
DreadPoor/ONeil-model_stock-8B,False,0.02486056089401245,4096,14336,4.837837219238281,6.452429207240822,1.196234941482544,6.54650354385376,3.8272441661478385,1.3337425206416431,model.layers.1.mlp.down_proj,4096,6718.064453125,4096,21.564655303955078,311.5312699615871,21.564655303955078,0.07526886463165283,58720256
DreadPoor/ONeil-model_stock-8B,False,0.027008235454559326,4096,4096,3.375227928161621,6.562551841890807,1.1174668073654175,6.6263508796691895,3.7094142357505926,1.9443284961988387,model.layers.2.self_attn.q_proj,4045,5121.701171875,4056,87.96876525878906,58.22181494542786,87.96876525878906,1.0324785762350075e-05,16777216
DreadPoor/ONeil-model_stock-8B,False,0.035487815737724304,1024,4096,5.522233009338379,9.28600652133555,0.9784016609191895,9.300366401672363,3.4797607596938795,1.681567312649147,model.layers.2.self_attn.k_proj,1024,3018.28857421875,1024,48.03605270385742,62.833817608339274,48.03605270385742,1.1968355465796776e-05,4194304
DreadPoor/ONeil-model_stock-8B,False,0.04492896795272827,1024,4096,4.957491397857666,-0.2719309975103844,1.0137001276016235,0.6621138453483582,2.249956697761879,-0.054852540465909205,model.layers.2.self_attn.v_proj,1024,177.81021118164062,1024,0.8813480734825134,201.748000059784,0.8813480734825134,0.008297297172248363,4194304
DreadPoor/ONeil-model_stock-8B,False,0.013837248086929321,4096,4096,3.244361400604248,3.916771278616508,1.1273984909057617,4.013304233551025,3.004376484331641,1.2072549247710278,model.layers.2.self_attn.o_proj,4067,1010.128173828125,4067,16.11591339111328,62.678927921338605,16.11591339111328,1.0003448551287875e-05,16777216
DreadPoor/ONeil-model_stock-8B,False,0.022278189659118652,14336,4096,4.5981245040893555,8.201411712238675,1.1892448663711548,8.212789535522461,3.9297830136029397,1.7836428102250659,model.layers.2.mlp.gate_proj,4096,8507.12890625,4096,60.76350402832031,140.0039224578794,60.76350402832031,0.01784415729343891,58720256
DreadPoor/ONeil-model_stock-8B,False,0.034147799015045166,14336,4096,10.587176322937012,10.046893747803454,1.1958625316619873,10.09321117401123,3.8192533833728164,0.948968208457713,model.layers.2.mlp.up_proj,4096,6595.5859375,4096,8.89136028289795,741.7971747457195,8.89136028289795,0.015380622819066048,58720256
DreadPoor/ONeil-model_stock-8B,False,0.013290762901306152,4096,14336,4.484381675720215,5.89977864104699,1.1914019584655762,6.221933841705322,3.821558912171049,1.315628121707427,model.layers.2.mlp.down_proj,4096,6630.69287109375,4096,20.68369483947754,320.5758411421834,20.68369483947754,0.08536800742149353,58720256
DreadPoor/ONeil-model_stock-8B,False,0.018580645322799683,4096,4096,3.366863965988159,6.736377370759259,1.1217401027679443,6.791223526000977,3.7133404770105556,2.000786915898505,model.layers.3.self_attn.q_proj,4058,5168.2138671875,4068,100.18135833740234,51.58857848364755,100.18135833740234,1.0019457477028482e-05,16777216
DreadPoor/ONeil-model_stock-8B,False,0.035980224609375,1024,4096,5.025832653045654,8.615344458707211,0.981160581111908,8.645269393920898,3.4787913525544507,1.714212361107231,model.layers.3.self_attn.k_proj,1024,3011.558837890625,1024,51.7859992980957,58.15391956724039,51.7859992980957,5.29557146364823e-05,4194304
