model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.02666342258453369,4096,4096,1.4271280765533447,2.4900537006130814,0.593620777130127,2.9801979064941406,2.454723979512138,1.7448004432978481,model.layers.0.self_attn.q_proj,2075,284.9206848144531,2124,55.56488800048828,5.127710953218323,55.56488800048828,1.0012816346716136e-05,16777216
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.023199379444122314,1024,4096,1.454670786857605,1.6565493241879072,0.5887539982795715,2.149454116821289,1.894474189764281,1.1387795363419666,model.layers.0.self_attn.k_proj,973,78.42855072021484,973,13.765105247497559,5.6976353838248235,13.765105247497559,1.0276642569806427e-05,4194304
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.04190048575401306,1024,4096,4.286440849304199,-2.8354226030889413,0.9653539061546326,-2.4466962814331055,1.2328774704521217,-0.6614864645919946,model.layers.0.self_attn.v_proj,1024,17.09532928466797,1024,0.21802863478660583,78.40864252257468,0.21802863478660583,0.0005174833931960166,4194304
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.03740251064300537,4096,4096,3.388373851776123,-0.28912133579741656,1.0871648788452148,0.17284701764583588,1.8340669228830626,-0.08532746044119792,model.layers.0.self_attn.o_proj,3941,68.244384765625,3941,0.821622908115387,83.06046982326947,0.821622908115387,1.0025334631791338e-05,16777216
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.02100193500518799,14336,4096,2.3867149353027344,1.4053741413605476,1.1351388692855835,2.624053955078125,2.786958233252109,0.5888320052693213,model.layers.0.mlp.gate_proj,4096,612.29150390625,4096,3.880002498626709,157.80698701172614,3.880002498626709,0.00034026693901978433,58720256
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.044911980628967285,14336,4096,7.027431011199951,1.4077401467780115,1.163633108139038,1.9437940120697021,2.7367422232096987,0.20032073520671054,model.layers.0.mlp.up_proj,4096,545.4340209960938,4096,1.586064100265503,343.89153685830826,1.586064100265503,0.0003553499118424952,58720256
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.030740320682525635,4096,14336,4.056506633758545,0.9042053000290643,1.1868116855621338,1.481711983680725,2.7111233705069315,0.22290245811610454,model.layers.0.mlp.down_proj,4096,514.189697265625,4096,1.67071533203125,307.7661929638695,1.67071533203125,0.010119720362126827,58720256
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.05310097336769104,4096,4096,2.44490385055542,2.2587138950760997,0.9460881948471069,2.8426854610443115,2.439144210616531,0.9238456942030572,model.layers.1.self_attn.q_proj,3087,274.88067626953125,3087,8.391617774963379,32.75657729426682,8.391617774963379,1.005008743959479e-05,16777216
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.04013499617576599,1024,4096,2.9367637634277344,1.7767494253445735,0.8385084867477417,2.1999282836914062,2.0071838860410787,0.6050025022342231,model.layers.1.self_attn.k_proj,969,101.66790771484375,969,4.027193546295166,25.245349285080568,4.027193546295166,1.039122071233578e-05,4194304
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.0716933161020279,1024,4096,10.616677284240723,-8.917874450313438,1.0126739740371704,-8.87653636932373,1.409026451505794,-0.8399873342247137,model.layers.1.self_attn.v_proj,1024,25.64640235900879,1024,0.1445481926202774,177.42457995570317,0.1445481926202774,0.002185323741286993,4194304
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.025305569171905518,4096,4096,3.628805637359619,0.05827378920243693,1.1382945775985718,0.1795952022075653,2.019658747337164,0.016058669167202333,model.layers.1.self_attn.o_proj,4023,104.63060760498047,4023,1.0376685857772827,100.8323939252774,1.0376685857772827,1.0116771591128781e-05,16777216
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.01975017786026001,14336,4096,2.688552141189575,2.031546475964938,1.1588388681411743,2.492363691329956,2.781423973567878,0.7556284458243987,model.layers.1.mlp.gate_proj,4096,604.5385131835938,4096,5.6967668533325195,106.11958129020994,5.6967668533325195,0.0004723957972601056,58720256
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.05786123871803284,14336,4096,3.3836941719055176,0.10044966483911295,1.178306221961975,1.5549461841583252,2.7286710592298924,0.029686390003309613,model.layers.1.mlp.up_proj,4096,535.3909912109375,4096,1.070745825767517,500.01688386425974,1.070745825767517,0.00041397573659196496,58720256
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.02756333351135254,4096,14336,5.670648574829102,0.20495371025057996,1.1941622495651245,0.535630464553833,2.718385710579958,0.03614290456303876,model.layers.1.mlp.down_proj,4096,522.8603515625,4096,1.0867831707000732,481.1082520036531,1.0867831707000732,0.008438443765044212,58720256
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.029472291469573975,4096,4096,3.902637243270874,1.9825048788503903,1.1158483028411865,2.1408438682556152,2.501009422417947,0.5079910725160854,model.layers.2.self_attn.q_proj,3999,316.963623046875,3999,3.2210025787353516,98.40526832838584,3.2210025787353516,1.0185346582147758e-05,16777216
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.03456835448741913,1024,4096,5.712952613830566,1.17023341997754,0.9880114197731018,1.2091212272644043,2.11504577420988,0.2048386358298344,model.layers.2.self_attn.k_proj,1024,130.33041381835938,1024,1.6026498079299927,81.32182911917367,1.6026498079299927,1.061143666447606e-05,4194304
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.07677578926086426,1024,4096,9.892812728881836,-11.176487518391635,1.020954966545105,-10.330317497253418,1.33763209517689,-1.1297583230057657,model.layers.2.self_attn.v_proj,1024,21.758657455444336,1024,0.07417228817939758,293.3529218192316,0.07417228817939758,0.0023595255333930254,4194304
EllieS/zephyr-7b-dpo-lora-ultrafeedback,True,alignment-handbook/zephyr-7b-sft-full,0.01971989870071411,4096,4096,4.011922836303711,-0.22975400699414505,1.1369898319244385,-0.14742295444011688,1.959442602162003,-0.057267803088113085,model.layers.2.self_attn.o_proj,4017,91.0841064453125,4017,0.8764601945877075,103.92269609934658,0.8764601945877075,1.0210337677563075e-05,16777216
