model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.02305692434310913,3072,3072,2.4609317779541016,8.078930591149877,0.8563131093978882,8.109086990356445,4.038469231245267,3.282874667036201,model.layers.0.self_attn.q_proj,2702,10926.2021484375,2898,1918.1151123046875,5.696322435679711,1918.1151123046875,1.0120555089088157e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.038403868675231934,1024,1024,2.759983539581299,6.481933481376095,0.7948207855224609,6.529582977294922,3.245085570958161,2.348540630195002,model.layers.0.self_attn.k_proj_q,973,1758.27001953125,973,223.12109375,7.880339729336998,223.12109375,1.0056957762571983e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.038640379905700684,1024,1024,2.6197457313537598,6.28059694321595,0.7843134999275208,6.340358257293701,3.2586336003367156,2.3974070720101666,model.layers.0.self_attn.k_proj_k,972,1813.984619140625,972,249.6934051513672,7.264847936376074,249.6934051513672,1.029028499033302e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.037059009075164795,1024,1024,2.7287545204162598,6.4200778957484665,0.7986980676651001,6.4618916511535645,3.257847426788731,2.3527502557353936,model.layers.0.self_attn.k_proj_v,976,1810.703857421875,976,225.29432678222656,8.037059269460135,225.29432678222656,1.0481444405741058e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.07633763551712036,1024,1024,6.480744361877441,-0.22850186271800285,0.9550881385803223,0.6493979096412659,2.133381103204036,-0.03525858295879564,model.layers.0.self_attn.v_proj_q,1011,135.95059204101562,1011,0.92202228307724,147.44827162667036,0.92202228307724,1.1701105904649012e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.08434146642684937,1024,1024,11.57259464263916,-0.4433581059967133,0.9542856216430664,-0.03084072843194008,2.1249340978180027,-0.03831103738509624,model.layers.0.self_attn.v_proj_k,1010,133.3319091796875,1010,0.9155645370483398,145.62808385909324,0.9155645370483398,1.0763275895442348e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.06890317797660828,1024,1024,11.772022247314453,-0.0683521284569482,0.9554229378700256,0.19958031177520752,2.141993070911131,-0.005806320020550534,model.layers.0.self_attn.v_proj_v,1010,138.67337036132812,1010,0.9867194294929504,140.53981934113608,0.9867194294929504,1.1223697583773173e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.020273208618164062,3072,3072,4.173818588256836,5.644935206003265,1.0649703741073608,5.741243839263916,3.137221129812365,1.3524629992030464,model.layers.0.self_attn.o_proj,3052,1371.5799560546875,3052,22.514535903930664,60.919752550405995,22.514535903930664,1.2012630577373784e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.037260234355926514,8192,3072,3.5625782012939453,6.472352113493187,1.1224983930587769,6.824182510375977,3.9460525295688234,1.8167607131100725,model.layers.0.mlp.gate_proj,3072,8831.8671875,3072,65.57838439941406,134.67649848932405,65.57838439941406,0.08751709014177322,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.025831162929534912,8192,3072,4.838979721069336,7.3588791000077745,1.1335686445236206,7.495896339416504,3.8969784348452756,1.5207501424249783,model.layers.0.mlp.up_proj,3072,7888.20947265625,3072,33.17035675048828,237.80900314073747,33.17035675048828,0.08935502171516418,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.01997460424900055,3072,8192,4.236268997192383,6.583425166563904,1.1339832544326782,6.836687088012695,3.8909302593913035,1.554062117142966,model.layers.0.mlp.down_proj,3072,7779.1162109375,3072,35.81476593017578,217.20416171652806,35.81476593017578,0.2322196066379547,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.020386457443237305,3072,3072,3.452828884124756,8.217716774981545,1.0218101739883423,8.248828887939453,3.859275893122348,2.379995375028445,model.layers.1.self_attn.q_proj,2898,7232.291015625,2927,239.8807373046875,30.149528040006047,239.8807373046875,1.0255565030092839e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.03629326820373535,1024,1024,4.623885154724121,7.463703916164867,0.9105605483055115,7.504998207092285,3.138518480888571,1.614162909850684,model.layers.1.self_attn.k_proj_q,976,1375.683349609375,976,41.13039779663086,33.446876843045324,41.13039779663086,1.0224041034234688e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.051193058490753174,1024,1024,4.338530540466309,7.157634893645437,0.9094802737236023,7.2010369300842285,3.1352512865891127,1.6497832219653175,model.layers.1.self_attn.k_proj_k,975,1365.3729248046875,975,44.64606857299805,30.58215355675159,44.64606857299805,1.1961325071752071e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.03581798076629639,1024,1024,4.299655437469482,6.9622995525717695,0.9119871854782104,7.011104106903076,3.125924415172194,1.6192691841998759,model.layers.1.self_attn.k_proj_v,976,1336.3629150390625,976,41.61684799194336,32.11110354387651,41.61684799194336,1.004031491902424e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.11679986119270325,1024,1024,6.045073986053467,-0.2980803198526474,0.9745967388153076,0.9689222574234009,2.2573741476047884,-0.04930962309813671,model.layers.1.self_attn.v_proj_q,1017,180.8731689453125,1017,0.8926688432693481,202.62068101634975,0.8926688432693481,1.1983043805230409e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.10618656873703003,1024,1024,9.79572582244873,-0.5179901003995824,0.9742656946182251,0.43749332427978516,2.255195332750783,-0.052879195456094895,model.layers.1.self_attn.v_proj_k,1016,179.968017578125,1016,0.8853618502616882,203.2705808646843,0.8853618502616882,1.325017092312919e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.10038663446903229,1024,1024,11.088749885559082,-0.3962237498023453,0.9743900299072266,0.35771921277046204,2.261428489249989,-0.0357320485980434,model.layers.1.self_attn.v_proj_v,1016,182.56961059570312,1016,0.9210176467895508,198.22596367409193,0.9210176467895508,1.1516821359691676e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.02786397933959961,3072,3072,3.906456470489502,5.572013265221582,1.0777815580368042,5.614527702331543,3.2588050028248188,1.4263600035772,model.layers.1.self_attn.o_proj,3057,1814.70068359375,3057,26.690702438354492,67.9899934362922,26.690702438354492,1.3446696357277688e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.01708225905895233,8192,3072,3.3179712295532227,6.071131377546985,1.1215773820877075,6.370834827423096,3.9570057673344587,1.8297721582005657,model.layers.1.mlp.gate_proj,3072,9057.4462890625,3072,67.57283782958984,134.03974999398775,67.57283782958984,0.059999603778123856,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.035354673862457275,8192,3072,4.754115104675293,6.023013508205007,1.1329634189605713,6.795122146606445,3.8982739494692074,1.26690527586971,model.layers.1.mlp.up_proj,3072,7911.775390625,3072,18.4886531829834,427.9259993857663,18.4886531829834,0.05580136924982071,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.018829762935638428,3072,8192,4.963319778442383,7.386048658546826,1.136834740638733,7.499017715454102,3.8945802972511374,1.4881266950856746,model.layers.1.mlp.down_proj,3072,7844.771484375,3072,30.769943237304688,254.94916984000804,30.769943237304688,0.09302551299333572,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.026924431324005127,3072,3072,3.636467695236206,7.6029562303113405,1.0610597133636475,7.631769180297852,3.7752133112468966,2.090753133946785,model.layers.2.self_attn.q_proj,3042,5959.5478515625,3045,123.24040985107422,48.35709211584186,123.24040985107422,1.1353077752573881e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.05380257964134216,1024,1024,6.717219829559326,8.697639249366647,0.946772038936615,8.703953742980957,3.054218492653305,1.2948272455060093,model.layers.2.self_attn.k_proj_q,1015,1132.97021484375,1015,19.71638298034668,57.46339052011195,19.71638298034668,1.1198540050827432e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.0574454665184021,1024,1024,6.410542964935303,8.227653254825045,0.9474717378616333,8.237456321716309,3.0487614797310707,1.2834565339986113,model.layers.2.self_attn.k_proj_k,1014,1118.8232421875,1014,19.206867218017578,58.25120929341118,19.206867218017578,1.3804757145408075e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.05174553394317627,1024,1024,6.439970016479492,8.202488495530991,0.9478143453598022,8.212543487548828,3.047146995743719,1.2736842678679126,model.layers.2.self_attn.k_proj_v,1015,1114.6717529296875,1015,18.779510498046875,59.35574055807348,18.779510498046875,1.0920076420006808e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.07040148973464966,1024,1024,7.565751552581787,-0.5213851435231377,0.969193696975708,0.3207349479198456,2.1498297594342497,-0.06891386003089367,model.layers.2.self_attn.v_proj_q,1015,141.19839477539062,1015,0.8532693386077881,165.47927880049323,0.8532693386077881,1.3868555470253341e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.07446157932281494,1024,1024,7.804707050323486,-0.2882374782323796,0.9690748453140259,0.3381512761116028,2.151996480114632,-0.03693123603152188,model.layers.2.self_attn.v_proj_k,1017,141.90460205078125,1017,0.9184780120849609,154.49972692177502,0.9184780120849609,1.0433361239847727e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.0685591995716095,1024,1024,7.512256622314453,-0.22076867470916872,0.96905118227005,0.4189208149909973,2.1554167101994146,-0.029387797276972154,model.layers.2.self_attn.v_proj_v,1016,143.0265655517578,1016,0.9345707893371582,153.03984158674487,0.9345707893371582,1.1568272384465672e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.016389429569244385,3072,3072,3.4592130184173584,4.862163423918873,1.0751855373382568,4.942025661468506,3.199849615731584,1.4055692430711844,model.layers.2.self_attn.o_proj,3059,1584.344482421875,3059,25.44305419921875,62.27021606826289,25.44305419921875,1.0840502909559291e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.02479320764541626,8192,3072,4.631895065307617,8.992752931352642,1.1288080215454102,9.00246524810791,3.96362073049589,1.9414845985409666,model.layers.2.mlp.gate_proj,3072,9196.4609375,3072,87.39459991455078,105.22916686490642,87.39459991455078,0.0554715134203434,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.03150254487991333,8192,3072,9.834366798400879,11.316879346212595,1.1365082263946533,11.49301528930664,3.890021145288343,1.1507481445630827,model.layers.2.mlp.up_proj,3072,7762.84912109375,3072,14.14972972869873,548.6217242262234,14.14972972869873,0.04651516303420067,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.014270484447479248,3072,8192,4.633013725280762,6.910199033347196,1.1313327550888062,7.2948832511901855,3.8953146961050598,1.4915127480932373,model.layers.2.mlp.down_proj,3072,7858.04833984375,3072,31.010784149169922,253.3972795413524,31.010784149169922,0.09056813269853592,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.01592952013015747,3072,3072,3.4320085048675537,7.528676590887313,1.0620791912078857,7.5523295402526855,3.766153870513169,2.1936648992010164,model.layers.3.self_attn.q_proj,3051,5836.5185546875,3055,156.19419860839844,37.3670636085563,156.19419860839844,1.1325295417918824e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.033260077238082886,1024,1024,5.124298572540283,7.241325415973778,0.9451667070388794,7.254313945770264,3.03387595915231,1.4131349517333092,model.layers.3.self_attn.k_proj_q,1017,1081.1251220703125,1017,25.890172958374023,41.75812667642411,25.890172958374023,1.4695614481752273e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.03150910139083862,1024,1024,5.236140727996826,7.306179497803761,0.9460386633872986,7.31941032409668,3.0326218590875134,1.3953367331666167,model.layers.3.self_attn.k_proj_k,1018,1078.0076904296875,1018,24.8505916595459,43.37955832997604,24.8505916595459,1.2941631212015636e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.03313151001930237,1024,1024,5.300327301025391,7.288292947784046,0.946559727191925,7.302910804748535,3.027652058215448,1.3750646957922896,model.layers.3.self_attn.k_proj_v,1018,1065.741943359375,1018,23.717269897460938,44.935270710625446,23.717269897460938,1.0176802788919304e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.10291745513677597,1024,1024,15.839218139648438,-0.8186742540283669,0.9803977608680725,-0.2522399127483368,2.281956530176748,-0.05168653192414067,model.layers.3.self_attn.v_proj_q,1017,191.40643310546875,1017,0.8877965807914734,215.59717309885258,0.8877965807914734,1.3056449461146258e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.10295510292053223,1024,1024,11.152048110961914,-0.6112530780564706,0.980337381362915,0.22585256397724152,2.282614362520284,-0.05481083581908501,model.layers.3.self_attn.v_proj_k,1018,191.6965789794922,1018,0.8814327120780945,217.48294152544224,0.8814327120780945,1.4325299162010197e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.09696835279464722,1024,1024,14.066718101501465,-0.9814136200430764,0.9803808927536011,-0.15093596279621124,2.284616692172184,-0.06976848565255044,model.layers.3.self_attn.v_proj_v,1019,192.5824432373047,1019,0.8515918850898743,226.144056336305,0.8515918850898743,1.0894510523939971e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.027529895305633545,3072,3072,5.614792823791504,7.391252279776251,1.087038278579712,7.397640705108643,3.3118951410131907,1.3163891370056209,model.layers.3.self_attn.o_proj,3061,2050.6669921875,3061,20.719970703125,98.97055461947237,20.719970703125,1.0798258699651342e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.01946258544921875,8192,3072,3.6847145557403564,7.772211651285384,1.1229479312896729,7.8041887283325195,3.998764661783067,2.109311734657216,model.layers.3.mlp.gate_proj,3072,9971.595703125,3072,128.62095642089844,77.52699078441005,128.62095642089844,0.0465320460498333,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.031039178371429443,8192,3072,8.200096130371094,9.087326050694985,1.1377785205841064,9.573299407958984,3.878072146020449,1.1081975023485169,model.layers.3.mlp.up_proj,3072,7552.1767578125,3072,12.82913875579834,588.6737139232491,12.82913875579834,0.040426816791296005,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.03197354078292847,3072,8192,5.294710159301758,7.276850343187202,1.1310192346572876,7.581236362457275,3.8736518194236256,1.3743623587030946,model.layers.3.mlp.down_proj,3072,7475.69921875,3072,23.678945541381836,315.7108159941205,23.678945541381836,0.036496177315711975,25165824
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.02804785966873169,3072,3072,3.2994954586029053,7.3692479878876656,1.0547415018081665,7.399622917175293,3.778108624663518,2.2334469255514606,model.layers.4.self_attn.q_proj,3052,5999.4111328125,3058,171.17759704589844,35.04787563529039,171.17759704589844,1.1705743418133352e-05,9437184
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.04141736030578613,1024,1024,4.4648003578186035,6.418088720561871,0.9408060312271118,6.447751045227051,3.0154492464739975,1.437486159783771,model.layers.4.self_attn.k_proj_q,1018,1036.2135009765625,1018,27.383323669433594,37.84104199641869,27.383323669433594,1.046706074703252e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.03518781065940857,1024,1024,4.655287265777588,6.595742281632908,0.941140353679657,6.625434875488281,3.0141350130450086,1.4168282009405062,model.layers.4.self_attn.k_proj_k,1019,1033.08251953125,1019,26.111282348632812,39.564602984171025,26.111282348632812,1.3588141882792115e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.039890140295028687,1024,1024,4.465933799743652,6.2732545744490205,0.9418891668319702,6.309897422790527,3.0094329472827615,1.4046904534968945,model.layers.4.self_attn.k_proj_v,1019,1021.957763671875,1019,25.39162254333496,40.24783221031806,25.39162254333496,1.3008984751650132e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.09407448768615723,1024,1024,11.891036033630371,0.24903598496598497,0.9776694774627686,0.9902004599571228,2.3303079792694152,0.020943169649949626,model.layers.4.self_attn.v_proj_q,1018,213.9478759765625,1018,1.0494050979614258,203.87539225050233,1.0494050979614258,1.3229418982518837e-05,1048576
Fan9494/llama3.2-3b-instruct-glaive,True,meta-llama/Llama-3.2-3B-Instruct,0.1016441285610199,1024,1024,8.733808517456055,0.14894577737839693,0.977618932723999,1.0922092199325562,2.329472676699537,0.017053932093965943,model.layers.4.self_attn.v_proj_k,1018,213.53677368164062,1018,1.0400493144989014,205.31408530808295,1.0400493144989014,1.2978290214959998e-05,1048576
