model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.026062577962875366,4096,4096,2.4626965522766113,7.403531925324069,0.8953216075897217,7.431850910186768,3.767222305793626,3.006270471479712,model.layers.0.self_attn.q_proj,2772,5850.89501953125,3349,1014.5430297851562,5.767025003138861,1014.5430297851562,1.0029561053670477e-05,16777216
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.046296849846839905,1024,4096,2.7860796451568604,7.0889058353853605,0.7956992983818054,7.139721393585205,3.4835005848559826,2.544401717915083,model.layers.0.self_attn.k_proj,1014,3044.39208984375,1022,350.2690124511719,8.691582702503961,350.2690124511719,1.155314294010168e-05,4194304
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.04093751311302185,1024,4096,4.771537780761719,2.7657375914978366,1.006545901298523,2.7906906604766846,2.3404161542574577,0.579632336277199,model.layers.0.self_attn.v_proj,1024,218.98590087890625,1024,3.7986767292022705,57.64794334707542,3.7986767292022705,0.004077711142599583,4194304
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.010451853275299072,4096,4096,3.748757839202881,5.181147183417504,1.1220769882202148,5.219275951385498,3.067185319492141,1.3820970587204426,model.layers.0.self_attn.o_proj,4065,1167.3076171875,4065,24.104440689086914,48.427077493483964,24.104440689086914,1.0526450751058292e-05,16777216
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.021595656871795654,14336,4096,3.0184004306793213,6.04689181710326,1.1676583290100098,6.401455879211426,3.9838050571545374,2.003343146801217,model.layers.0.mlp.gate_proj,4096,9633.96484375,4096,100.77275848388672,95.60088449191797,100.77275848388672,0.015542862936854362,58720256
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.0332912802696228,14336,4096,3.972456455230713,5.967891505648141,1.190127968788147,6.349954605102539,3.90803163299793,1.5023176648770935,model.layers.0.mlp.up_proj,4096,8091.54833984375,4096,31.7919864654541,254.51534299802913,31.7919864654541,0.02080877311527729,58720256
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.02687925100326538,4096,14336,3.6215693950653076,6.01004678501264,1.191367506980896,6.191261291503906,3.909652854717378,1.6595144616590347,model.layers.0.mlp.down_proj,4096,8121.810546875,4096,45.657745361328125,177.88461700419688,45.657745361328125,0.1593008190393448,58720256
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.03392532467842102,4096,4096,3.549381732940674,7.868228738404545,1.0610473155975342,7.930778503417969,3.799531225017052,2.2167885368265794,model.layers.1.self_attn.q_proj,3798,6302.7666015625,3869,164.7360076904297,38.25979935975259,164.7360076904297,1.0078381819766946e-05,16777216
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.032201558351516724,1024,4096,4.104579925537109,8.014319731510513,0.9241012334823608,8.095531463623047,3.4991467372635285,1.952531045052507,model.layers.1.self_attn.k_proj,1010,3156.07080078125,1018,89.64602661132812,35.20591954917088,89.64602661132812,1.0557453606452327e-05,4194304
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.04438436031341553,1024,4096,10.225146293640137,2.348539555047778,1.0225253105163574,2.388054609298706,2.5253219763020347,0.22968273388015278,model.layers.1.self_attn.v_proj,1024,335.2138671875,1024,1.6970034837722778,197.53281026998917,1.6970034837722778,0.017113175243139267,4194304
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.023389577865600586,4096,4096,3.793064832687378,5.359702732471243,1.1291465759277344,5.391184329986572,3.1872317303079405,1.4130269238435098,model.layers.1.self_attn.o_proj,4072,1538.9755859375,4072,25.88373374938965,59.45724835675185,25.88373374938965,1.0750829460448585e-05,16777216
GaetanMichelet/Llama-31-8B_task-1_60-samples_config-3_full,True,meta-llama/Llama-3.1-8B-Instruct,0.02199465036392212,14336,4096,3.117147922515869,5.414813786187944,1.177855372428894,5.964405059814453,3.9949989836650666,1.7371051745974295,model.layers.1.mlp.gate_proj,4096,9885.5078125,4096,54.58900451660156,181.08972493707276,54.58900451660156,0.038038916885852814,58720256
