model_id,is_adapter,source_model,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.02604454755783081,4096,4096,2.4773261547088623,7.447760273480149,0.8954039812088013,7.47528076171875,3.7672399198554114,3.00637050124529,model.layers.0.self_attn.q_proj,2773,5851.13232421875,3351,1014.7767333984375,5.765930703420441,1014.7767333984375,1.0008978279074654e-05,16777216
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.04631097614765167,1024,4096,2.786162853240967,7.089058827629789,0.7957013249397278,7.139875411987305,3.483501768993397,2.544380641419986,model.layers.0.self_attn.k_proj,1014,3044.400390625,1022,350.25201416015625,8.6920282183814,350.25201416015625,1.155539484898327e-05,4194304
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.04072961211204529,1024,4096,4.771984100341797,2.7659864070983784,1.0065464973449707,2.790926933288574,2.3404200882144868,0.5796302646734013,model.layers.0.self_attn.v_proj,1024,218.98788452148438,1024,3.798658609390259,57.64874052649738,3.798658609390259,0.004072913900017738,4194304
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.01058650016784668,4096,4096,3.7489471435546875,5.181580545552967,1.1220418214797974,5.219730377197266,3.0672053929079466,1.3821428649537804,model.layers.0.self_attn.o_proj,4064,1167.361572265625,4064,24.106983184814453,48.42420817719627,24.106983184814453,1.082145536202006e-05,16777216
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.021522223949432373,14336,4096,3.0187931060791016,6.047630439025262,1.1676567792892456,6.402178764343262,3.9838026358846683,2.003327232610553,model.layers.0.mlp.gate_proj,4096,9633.9111328125,4096,100.7690658569336,95.6038547235339,100.7690658569336,0.015551730990409851,58720256
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.033260881900787354,14336,4096,3.9727723598480225,5.968196223294559,1.1901264190673828,6.350277423858643,3.9080360095994697,1.5022749059608516,model.layers.0.mlp.up_proj,4096,8091.6298828125,4096,31.788856506347656,254.54296794843026,31.788856506347656,0.020811030641198158,58720256
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.02692851424217224,4096,14336,3.622159004211426,6.011069015793866,1.1913657188415527,6.192165851593018,3.9096481288400735,1.65952654447386,model.layers.0.mlp.down_proj,4096,8121.72216796875,4096,45.65901565551758,177.87773239012645,45.65901565551758,0.15929803252220154,58720256
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.03471556305885315,4096,4096,3.5490305423736572,7.867859051523576,1.0610450506210327,7.930325984954834,3.7995506042207534,2.2169037311979305,model.layers.1.self_attn.q_proj,3798,6303.0478515625,3869,164.7797088623047,38.25135931529975,164.7797088623047,1.005545345833525e-05,16777216
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.03232714533805847,1024,4096,4.103785991668701,8.012786842409884,0.9241013526916504,8.094066619873047,3.4991473083820726,1.9525352585824503,model.layers.1.self_attn.k_proj,1010,3156.074951171875,1018,89.64689636230469,35.20562427969299,89.64689636230469,1.0554804248386063e-05,4194304
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.04441636800765991,1024,4096,10.231807708740234,2.3501076492783364,1.0225255489349365,2.3894765377044678,2.5253310698987317,0.2296864558225447,model.layers.1.self_attn.v_proj,1024,335.22088623046875,1024,1.697018027305603,197.53525350741685,1.697018027305603,0.017113257199525833,4194304
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.02347421646118164,4096,4096,3.7921600341796875,5.358327622746484,1.129144549369812,5.389865398406982,3.1872243583967155,1.4130014488973397,model.layers.1.self_attn.o_proj,4072,1538.949462890625,4072,25.88221549987793,59.45972681117207,25.88221549987793,1.0803358236444183e-05,16777216
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.021967589855194092,14336,4096,3.1178524494171143,5.41539801309561,1.177857756614685,5.965087413787842,3.994990445929172,1.736900030053707,model.layers.1.mlp.gate_proj,4096,9885.3134765625,4096,54.56322479248047,181.17172352182575,54.56322479248047,0.03805196285247803,58720256
GaetanMichelet/Llama-31-8B_task-3_120-samples_config-1_auto,True,meta-llama/Llama-3.1-8B-Instruct,0.03494182229042053,14336,4096,4.49406623840332,4.937956931731721,1.1916782855987549,6.142141342163086,3.923279849362079,1.098772619222922,model.layers.1.mlp.up_proj,4096,8380.69140625,4096,12.553725242614746,667.586014850874,12.553725242614746,0.03915749117732048,58720256
