model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.028187215328216553,4096,4096,2.485588550567627,7.382499656951554,0.8898506164550781,7.412911415100098,3.7233545619856305,2.970121364320588,model.layers.0.self_attn.q_proj,2838,5288.7685546875,3316,933.51513671875,5.665434170973602,933.51513671875,1.0107459274877328e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.04561987519264221,1024,4096,2.6449947357177734,6.678311255689265,0.7959584593772888,6.738182067871094,3.445352777348045,2.5248864073360693,model.layers.0.self_attn.k_proj,1013,2788.38525390625,1022,334.8778381347656,8.32657445902441,334.8778381347656,1.3756623047811445e-05,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.03680533170700073,1024,4096,4.655228614807129,1.6812122317478253,1.0100749731063843,1.8504841327667236,2.2619200049030974,0.3611449341929859,model.layers.0.self_attn.v_proj,1024,182.77635192871094,1024,2.296915054321289,79.57471112605823,2.296915054321289,0.010481429286301136,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.010679498314857483,4096,4096,3.6781511306762695,4.80885575520304,1.120350956916809,4.848030090332031,2.966962451689808,1.3074111379210451,model.layers.0.self_attn.o_proj,4059,926.7496948242188,4059,20.296031951904297,45.66161981910289,20.296031951904297,1.0702839063014835e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.02140212059020996,14336,4096,3.0557990074157715,5.825495033647233,1.1692942380905151,6.170840740203857,3.8962200789170325,1.9063737567523258,model.layers.0.mlp.gate_proj,4096,7874.447265625,4096,80.60718536376953,97.68914805905534,80.60718536376953,0.0154062919318676,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.03485661745071411,14336,4096,4.088387489318848,5.810939735053789,1.190845012664795,6.108221530914307,3.8115808963265487,1.4213280297513897,model.layers.0.mlp.up_proj,4096,6480.087890625,4096,26.38323402404785,245.61385782798706,26.38323402404785,0.017679821699857712,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.025230824947357178,4096,14336,3.581700086593628,5.651255696452475,1.1913292407989502,5.822268486022949,3.80954761566213,1.5778137643643682,model.layers.0.mlp.down_proj,4096,6449.8203125,4096,37.828033447265625,170.5037170777436,37.828033447265625,0.12204369902610779,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.03187435865402222,4096,4096,3.6069204807281494,7.900395748005761,1.062848687171936,7.9434685707092285,3.75447443209098,2.1903437545179436,model.layers.1.self_attn.q_proj,3780,5681.6494140625,3852,155.00430297851562,36.654785092320985,155.00430297851562,1.0323625247110613e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.029207885265350342,1024,4096,4.084005355834961,7.778555253879856,0.9250653386116028,7.871206760406494,3.4625507989158404,1.9046388474408738,model.layers.1.self_attn.k_proj,1015,2901.0205078125,1024,80.28582000732422,36.133659811257445,80.28582000732422,1.101936140912585e-05,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.05151522159576416,1024,4096,8.599194526672363,1.669566203546106,1.02173912525177,1.6943854093551636,2.4036382559537657,0.194153789447089,model.layers.1.self_attn.v_proj,1024,253.30178833007812,1024,1.5637012720108032,161.9886054094916,1.5637012720108032,0.012048169039189816,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.02086527645587921,4096,4096,3.7496345043182373,4.961832958637334,1.1275988817214966,4.99401330947876,3.0783069975917248,1.3232844302352877,model.layers.1.self_attn.o_proj,4068,1197.5867919921875,4068,21.05156707763672,56.888249106376286,21.05156707763672,1.0536428817431442e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.022173941135406494,14336,4096,3.1584532260894775,5.223875548069581,1.178848147392273,5.724916458129883,3.9067135290167974,1.6539347503769528,model.layers.1.mlp.gate_proj,4096,8067.02734375,4096,45.07489776611328,178.96939856876804,45.07489776611328,0.02657216414809227,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.033826351165771484,14336,4096,4.553967475891113,4.57689385884297,1.1921039819717407,5.721031665802002,3.8244701086252544,1.0050343756456825,model.layers.1.mlp.up_proj,4096,6675.28955078125,4096,10.116595268249512,659.8355843819661,10.116595268249512,0.027934301644563675,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.02440953254699707,4096,14336,5.108868598937988,6.814990047596654,1.1960221529006958,6.89920711517334,3.8531983705936645,1.3339528930169249,model.layers.1.mlp.down_proj,4096,7131.787109375,4096,21.575103759765625,330.55632959108766,21.575103759765625,0.14801332354545593,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.0270308256149292,4096,4096,3.3867275714874268,6.582883822772849,1.1174489259719849,6.646367073059082,3.7109556927813077,1.9437299528292713,model.layers.2.self_attn.q_proj,4047,5139.912109375,4056,87.84761047363281,58.50941285326968,87.84761047363281,1.0056377504952252e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.03426562249660492,1024,4096,5.521520614624023,9.271927627913287,0.9784944653511047,9.286988258361816,3.4810026831396073,1.679234449176215,model.layers.2.self_attn.k_proj,1023,3026.93212890625,1023,47.77871322631836,63.35315299447828,47.77871322631836,6.715055496897548e-05,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.043713152408599854,1024,4096,4.909794807434082,-0.236280622395441,1.0137064456939697,0.6868129968643188,2.2514393335529532,-0.04812433750544539,model.layers.2.self_attn.v_proj,1024,178.41827392578125,1024,0.8951084613800049,199.3258712477263,0.8951084613800049,0.008574970066547394,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.01350894570350647,4096,4096,3.240997791290283,3.916384295763071,1.127366304397583,4.01406192779541,3.0060186623233482,1.2083884494731196,model.layers.2.self_attn.o_proj,4066,1013.9549560546875,4066,16.158031463623047,62.75238158419408,16.158031463623047,1.1128256119263824e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.022374987602233887,14336,4096,4.583045959472656,8.173148990249896,1.1892929077148438,8.184898376464844,3.9310569112118436,1.783344322209313,model.layers.2.mlp.gate_proj,4096,8532.119140625,4096,60.72175598144531,140.51173261906575,60.72175598144531,0.017822686582803726,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.03431200981140137,14336,4096,10.767563819885254,10.240233797686784,1.1958831548690796,10.28007984161377,3.8203241854633863,0.9510260602101461,model.layers.2.mlp.up_proj,4096,6611.8681640625,4096,8.93359088897705,740.1131578815333,8.93359088897705,0.015341962687671185,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.012823104858398438,4096,14336,4.49078369140625,5.919753275987238,1.191407322883606,6.238317012786865,3.823137735609211,1.3182004930042666,model.layers.2.mlp.down_proj,4096,6654.841796875,4096,20.806570053100586,319.84328891744934,20.806570053100586,0.08310075849294662,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.01885092258453369,4096,4096,3.365487575531006,6.7322397097559685,1.1216752529144287,6.788041591644287,3.714796609137794,2.000375743087911,model.layers.3.self_attn.q_proj,4059,5185.5712890625,4067,100.08655548095703,51.810867744860424,100.08655548095703,1.177372359961737e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.03624744713306427,1024,4096,5.019818305969238,8.599994576181977,0.9811934232711792,8.631050109863281,3.4804106131567836,1.7132083378307594,model.layers.3.self_attn.k_proj,1024,3022.808349609375,1024,51.66641616821289,58.506251716160634,51.66641616821289,5.3939191275276244e-05,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.08279073238372803,1024,4096,6.396975040435791,-0.4718841461267459,1.0263069868087769,0.7104654312133789,2.4006729813866152,-0.0737667636881383,model.layers.3.self_attn.v_proj,1024,251.57818603515625,1024,0.8437877893447876,298.1533854981595,0.8437877893447876,0.02475104294717312,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.03849911689758301,4096,4096,3.3025286197662354,3.8176532117763697,1.1408722400665283,3.950773000717163,3.1221733045719935,1.1559788426743738,model.layers.3.self_attn.o_proj,4074,1324.8701171875,4074,14.321181297302246,92.51123141895232,14.321181297302246,1.0533280146773905e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.022069036960601807,14336,4096,3.540743350982666,6.826303191943242,1.184287428855896,6.896428108215332,3.9829650795949934,1.9279293965344118,model.layers.3.mlp.gate_proj,4096,9615.349609375,4096,84.70896911621094,113.51040757188119,84.70896911621094,0.014042806811630726,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.02467942237854004,14336,4096,9.591024398803711,8.422312568954164,1.1968961954116821,8.69347858428955,3.803974415319065,0.8781452552664426,model.layers.3.mlp.up_proj,4096,6367.580078125,4096,7.55344820022583,843.0030774467514,7.55344820022583,0.01463097333908081,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.02461487054824829,4096,14336,5.095770359039307,6.1462191586705055,1.1907669305801392,6.423380374908447,3.8023340254046025,1.2061413143878872,model.layers.3.mlp.down_proj,4096,6343.57421875,4096,16.074642181396484,394.63237484014104,16.074642181396484,0.014127649366855621,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.024998009204864502,4096,4096,3.4055581092834473,6.84085633635525,1.1145094633102417,6.89355993270874,3.703630789968648,2.0087328175981742,model.layers.4.self_attn.q_proj,4052,5053.9482421875,4064,102.03115844726562,49.533380970084856,102.03115844726562,1.1305664884275757e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.02640637755393982,1024,4096,4.24072265625,7.446637354781322,0.9770681262016296,7.509965896606445,3.4658359975516904,1.7559831091067526,model.layers.4.self_attn.k_proj,1024,2923.04833984375,1024,57.01420974731445,51.268768834973365,57.01420974731445,0.0007097771158441901,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.05241641402244568,1024,4096,9.301637649536133,0.372484135590261,1.0214622020721436,1.0005245208740234,2.4665419025884305,0.0400450060112626,model.layers.4.self_attn.v_proj,1024,292.78033447265625,1024,1.096591830253601,266.99116881524367,1.096591830253601,0.017676817253232002,4194304
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.026899784803390503,4096,4096,4.069136619567871,4.188099204598597,1.1370412111282349,4.335923671722412,3.1417940204128807,1.0292353381448665,model.layers.4.self_attn.o_proj,4071,1386.0982666015625,4071,10.696343421936035,129.58617837184954,10.696343421936035,1.0472286703588907e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.015557676553726196,14336,4096,3.667720317840576,7.706578301830965,1.1835254430770874,7.722611904144287,4.03013385401307,2.1011902855145523,model.layers.4.mlp.gate_proj,4096,10718.49609375,4096,126.23805236816406,84.90701411085058,126.23805236816406,0.012934751808643341,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.026498615741729736,14336,4096,8.02880859375,7.309956429232146,1.1975207328796387,7.600010395050049,3.781641304094211,0.9104658983803099,model.layers.4.mlp.up_proj,4096,6048.4111328125,4096,8.137029647827148,743.3192939671324,8.137029647827148,0.012614362873136997,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.010160624980926514,4096,14336,5.108546733856201,6.508290891405988,1.1918563842773438,6.772954940795898,3.7801953353719044,1.2740004604975368,model.layers.4.mlp.down_proj,4096,6028.306640625,4096,18.793188095092773,320.77083516229453,18.793188095092773,0.06334959715604782,58720256
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.025874435901641846,4096,4096,4.325862884521484,8.433170210236199,1.1083099842071533,8.449506759643555,3.698590679287385,1.949477002706491,model.layers.5.self_attn.q_proj,4062,4995.634765625,4074,89.01782989501953,56.119484956176194,89.01782989501953,1.002827502816217e-05,16777216
Magpie-Align/Llama-3-8B-Magpie-Align-SFT-v0.2,False,0.02007153630256653,1024,4096,4.8823442459106445,8.61842371922211,0.9807301163673401,8.634180068969727,3.4696083960324238,1.76522245977242,model.layers.5.self_attn.k_proj,1024,2948.54931640625,1024,58.24014663696289,50.627436341908414,58.24014663696289,0.01053163968026638,4194304
