model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Minami-su/Amara-o1-7B-Qwen,False,0.03861874341964722,3584,3584,3.0687196254730225,8.344647009918981,1.016778826713562,8.382600784301758,3.745094738292483,2.7192601567934735,model.layers.0.self_attn.q_proj,3486,5560.25537109375,3552,523.9141845703125,10.61291244796891,523.9141845703125,1.025857636705041e-05,12848640
Minami-su/Amara-o1-7B-Qwen,False,0.04137086868286133,512,3584,6.413147926330566,7.961089784430213,0.9840178489685059,8.052864074707031,3.141083532140456,1.2413700535027792,model.layers.0.self_attn.k_proj,512,1383.83251953125,512,17.43291664123535,79.3804357589808,17.43291664123535,0.01713423617184162,1835520
Minami-su/Amara-o1-7B-Qwen,False,0.08562600612640381,512,3584,4.412208080291748,0.847774866737906,1.015412449836731,1.1230279207229614,2.172055036841726,0.1921429931024125,model.layers.0.self_attn.v_proj,512,148.61239624023438,512,1.5564780235290527,95.47991940373223,1.5564780235290527,0.03690081462264061,1835520
Minami-su/Amara-o1-7B-Qwen,False,0.048620641231536865,3584,3584,4.287511825561523,6.66921736535724,1.1191123723983765,6.698087692260742,3.2986485629346984,1.5554983022078992,model.layers.0.self_attn.o_proj,3566,1989.0631103515625,3566,35.93339920043945,55.35415948979402,35.93339920043945,1.023515869746916e-05,12845056
Minami-su/Amara-o1-7B-Qwen,False,0.022609293460845947,18944,3584,4.005919456481934,12.635991356171058,1.0668039321899414,12.636006355285645,4.204757914065397,3.1543298594595806,model.layers.0.mlp.gate_proj,3584,16023.51953125,3584,1426.6907958984375,11.231248969514397,1426.6907958984375,0.017007211223244667,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.01899188756942749,18944,3584,7.668343544006348,13.71359624947874,1.1214892864227295,13.716017723083496,4.073212051303031,1.7883387945232867,model.layers.0.mlp.up_proj,3584,11836.193359375,3584,61.42409896850586,192.69624720818132,61.42409896850586,0.019885964691638947,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.018790245056152344,3584,18944,4.601444721221924,7.498199589663274,1.1659059524536133,7.7786054611206055,4.123620197085384,1.6295316023425162,model.layers.0.mlp.down_proj,3584,13292.9140625,3584,42.611968994140625,311.95258929076584,42.611968994140625,0.2919843792915344,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.038747161626815796,3584,3584,2.572061538696289,5.24565644353095,0.9968627691268921,5.612578392028809,3.5080363467921085,2.0394754808976447,model.layers.1.self_attn.q_proj,3360,3221.33837890625,3418,109.51547241210938,29.414459052728876,109.51547241210938,1.0002827366406564e-05,12848640
Minami-su/Amara-o1-7B-Qwen,False,0.08452099561691284,512,3584,2.487572193145752,3.3464385840863238,0.8893947005271912,4.263088226318359,2.9511067497003545,1.3452629006334327,model.layers.1.self_attn.k_proj,512,893.5250854492188,512,22.14434814453125,40.35002880271655,22.14434814453125,0.0022632658947259188,1835520
Minami-su/Amara-o1-7B-Qwen,False,0.03689521551132202,512,3584,12.366717338562012,4.079546171511898,1.0040919780731201,4.153719425201416,2.5254805729571723,0.32988108807104527,model.layers.1.self_attn.v_proj,512,335.3363037109375,512,2.1373767852783203,156.89152517265288,2.1373767852783203,0.05236755311489105,1835520
Minami-su/Amara-o1-7B-Qwen,False,0.03223702311515808,3584,3584,3.6461949348449707,4.159839661257328,1.1012771129608154,5.090206623077393,3.4282362217983513,1.140871438743907,model.layers.1.self_attn.o_proj,3569,2680.6259765625,3569,13.831568717956543,193.80491332717986,13.831568717956543,1.046833858708851e-05,12845056
Minami-su/Amara-o1-7B-Qwen,False,0.024456530809402466,18944,3584,2.81807804107666,7.425224687700011,1.1143217086791992,7.466386318206787,4.180906397848365,2.634854173471778,model.layers.1.mlp.gate_proj,3584,15167.234375,3584,431.37420654296875,35.16027185897404,431.37420654296875,0.033217526972293854,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.02907848358154297,18944,3584,4.1590352058410645,7.865659428018382,1.138877034187317,7.970240116119385,4.0114737988866755,1.8912221317510445,model.layers.1.mlp.up_proj,3584,10267.71484375,3584,77.84346008300781,131.90208699357783,77.84346008300781,0.018213661387562752,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.030099928379058838,3584,18944,4.096906661987305,9.269262932104153,1.1516592502593994,9.28002643585205,4.012999099674493,2.262502833688642,model.layers.1.mlp.down_proj,3584,10303.83984375,3584,183.0218048095703,56.298427689918654,183.0218048095703,0.28807327151298523,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.03322330117225647,3584,3584,3.8341915607452393,5.706406574038911,1.0898168087005615,6.330171585083008,3.631022223377572,1.488294594475028,model.layers.2.self_attn.q_proj,3508,4275.84765625,3508,30.781841278076172,138.9081185112665,30.781841278076172,1.0069666132039856e-05,12848640
Minami-su/Amara-o1-7B-Qwen,False,0.036497533321380615,512,3584,6.712133407592773,6.463922144451499,0.9755425453186035,7.000247001647949,3.004074865316776,0.9630205110553229,model.layers.2.self_attn.k_proj,512,1009.4268798828125,512,9.183759689331055,109.91433944591152,9.183759689331055,0.04627906531095505,1835520
Minami-su/Amara-o1-7B-Qwen,False,0.053766071796417236,512,3584,9.815224647521973,1.6337266716895553,1.0052014589309692,1.8405358791351318,2.3384935778268816,0.16644822002133375,model.layers.2.self_attn.v_proj,512,218.01861572265625,512,1.467061161994934,148.60908418173304,1.467061161994934,0.09503047168254852,1835520
Minami-su/Amara-o1-7B-Qwen,False,0.02624887228012085,3584,3584,4.78951358795166,5.738903644643382,1.111057996749878,5.973426342010498,3.409275493871163,1.1982226460490635,model.layers.2.self_attn.o_proj,3571,2566.111328125,3571,15.784202575683594,162.57465752994273,15.784202575683594,1.1096070920757484e-05,12845056
Minami-su/Amara-o1-7B-Qwen,False,0.01282799243927002,18944,3584,2.727987289428711,7.471369108440208,1.1214929819107056,7.521394729614258,4.284598981549282,2.7387844281359706,model.layers.2.mlp.gate_proj,3584,19257.458984375,3584,548.0048828125,35.141035396511136,548.0048828125,0.07680422812700272,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.02252867817878723,18944,3584,3.8984851837158203,6.357881132870706,1.153114676475525,7.158249855041504,4.1038188152053525,1.630859380825125,model.layers.2.mlp.up_proj,3584,12700.44140625,3584,42.74244689941406,297.1388473883582,42.74244689941406,0.06362190842628479,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.017323851585388184,3584,18944,3.9781203269958496,7.172294480728398,1.1648951768875122,7.405446529388428,4.125970327622796,1.8029355301438776,model.layers.2.mlp.down_proj,3584,13365.0419921875,3584,63.52366256713867,210.3947009992045,63.52366256713867,0.4217926561832428,67895296
Minami-su/Amara-o1-7B-Qwen,False,0.015931546688079834,3584,3584,3.4092466831207275,5.924816015735824,1.090907335281372,6.223755359649658,3.663732525919917,1.7378666216996699,model.layers.3.self_attn.q_proj,3542,4610.33544921875,3542,54.68479919433594,84.30744040651561,54.68479919433594,1.0075057616631966e-05,12848640
