model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.01991093158721924,4096,4096,1.551661729812622,4.155579297759489,0.7723227739334106,4.578670978546143,3.484219493276215,2.6781477031474608,model.layers.0.self_attn.q_proj,3027,3049.435791015625,3657,476.5930480957031,6.3984059423445,476.5930480957031,1.0011585800384637e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.0313592255115509,4096,4096,1.4592375755310059,3.70449701369884,0.7973371148109436,4.4491801261901855,3.5828756946999922,2.538652427690399,model.layers.0.self_attn.k_proj,3110,3827.15185546875,3641,345.6626281738281,11.071928358839353,345.6626281738281,1.0045928320323583e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.07103317975997925,4096,4096,3.6017868518829346,4.362067229890479,1.0862494707107544,5.219040393829346,3.3121314701529387,1.211084222712981,model.layers.0.self_attn.v_proj,4067,2051.783203125,4067,16.25864028930664,126.19648178540885,16.25864028930664,1.0546392331889365e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.05348387360572815,4096,4096,2.2256667613983154,2.85811698231618,1.0779486894607544,3.363301992416382,2.9374286887774765,1.2841621359886402,model.layers.0.self_attn.o_proj,4056,865.8221435546875,4056,19.23809814453125,45.00559967258572,19.23809814453125,1.0141696293430869e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.013271510601043701,11008,4096,2.692256450653076,5.765855101206549,1.1414815187454224,6.414092540740967,4.084070675183655,2.1416440843916975,model.layers.0.mlp.gate_proj,4096,12135.86328125,4096,138.56198120117188,87.58436604360101,138.56198120117188,0.03336545452475548,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.02695828676223755,11008,4096,2.9724884033203125,6.091367205350026,1.1515583992004395,6.692758560180664,4.06933648092411,2.049248433920173,model.layers.0.mlp.up_proj,4096,11731.0390625,4096,112.00784301757812,104.73408599305829,112.00784301757812,0.024593530222773552,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.017696619033813477,4096,11008,4.224886894226074,8.020766265134256,1.1771910190582275,8.104698181152344,4.1055256189809795,1.8984570394288673,model.layers.0.mlp.down_proj,4096,12750.453125,4096,79.15111541748047,161.08999927225372,79.15111541748047,0.15587885677814484,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.03290998935699463,4096,4096,2.907348155975342,7.357046354120697,0.9897106289863586,7.76977014541626,4.0701065137838555,2.5305006347451338,model.layers.1.self_attn.q_proj,3859,11751.857421875,3983,339.2349853515625,34.64223305180652,339.2349853515625,1.0312817721569445e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.03286832571029663,4096,4096,3.109874963760376,8.111626352582054,0.9866983294487,8.366578102111816,4.068474780537658,2.6083448521588455,model.layers.1.self_attn.k_proj,3807,11707.7861328125,3970,405.8306579589844,28.848944512210206,405.8306579589844,1.0200637007073965e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.022959202527999878,4096,4096,4.2116379737854,4.3243143983903725,1.1250799894332886,4.800836086273193,3.229018796223722,1.026753587394336,model.layers.1.self_attn.v_proj,4072,1694.4111328125,4072,10.635394096374512,159.3181331559783,10.635394096374512,1.2366595001367386e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.018734455108642578,4096,4096,3.7857818603515625,4.449790837704617,1.120210886001587,4.57138204574585,3.0578932360838063,1.1753954669990923,model.layers.1.self_attn.o_proj,4063,1142.597412109375,4063,14.975987434387207,76.29529719594935,14.975987434387207,1.007331047730986e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.012495636940002441,11008,4096,2.6180357933044434,6.027227048903778,1.1405302286148071,6.4429731369018555,4.175280215023814,2.302194287915486,model.layers.1.mlp.gate_proj,4096,14972.013671875,4096,200.53689575195312,74.65964612514044,200.53689575195312,0.0174269899725914,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.06133130192756653,11008,4096,4.015995025634766,6.971034392015273,1.1722153425216675,7.298759937286377,4.123072738421697,1.73581748670454,model.layers.1.mlp.up_proj,4096,13276.16796875,4096,54.42738723754883,243.92440355084554,54.42738723754883,0.015962772071361542,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.021534308791160583,4096,11008,4.842041015625,7.973220422796283,1.1886228322982788,8.186643600463867,4.135652588616285,1.646665196983491,model.layers.1.mlp.down_proj,4096,13666.3515625,4096,44.32667922973633,308.30984409344154,44.32667922973633,0.20790348947048187,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.02167639136314392,4096,4096,3.0604732036590576,7.407170532645381,1.0727108716964722,7.615808010101318,4.075462985492603,2.420269690252303,model.layers.2.self_attn.q_proj,3992,11897.69921875,4048,263.190185546875,45.20571006106526,263.190185546875,1.0547843885433394e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.02680036425590515,4096,4096,3.327277421951294,8.54032065221629,1.0713733434677124,8.596418380737305,4.1193690579935645,2.5667594159334595,model.layers.2.self_attn.k_proj,3948,13163.4296875,4036,368.77325439453125,35.695185403595275,368.77325439453125,1.0543387361394707e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.023481786251068115,4096,4096,4.113725662231445,4.513300011708309,1.1454311609268188,5.419862747192383,3.5381323052639138,1.0971319874695094,model.layers.2.self_attn.v_proj,4083,3452.489013671875,4083,12.506390571594238,276.05798762702267,12.506390571594238,1.1099981747975107e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.013393938541412354,4096,4096,4.419793128967285,6.891645513933162,1.1525763273239136,6.899454116821289,3.5115542856706026,1.5592687967148007,model.layers.2.self_attn.o_proj,4084,3247.538330078125,4084,36.246726989746094,89.59535383696374,36.246726989746094,1.0816673238878138e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.015221089124679565,11008,4096,2.8616623878479004,5.873091106808794,1.1615163087844849,6.520452976226807,4.199420736095979,2.052335429835811,model.layers.2.mlp.gate_proj,4096,15827.806640625,4096,112.80683898925781,140.30892791998386,112.80683898925781,0.019977211952209473,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.06639927625656128,11008,4096,3.9484503269195557,5.1920699188694845,1.181523084640503,6.803216934204102,4.13855826448042,1.3149639704142253,model.layers.2.mlp.up_proj,4096,13758.09375,4096,20.652088165283203,666.1841475734052,20.652088165283203,0.016045881435275078,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.018209218978881836,4096,11008,5.347259521484375,8.062554724518302,1.191042184829712,8.38048267364502,4.144035444238022,1.5077919244660436,model.layers.2.mlp.down_proj,4096,13932.705078125,4096,32.19525909423828,432.75642035812723,32.19525909423828,0.13024447858333588,45088768
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.025581836700439453,4096,4096,4.120787620544434,9.295031234312152,1.1072553396224976,9.340611457824707,4.027502899541008,2.255644330702999,model.layers.3.self_attn.q_proj,4058,10653.759765625,4076,180.1541748046875,59.13690191845499,180.1541748046875,1.071966289600823e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.03837692737579346,4096,4096,3.160639524459839,7.493487364337746,1.111829400062561,7.556685924530029,4.0618816105225575,2.370876940045354,model.layers.3.self_attn.k_proj,4045,11531.388671875,4073,234.89671325683594,49.091315548832675,234.89671325683594,1.1009991794708185e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.047355055809020996,4096,4096,5.041987419128418,4.915739357756512,1.1512627601623535,5.664620399475098,3.492343778558396,0.9749606552184278,model.layers.3.self_attn.v_proj,4082,3107.01806640625,4082,9.439753532409668,329.1418632635769,9.439753532409668,1.300673193327384e-05,16777216
Minbyul/llama2-7b-wo-kqa_golden-sft,False,0.01369333267211914,4096,4096,4.238325119018555,6.807762843169111,1.149171233177185,6.8138532638549805,3.473428730440236,1.6062389392028393,model.layers.3.self_attn.o_proj,4082,2974.60107421875,4082,40.38675308227539,73.65288980173597,40.38675308227539,1.1850233931909315e-05,16777216
