model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
PAIXAI/Astrid-7B-LLama-Med,False,0.019882380962371826,4096,4096,1.5519194602966309,4.156186152697288,0.7725523710250854,4.579385757446289,3.4845377309018506,2.678093972674898,model.layers.0.self_attn.q_proj,3027,3051.671142578125,3657,476.5340881347656,6.403888449035992,476.5340881347656,1.0001217560784426e-05,16777216
PAIXAI/Astrid-7B-LLama-Med,False,0.03166091442108154,4096,4096,1.4582432508468628,3.7022691496945823,0.7974995970726013,4.4471516609191895,3.583206137795065,2.538855672772372,model.layers.0.self_attn.k_proj,3110,3830.06494140625,3639,345.8244323730469,11.07517162718767,345.8244323730469,1.0033277249021921e-05,16777216
PAIXAI/Astrid-7B-LLama-Med,False,0.0715508759021759,4096,4096,3.7307701110839844,4.517052454374309,1.0862252712249756,5.345003128051758,3.312350161606576,1.2107560422858294,model.layers.0.self_attn.v_proj,4066,2052.816650390625,4066,16.24635887145996,126.35549089075064,16.24635887145996,1.0981840205204207e-05,16777216
PAIXAI/Astrid-7B-LLama-Med,False,0.053645938634872437,4096,4096,2.226369857788086,2.8591619301351,1.0779253244400024,3.3651211261749268,2.9382992438766853,1.2842259430226464,model.layers.0.self_attn.o_proj,4056,867.5594482421875,4056,19.240924835205078,45.089280046186545,19.240924835205078,1.0285521966579836e-05,16777216
PAIXAI/Astrid-7B-LLama-Med,False,0.01323401927947998,11008,4096,2.693164348602295,5.767750034402712,1.141477346420288,6.416224002838135,4.084326833258373,2.141625718978522,model.layers.0.mlp.gate_proj,4096,12143.0234375,4096,138.55612182617188,87.63974682211627,138.55612182617188,0.03347913548350334,45088768
PAIXAI/Astrid-7B-LLama-Med,False,0.02703702449798584,11008,4096,2.9734785556793213,6.093875220964985,1.1515533924102783,6.6949872970581055,4.069619613517511,2.049409507032001,model.layers.0.mlp.up_proj,4096,11738.689453125,4096,112.04939270019531,104.76352589017235,112.04939270019531,0.024985361844301224,45088768
PAIXAI/Astrid-7B-LLama-Med,False,0.01778876781463623,4096,11008,4.239755630493164,8.053100568807412,1.1771697998046875,8.134988784790039,4.105733694433965,1.8994256439894588,model.layers.0.mlp.down_proj,4096,12756.5634765625,4096,79.32784271240234,160.80814806486728,79.32784271240234,0.15594230592250824,45088768
PAIXAI/Astrid-7B-LLama-Med,False,0.03329908847808838,4096,4096,2.9056897163391113,7.3536001744268225,0.9897613525390625,7.76627779006958,4.070151695172925,2.530758922081897,model.layers.1.self_attn.q_proj,3858,11753.080078125,3983,339.4367980957031,34.62523846578136,339.4367980957031,1.0094387107528746e-05,16777216
PAIXAI/Astrid-7B-LLama-Med,False,0.03284484148025513,4096,4096,3.110645055770874,8.113928167633658,0.9866774678230286,8.368850708007812,4.068561530983592,2.6084390929079757,model.layers.1.self_attn.k_proj,3808,11710.125,3970,405.9187316894531,28.848446957010093,405.9187316894531,1.0141459824808408e-05,16777216
PAIXAI/Astrid-7B-LLama-Med,False,0.021872013807296753,4096,4096,4.216207027435303,4.329648390594028,1.12508225440979,4.80523157119751,3.229282191228637,1.0269060229776552,model.layers.1.self_attn.v_proj,4072,1695.4390869140625,4072,10.639127731323242,159.3588431053823,10.639127731323242,1.128967141994508e-05,16777216
PAIXAI/Astrid-7B-LLama-Med,False,0.01960456371307373,4096,4096,3.782489776611328,4.445975000648636,1.1201932430267334,4.568217754364014,3.0583540967818164,1.1754096542811314,model.layers.1.self_attn.o_proj,4063,1143.810546875,4063,14.976476669311523,76.37380754705784,14.976476669311523,1.0157968063140288e-05,16777216
PAIXAI/Astrid-7B-LLama-Med,False,0.012469649314880371,11008,4096,2.6183021068573,6.027464930301609,1.140540361404419,6.443610668182373,4.1754589230844354,2.3020509797229876,model.layers.1.mlp.gate_proj,4096,14978.17578125,4096,200.47073364257812,74.71502452799312,200.47073364257812,0.017460927367210388,45088768
