model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
TheDrummer/Gemmasutra-9B-v1,False,0.028310954570770264,4096,3584,2.950730323791504,3.5847431700221013,1.0689692497253418,3.962263345718384,2.836350197112071,1.2148664149748292,model.layers.0.self_attn.q_proj,3584,686.0411987304688,3584,16.40085220336914,41.82960679259941,16.40085220336914,1.0662292879715096e-05,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.022839367389678955,2048,3584,3.766397714614868,3.6277146900832054,0.997330367565155,3.6652610301971436,2.518978932934601,0.9631788687653652,model.layers.0.self_attn.k_proj,2048,330.353515625,2048,9.187108993530273,35.95837557360437,9.187108993530273,0.00020691101963166147,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.06906786561012268,2048,3584,2.038372755050659,1.1176458603858441,0.9653787612915039,2.358518600463867,2.4362533253181464,0.5483029821785798,model.layers.0.self_attn.v_proj,2048,273.0570068359375,2048,3.5342965126037598,77.2592242507613,3.5342965126037598,9.056083217728883e-05,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.026802346110343933,3584,4096,3.120847702026367,3.7263384601610854,1.052475094795227,3.9151675701141357,2.7460315252615395,1.194014836975727,model.layers.0.self_attn.o_proj,3584,557.2261962890625,3584,15.632010459899902,35.64648307512907,15.632010459899902,9.590794070390984e-05,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.027935326099395752,14336,3584,2.727972984313965,4.337530359033931,1.140574336051941,4.418624401092529,3.1537642651374704,1.5900195434394082,model.layers.0.mlp.gate_proj,3584,1424.833984375,3584,38.90626525878906,36.622224592814774,38.90626525878906,0.0008181912126019597,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.017271220684051514,14336,3584,4.400360584259033,3.901882578054005,1.160019040107727,4.083924770355225,3.1811749168166674,0.8867188275460463,model.layers.0.mlp.up_proj,3584,1517.6614990234375,3584,7.704045295715332,196.99540186601672,7.704045295715332,0.0008380142971873283,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.008116811513900757,3584,14336,3.4899532794952393,5.733504912482893,1.1400508880615234,5.74778938293457,3.1558303846546347,1.642860076714879,model.layers.0.mlp.down_proj,3584,1431.628662109375,3584,43.94000244140625,32.581442479855205,43.94000244140625,0.017596350982785225,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.05690711736679077,4096,3584,4.641012191772461,5.35580046259829,1.1210523843765259,5.379444599151611,2.914363045159359,1.1540155986000205,model.layers.1.self_attn.q_proj,3584,821.03759765625,3584,14.256587982177734,57.59004880288573,14.256587982177734,0.00047308209468610585,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.05187427997589111,2048,3584,6.92354679107666,4.121169259228431,1.0567617416381836,4.1235880851745605,2.615942734828669,0.5952396053046043,model.layers.1.self_attn.k_proj,2048,412.9930419921875,2048,3.9376726150512695,104.88252385776623,3.9376726150512695,0.000671817921102047,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.05393761396408081,2048,3584,10.70234203338623,1.912986887424647,1.0476727485656738,1.9591690301895142,2.5145280541790935,0.17874469732485052,model.layers.1.self_attn.v_proj,2048,326.98516845703125,2048,1.509192705154419,216.66230385308845,1.509192705154419,0.00328137562610209,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.03218972682952881,3584,4096,4.521986961364746,4.468883785193414,1.1140722036361694,4.510332107543945,2.8434061623868776,0.9882566719840109,model.layers.1.self_attn.o_proj,3584,697.2783203125,3584,9.733222961425781,71.63899594984295,9.733222961425781,0.00043165069655515254,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.02486354112625122,14336,3584,2.729712724685669,4.095949793279292,1.1412837505340576,4.304160118103027,3.1391964307327997,1.5005058064309489,model.layers.1.mlp.gate_proj,3584,1377.83251953125,3584,31.65962791442871,43.52017412381875,31.65962791442871,0.0037092063575983047,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.027021408081054688,14336,3584,5.892093181610107,4.7563118699530005,1.1652454137802124,4.77549934387207,3.18772501943423,0.807236362927523,model.layers.1.mlp.up_proj,3584,1540.724609375,3584,6.415586471557617,240.15335405508657,6.415586471557617,0.0037918942980468273,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.01771777868270874,3584,14336,4.277945518493652,6.659750068536949,1.150183081626892,6.668813705444336,3.1499162006817234,1.5567636473505106,model.layers.1.mlp.down_proj,3584,1412.2650146484375,3584,36.038246154785156,39.18795072831026,36.038246154785156,0.011863683350384235,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.04416096210479736,4096,3584,4.206843376159668,5.849054582080888,1.117697834968567,5.8536882400512695,2.936469868340191,1.390366614366413,model.layers.2.self_attn.q_proj,3584,863.9127197265625,3584,24.567819595336914,35.1644034332838,24.567819595336914,0.0005888976738788188,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.04576081037521362,2048,3584,5.0461530685424805,3.636407423196838,1.0555356740951538,3.893648624420166,2.621831904049253,0.7206296308897284,model.layers.2.self_attn.k_proj,2048,418.6315002441406,2048,5.255688667297363,79.65302489262817,5.255688667297363,0.0017067956505343318,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.04498553276062012,2048,3584,6.460099697113037,1.296984185848723,1.0614382028579712,1.449285864830017,2.521766457073344,0.20076844733964927,model.layers.2.self_attn.v_proj,2048,332.480712890625,2048,1.5877000093460083,209.41028590632658,1.5877000093460083,0.00024034558737184852,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.047272443771362305,3584,4096,3.7613070011138916,4.296178240223097,1.1177042722702026,4.340451717376709,2.8275132244845635,1.1422035582181422,model.layers.2.self_attn.o_proj,3584,672.2227783203125,3584,13.874059677124023,48.45177215351712,13.874059677124023,0.0004901902284473181,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.06403535604476929,14336,3584,2.8831136226654053,4.374030864659755,1.1247895956039429,4.56065559387207,3.1857229128053395,1.5171205290952126,model.layers.2.mlp.gate_proj,3584,1533.63818359375,3584,32.894290924072266,46.62323280151399,32.894290924072266,0.022075379267334938,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.03716468811035156,14336,3584,4.7221574783325195,4.6771590154746505,1.162595272064209,4.72721004486084,3.165200368641891,0.9904707830976958,model.layers.2.mlp.up_proj,3584,1462.8519287109375,3584,9.782971382141113,149.53043115115153,9.782971382141113,0.017896044999361038,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.02072852849960327,3584,14336,4.120224952697754,6.358406627592044,1.1475108861923218,6.433609962463379,3.158857379832409,1.5432183195310296,model.layers.2.mlp.down_proj,3584,1441.641845703125,3584,34.93158721923828,41.27043631470467,34.93158721923828,0.05848180875182152,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.025663256645202637,4096,3584,3.395737886428833,3.4621737000353114,1.1178618669509888,3.6273839473724365,2.9142336274386045,1.0195644704710547,model.layers.3.self_attn.q_proj,3584,820.79296875,3584,10.460789680480957,78.46376744210217,10.460789680480957,0.00029956476646475494,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.026059746742248535,2048,3584,4.596721649169922,3.30940338249916,1.0519989728927612,3.322701930999756,2.590680694236299,0.7199486144863206,model.layers.3.self_attn.k_proj,2048,389.6553955078125,2048,5.247453689575195,74.25609039331167,5.247453689575195,0.00031557545298710465,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.03999507427215576,2048,3584,6.677308559417725,1.0083351161067442,1.0536895990371704,1.4274314641952515,2.519768488572289,0.15100921383729993,model.layers.3.self_attn.v_proj,2048,330.95465087890625,2048,1.4158238172531128,233.7541202838376,1.4158238172531128,0.00286444672383368,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.0482124388217926,3584,4096,4.410381317138672,4.188909084355611,1.1119086742401123,4.2460036277771,2.8127068774034703,0.9497838810620699,model.layers.3.self_attn.o_proj,3584,649.6910400390625,3584,8.908075332641602,72.93281834499294,8.908075332641602,0.000365531537681818,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.03407233953475952,14336,3584,2.621290922164917,4.016504792856907,1.1344887018203735,4.159327030181885,3.186533116646332,1.5322621227939426,model.layers.3.mlp.gate_proj,3584,1536.501953125,3584,34.061370849609375,45.10980958191884,34.061370849609375,0.025595588609576225,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.024976015090942383,14336,3584,4.865945816040039,3.606515895597337,1.1638513803482056,3.9241673946380615,3.1563497652728945,0.7411746928436536,model.layers.3.mlp.up_proj,3584,1433.341796875,3584,5.510293006896973,260.1207948617168,5.510293006896973,0.020044926553964615,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.04075068235397339,3584,14336,4.66664981842041,7.56651095969694,1.1463724374771118,7.597089767456055,3.1542650120902387,1.6214010594559864,model.layers.3.mlp.down_proj,3584,1426.477783203125,3584,41.82164001464844,34.108604605259075,41.82164001464844,0.056149862706661224,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.012243762612342834,4096,3584,3.4642295837402344,3.3479149099658705,1.1074374914169312,3.576246738433838,2.87505490160953,0.9664240862325348,model.layers.4.self_attn.q_proj,3584,749.989013671875,3584,9.25601577758789,81.02719698121793,9.25601577758789,0.0004081079096067697,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.021672874689102173,2048,3584,4.602887153625488,2.993072823244512,1.0415022373199463,3.0298149585723877,2.564175150321495,0.6502598745848032,model.layers.4.self_attn.k_proj,2048,366.58538818359375,2048,4.469509601593018,82.01915218012638,4.469509601593018,0.0005414958577603102,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.0665355920791626,2048,3584,6.6146697998046875,-0.12507929115052585,1.0616047382354736,0.8258659243583679,2.536773144301035,-0.018909377933607373,model.layers.4.self_attn.v_proj,2048,344.17010498046875,2048,0.9573938250541687,359.4864474512313,0.9573938250541687,0.003609637264162302,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.04874742031097412,3584,4096,6.147633075714111,5.866675396517315,1.1158820390701294,5.8668413162231445,2.8144323752434186,0.9542982354775361,model.layers.4.self_attn.o_proj,3584,652.2774658203125,3584,9.001154899597168,72.46597498833223,9.001154899597168,0.00036124506732448936,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.02588188648223877,14336,3584,2.6767539978027344,4.397236534386607,1.1310710906982422,4.496918201446533,3.171892426818956,1.642749590734212,model.layers.4.mlp.gate_proj,3584,1485.567626953125,3584,43.92882537841797,33.81760413933075,43.92882537841797,0.025800460949540138,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.046881020069122314,14336,3584,6.414426803588867,5.522987289589005,1.1672313213348389,5.532011985778809,3.1314727521819465,0.8610258498076395,model.layers.4.mlp.up_proj,3584,1353.545166015625,3584,7.261491775512695,186.40042678008243,7.261491775512695,0.01850023865699768,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.02203381061553955,3584,14336,4.288041114807129,6.970301672121975,1.1481730937957764,6.973292350769043,3.129962272789803,1.625521184499065,model.layers.4.mlp.down_proj,3584,1348.845703125,3584,42.22028732299805,31.947809658563425,42.22028732299805,0.03093990683555603,51380224
TheDrummer/Gemmasutra-9B-v1,False,0.03217323124408722,4096,3584,4.075002670288086,4.573288203596686,1.1033244132995605,4.586223125457764,2.8348696585129765,1.1222785783532685,model.layers.5.self_attn.q_proj,3584,683.7064208984375,3584,13.251913070678711,51.59303545472327,13.251913070678711,0.000245447619818151,14680064
TheDrummer/Gemmasutra-9B-v1,False,0.03732717037200928,2048,3584,5.687918186187744,2.1155052479835197,1.0428506135940552,2.2971675395965576,2.514418561356473,0.3719296197193389,model.layers.5.self_attn.k_proj,2048,326.9027404785156,2048,2.3546676635742188,138.83179589866216,2.3546676635742188,0.0002164733741665259,7340032
TheDrummer/Gemmasutra-9B-v1,False,0.03785398602485657,2048,3584,5.9189019203186035,0.4523322843930738,1.0569355487823486,1.2306874990463257,2.538274319795584,0.07642165565208853,model.layers.5.self_attn.v_proj,2048,345.36181640625,2048,1.1923991441726685,289.63608209051097,1.1923991441726685,0.003895542584359646,7340032
