model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
TheDrummer/Tiger-Gemma-9B-v1,False,0.02626347541809082,4096,3584,3.0314857959747314,3.541706787369015,1.0755201578140259,3.800555944442749,2.8242373725142835,1.1683072347136725,model.layers.0.self_attn.q_proj,3583,667.1713256835938,3583,14.73354434967041,45.28247310013482,14.73354434967041,1.7231606761924922e-05,14680064
TheDrummer/Tiger-Gemma-9B-v1,False,0.02323591709136963,2048,3584,3.8285703659057617,3.6619914821407114,0.9979101419448853,3.6958541870117188,2.5149817436520063,0.9564905779848084,model.layers.0.self_attn.k_proj,2048,327.3269348144531,2048,9.046708106994629,36.1818830610191,9.046708106994629,0.00019835775310639292,7340032
TheDrummer/Tiger-Gemma-9B-v1,False,0.06963685154914856,2048,3584,2.151683807373047,1.1764669530987761,0.9657163023948669,2.3623273372650146,2.4320916118999767,0.5467657232291505,model.layers.0.self_attn.v_proj,2048,270.452880859375,2048,3.521808385848999,76.79375230807089,3.521808385848999,8.726861415198073e-05,7340032
TheDrummer/Tiger-Gemma-9B-v1,False,0.022136211395263672,3584,4096,3.2473340034484863,3.870227720846897,1.0549646615982056,4.017711639404297,2.7373824240813542,1.1918169540727663,model.layers.0.self_attn.o_proj,3584,546.2386474609375,3584,15.553099632263184,35.120886535557574,15.553099632263184,9.103706543100998e-05,14680064
TheDrummer/Tiger-Gemma-9B-v1,False,0.02906864881515503,14336,3584,2.9043636322021484,4.60562827864415,1.1443469524383545,4.629077911376953,3.143690837523088,1.585761585629024,model.layers.0.mlp.gate_proj,3584,1392.1654052734375,3584,38.52667999267578,36.13509924909437,38.52667999267578,0.0001319416769547388,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.012494146823883057,14336,3584,4.584234714508057,4.000127762914738,1.160898208618164,4.097992420196533,3.1766115493019287,0.8725835416444202,model.layers.0.mlp.up_proj,3584,1501.798095703125,3584,7.457333087921143,201.3854119156392,7.457333087921143,0.00011558947880985215,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.007728457450866699,3584,14336,3.6016933917999268,5.916752877842597,1.144046425819397,5.91781759262085,3.146833463630724,1.6427697291816756,model.layers.0.mlp.down_proj,3584,1402.27587890625,3584,43.93086242675781,31.92006260391872,43.93086242675781,0.017544900998473167,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.03976994752883911,4096,3584,3.7582523822784424,3.3088095934857105,1.1261869668960571,3.3832204341888428,2.904814498737143,0.88041175975514,model.layers.1.self_attn.q_proj,3584,803.1829833984375,3584,7.592971324920654,105.7797993734463,7.592971324920654,0.000467888661660254,14680064
TheDrummer/Tiger-Gemma-9B-v1,False,0.046867966651916504,2048,3584,7.674534320831299,4.5575582190987385,1.0573192834854126,4.557668209075928,2.6125417976464274,0.5938546924896764,model.layers.1.self_attn.k_proj,2048,409.77154541015625,2048,3.925135850906372,104.39678038545696,3.925135850906372,0.0006660359213128686,7340032
TheDrummer/Tiger-Gemma-9B-v1,False,0.09391763806343079,2048,3584,2.7531251907348633,0.039927142162841926,1.048163890838623,1.8329426050186157,2.5115160601545905,0.014502479690066176,model.layers.1.self_attn.v_proj,2048,324.7252502441406,2048,1.0339570045471191,314.06068996686446,1.0339570045471191,0.003255451563745737,7340032
TheDrummer/Tiger-Gemma-9B-v1,False,0.028692781925201416,3584,4096,4.902325630187988,4.842675805586998,1.115688443183899,4.8458733558654785,2.8384776770569045,0.9878323414026858,model.layers.1.self_attn.o_proj,3584,689.41015625,3584,9.72371768951416,70.8998531491144,9.72371768951416,0.0004313380632083863,14680064
TheDrummer/Tiger-Gemma-9B-v1,False,0.03172624111175537,14336,3584,2.7914912700653076,4.151658485168464,1.1475633382797241,4.196791172027588,3.1255073551808126,1.4872546905981672,model.layers.1.mlp.gate_proj,3584,1335.0802001953125,3584,30.708223342895508,43.476308781770975,30.708223342895508,0.0029540476389229298,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.02217116951942444,14336,3584,6.375275611877441,3.2859725508485464,1.166263461112976,3.491028070449829,3.1825011667645673,0.5154243911787317,model.layers.1.mlp.up_proj,3584,1522.30322265625,3584,3.2766072750091553,464.59740056946447,3.2766072750091553,0.0027802479453384876,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.012446567416191101,3584,14336,4.526197910308838,7.045865572182665,1.15336012840271,7.0459113121032715,3.1427062914589374,1.5566852603009358,model.layers.1.mlp.down_proj,3584,1389.012939453125,3584,36.031742095947266,38.5497025304629,36.031742095947266,0.011803262867033482,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.028961122035980225,4096,3584,3.733536958694458,3.263602343310403,1.1291308403015137,3.375183582305908,2.9197133220947316,0.8741315217759672,model.layers.2.self_attn.q_proj,3584,831.2149047851562,3584,7.48396110534668,111.06617112044061,7.48396110534668,0.0005709506222046912,14680064
TheDrummer/Tiger-Gemma-9B-v1,False,0.03630715608596802,2048,3584,5.714496612548828,4.073506172583606,1.0586040019989014,4.074796676635742,2.614428518665229,0.7128372713772082,model.layers.2.self_attn.k_proj,2048,411.55560302734375,2048,5.162229061126709,79.72439776578173,5.162229061126709,0.001655649859458208,7340032
TheDrummer/Tiger-Gemma-9B-v1,False,0.046214520931243896,2048,3584,7.6959452629089355,0.4897538877452164,1.0622109174728394,0.8201159238815308,2.5174620166826394,0.06363791204514074,model.layers.2.self_attn.v_proj,2048,329.20166015625,2048,1.1578116416931152,284.3309294030288,1.1578116416931152,0.00023451291781384498,7340032
TheDrummer/Tiger-Gemma-9B-v1,False,0.05313301086425781,3584,4096,3.816753387451172,4.3583127296001,1.1203904151916504,4.362178802490234,2.8206327396912836,1.1418900534494794,model.layers.2.self_attn.o_proj,3584,661.65673828125,3584,13.86404800415039,47.72464276545884,13.86404800415039,0.0004787482903338969,14680064
TheDrummer/Tiger-Gemma-9B-v1,False,0.0664483904838562,14336,3584,2.9064393043518066,4.402127257484694,1.1281886100769043,4.519314289093018,3.1743554943700527,1.5146117969480375,model.layers.2.mlp.gate_proj,3584,1494.016845703125,3584,32.7048225402832,45.681851471993575,32.7048225402832,0.02098105661571026,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.03391510248184204,14336,3584,5.095941543579102,3.078819989659676,1.1649867296218872,3.386197328567505,3.157079526519623,0.6041709786759616,model.layers.2.mlp.up_proj,3584,1435.7523193359375,3584,4.0194902420043945,357.1976128545028,4.0194902420043945,0.016834141686558723,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.015086531639099121,3584,14336,4.48297119140625,6.918759174950921,1.153297781944275,6.918817520141602,3.1485749794709035,1.543342323549618,model.layers.2.mlp.down_proj,3584,1407.9102783203125,3584,34.94156265258789,40.29328316877774,34.94156265258789,0.058017805218696594,51380224
TheDrummer/Tiger-Gemma-9B-v1,False,0.030397534370422363,4096,3584,3.6943299770355225,3.1307459336834964,1.1211496591567993,3.3206851482391357,2.90674143832971,0.8474462089593122,model.layers.3.self_attn.q_proj,3584,806.7545776367188,3584,7.03795051574707,114.62919152836395,7.03795051574707,0.0002960225974675268,14680064
TheDrummer/Tiger-Gemma-9B-v1,False,0.024799108505249023,2048,3584,4.758526802062988,3.4236791413690573,1.0523526668548584,3.432976722717285,2.5877959236870556,0.7194830004708122,model.layers.3.self_attn.k_proj,2048,387.0757141113281,2048,5.241830825805664,73.84361055792658,5.241830825805664,0.0003123119822703302,7340032
TheDrummer/Tiger-Gemma-9B-v1,False,0.03503972291946411,2048,3584,7.7452778816223145,1.1618973549073817,1.054222583770752,1.3233911991119385,2.5160560023140484,0.15001364349551424,model.layers.3.self_attn.v_proj,2048,328.1376037597656,2048,1.4125819206237793,232.29633550375894,1.4125819206237793,0.0028409059159457684,7340032
