model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.026725590229034424,4096,4096,2.458864212036133,7.388289974683336,0.8963837027549744,7.417270183563232,3.769685133627829,3.0047572120972275,model.layers.0.self_attn.q_proj,2784,5884.1689453125,3356,1011.0140991210938,5.8200661597378245,1011.0140991210938,1.0049700904346537e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.04717612266540527,1024,4096,2.79366135597229,7.108036701470145,0.7962372303009033,7.158383369445801,3.4844265688761404,2.5443444268127138,model.layers.0.self_attn.k_proj,1014,3050.89013671875,1023,350.2228088378906,8.711283387972971,350.2228088378906,1.0615717656037305e-05,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.04789990186691284,1024,4096,3.4533474445343018,3.3807459479570445,0.9844179153442383,3.430649518966675,2.3855535559146572,0.9789764865124807,model.layers.0.self_attn.v_proj,1024,242.9705047607422,1024,9.527445793151855,25.502166061693543,9.527445793151855,0.004156613256782293,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.009910523891448975,4096,4096,3.6953165531158447,5.107386203978112,1.1219103336334229,5.148526668548584,3.0709976529323586,1.3821241375577493,model.layers.0.self_attn.o_proj,4065,1177.599609375,4065,24.10594367980957,48.851006416368705,24.10594367980957,1.0269338417856488e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.022105753421783447,14336,4096,2.9534263610839844,5.930568224818814,1.1657159328460693,6.345441818237305,3.9901815825979576,2.008029826970916,model.layers.0.mlp.gate_proj,4096,9776.458984375,4096,101.86613464355469,95.97359336922263,101.86613464355469,0.0244886577129364,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.03453242778778076,14336,4096,3.8106563091278076,5.7371134676778395,1.1885771751403809,6.283629894256592,3.9140039904442445,1.5055447152070673,model.layers.0.mlp.up_proj,4096,8203.5908203125,4096,32.02909851074219,256.1293074658692,32.02909851074219,0.027531594038009644,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.020390987396240234,4096,14336,3.4226295948028564,5.680372801176702,1.1899266242980957,6.016791820526123,3.914399099595235,1.6596516344632062,model.layers.0.mlp.down_proj,4096,8211.0576171875,4096,45.67216873168945,179.782520629249,45.67216873168945,0.16264505684375763,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.035543546080589294,4096,4096,3.573979377746582,7.922618058881318,1.0613118410110474,7.98311185836792,3.800692516456826,2.216749796658475,model.layers.1.self_attn.q_proj,3799,6319.642578125,3871,164.7213134765625,38.36566407069232,164.7213134765625,1.0106930858455598e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.03313988447189331,1024,4096,4.103895664215088,8.013423519238716,0.9242424964904785,8.094704627990723,3.499683995689327,1.952638218635455,model.layers.1.self_attn.k_proj,1011,3159.9775390625,1020,89.66815185546875,35.24080148496756,89.66815185546875,1.0159654266317375e-05,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.05055111646652222,1024,4096,6.9780049324035645,2.1430257371463255,1.0214639902114868,2.351672649383545,2.532003287610264,0.3071115251287395,model.layers.1.self_attn.v_proj,1024,340.4107666015625,1024,2.0282034873962402,167.83856684842496,2.0282034873962402,0.017368847504258156,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.025039926171302795,4096,4096,3.7730655670166016,5.332184097790116,1.1289438009262085,5.365431308746338,3.1913525819942477,1.4132232804017568,model.layers.1.self_attn.o_proj,4072,1553.6478271484375,4072,25.89543914794922,59.99696773906528,25.89543914794922,1.0918043699348345e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.022322356700897217,14336,4096,3.058804512023926,5.592550896146266,1.17581307888031,6.071315288543701,4.001407139240524,1.8283453140474906,model.layers.1.mlp.gate_proj,4096,10032.453125,4096,67.3511962890625,148.95731149216752,67.3511962890625,0.03863800689578056,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.025704383850097656,14336,4096,4.222644805908203,6.511910300448492,1.1898376941680908,6.681082248687744,3.9299215860380814,1.5421401988008119,model.layers.1.mlp.up_proj,4096,8509.84375,4096,34.84497833251953,244.2200901602535,34.84497833251953,0.041167646646499634,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.05560261011123657,4096,14336,4.384920120239258,8.274944261807885,1.1888408660888672,8.339274406433105,3.939548793466461,1.8871368314359107,model.layers.1.mlp.down_proj,4096,8700.591796875,4096,77.11463928222656,112.82671977537628,77.11463928222656,0.09449335932731628,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.0236748605966568,4096,4096,4.153560638427734,8.112461635638022,1.1182483434677124,8.13999080657959,3.7702555399489412,1.953134272456142,model.layers.2.self_attn.q_proj,4051,5891.90234375,4062,89.7706298828125,65.63285064882969,89.7706298828125,1.037362471834058e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.03428405523300171,1024,4096,5.668814659118652,9.717283926070879,0.9789179563522339,9.72909164428711,3.5183531317018155,1.714165043381689,model.layers.2.self_attn.k_proj,1024,3298.7783203125,1024,51.780357360839844,63.707137000318994,51.780357360839844,1.6577629139646888e-05,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.04130077362060547,1024,4096,5.217554569244385,1.280284201420508,1.0133570432662964,1.52370285987854,2.368820958060806,0.2453801267297375,model.layers.2.self_attn.v_proj,1024,233.78732299804688,1024,1.7594629526138306,132.87425157246767,1.7594629526138306,0.011877872981131077,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.014589846134185791,4096,4096,3.2525246143341064,4.29767299836562,1.1278278827667236,4.391579627990723,3.1183281530810554,1.321334504103511,model.layers.2.self_attn.o_proj,4070,1313.1917724609375,4070,20.957260131835938,62.6604701282532,20.957260131835938,1.0615018254611641e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.026997148990631104,14336,4096,4.266253471374512,7.968643289382054,1.1871274709701538,8.103489875793457,4.022278797319975,1.8678316567099555,model.layers.2.mlp.gate_proj,4096,10526.3740234375,4096,73.76182556152344,142.70761255302224,73.76182556152344,0.02553272806107998,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.04516023397445679,14336,4096,6.094688415527344,8.855258314504306,1.1940664052963257,8.917956352233887,3.925826669038663,1.4529468466253173,model.layers.2.mlp.up_proj,4096,8429.982421875,4096,28.375717163085938,297.08438286950474,28.375717163085938,0.023876579478383064,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.009509503841400146,4096,14336,4.338889122009277,6.81501334585084,1.1900526285171509,7.001484394073486,3.9270388146573376,1.5706816086360154,model.layers.2.mlp.down_proj,4096,8453.5439453125,4096,37.21187973022461,227.17325774989746,37.21187973022461,0.12060310691595078,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.019080817699432373,4096,4096,3.3239498138427734,6.683320093502604,1.1219346523284912,6.770493984222412,3.7730806544771545,2.01065613736692,model.layers.3.self_attn.q_proj,4059,5930.3544921875,4069,102.48401641845703,57.866140491342634,102.48401641845703,1.0752060006780084e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.03251376748085022,1024,4096,5.0951151847839355,8.921003444409696,0.9811875224113464,8.945914268493652,3.516266554996502,1.750893379417879,model.layers.3.self_attn.k_proj,1024,3282.96728515625,1024,56.34992980957031,58.26036157011646,56.34992980957031,5.971660357317887e-05,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.049210309982299805,1024,4096,8.192748069763184,2.335290125714245,1.0256797075271606,2.371894359588623,2.508871999951403,0.285043566069492,model.layers.3.self_attn.v_proj,1024,322.7542724609375,1024,1.9277182817459106,167.42813279159387,1.9277182817459106,0.0325569249689579,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.040722548961639404,4096,4096,3.292001485824585,4.170331448662508,1.141543984413147,4.30031156539917,3.23071117022034,1.266807280197177,model.layers.3.self_attn.o_proj,4076,1701.02685546875,4076,18.484481811523438,92.0245897511885,18.484481811523438,1.1485441063996404e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.022852540016174316,14336,4096,3.3145647048950195,6.63471906492181,1.1821130514144897,6.811124801635742,4.0668337662659635,2.0016863919185273,model.layers.3.mlp.gate_proj,4096,11663.630859375,4096,100.3890609741211,116.18428089870989,100.3890609741211,0.02091522142291069,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.0371241569519043,14336,4096,3.859450340270996,5.776339967469633,1.195397973060608,5.95003080368042,3.9110140882113535,1.49667425622687,model.layers.3.mlp.up_proj,4096,8147.30712890625,4096,31.381540298461914,259.62100812832216,31.381540298461914,0.021435081958770752,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.016216397285461426,4096,14336,4.849032402038574,7.6864519479647315,1.1895313262939453,7.730807781219482,3.9082113518625774,1.5851516984570535,model.layers.3.mlp.down_proj,4096,8094.8974609375,4096,38.47261428833008,210.4067428397485,38.47261428833008,0.030214419588446617,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.0256425142288208,4096,4096,3.428109884262085,6.817601787903819,1.1150858402252197,6.912022590637207,3.76365183970797,1.9887349058448682,model.layers.4.self_attn.q_proj,4055,5802.990234375,4065,97.43946838378906,59.55482240028764,97.43946838378906,1.1715996151906438e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.03080996870994568,1024,4096,4.23668098449707,7.468431508673234,0.9775638580322266,7.548957347869873,3.504011658917278,1.7628024238789364,model.layers.4.self_attn.k_proj,1024,3191.62353515625,1024,57.9165153503418,55.10731292878819,57.9165153503418,0.0005420968518592417,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.0322871208190918,1024,4096,8.189451217651367,2.224951199503207,1.0209946632385254,2.395543336868286,2.5685758879356997,0.2716850177588939,model.layers.4.self_attn.v_proj,1024,370.31890869140625,1024,1.869325876235962,198.1029168852427,1.869325876235962,0.02290303073823452,4194304
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.029359906911849976,4096,4096,4.115732192993164,4.648495257105651,1.1380290985107422,4.78771448135376,3.2472687110235583,1.1294455127618581,model.layers.4.self_attn.o_proj,4075,1767.130859375,4075,13.472416877746582,131.16658097879267,13.472416877746582,1.0209270840277895e-05,16777216
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.014739632606506348,14336,4096,3.4755923748016357,7.504770008857072,1.1818135976791382,7.565866470336914,4.107533833499071,2.1592779588502222,model.layers.4.mlp.gate_proj,4096,12809.548828125,4096,144.30386352539062,88.76788545492496,144.30386352539062,0.02523161843419075,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.04185903072357178,14336,4096,6.166944980621338,8.148210323858345,1.1962617635726929,8.226604461669922,3.892238397605639,1.3212717722410081,model.layers.4.mlp.up_proj,4096,7802.5830078125,4096,20.954233169555664,372.3630898194283,20.954233169555664,0.021405361592769623,58720256
Zack-Z/llama31_8bi_CoTsft_rs0_3_e1,False,0.009991228580474854,4096,14336,4.780435562133789,7.304225530003991,1.190748691558838,7.4355974197387695,3.8894548496759147,1.5279414260619562,model.layers.4.mlp.down_proj,4096,7752.7333984375,4096,33.72418212890625,229.88647638076725,33.72418212890625,0.0972631648182869,58720256
