model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
crumb/llama2-7b-moe-text-exp0-4,True,0.01964239776134491,4096,4096,1.5511870384216309,4.1543341015347,0.7722401022911072,4.577690124511719,3.484251793418384,2.6781645273169845,model.layers.0.self_attn.q_proj,3027,3049.66259765625,3656,476.61151123046875,6.398633951964213,476.61151123046875,1.0035864761448465e-05,16777216
crumb/llama2-7b-moe-text-exp0-4,True,0.03131553530693054,4096,4096,1.4586262702941895,3.7032776920704906,0.7972815036773682,4.448176860809326,3.58302937148998,2.538880429819476,model.layers.0.self_attn.k_proj,3109,3828.50634765625,3640,345.8441467285156,11.070033666527806,345.8441467285156,1.000434895104263e-05,16777216
crumb/llama2-7b-moe-text-exp0-4,True,0.0715366005897522,4096,4096,3.2469801902770996,3.932037570088025,1.086255669593811,4.881443023681641,3.3121115225749547,1.2109829255695157,model.layers.0.self_attn.v_proj,4067,2051.68896484375,4067,16.25484848022461,126.22012240469681,16.25484848022461,1.0676933015929535e-05,16777216
crumb/llama2-7b-moe-text-exp0-4,True,0.05361410975456238,4096,4096,2.2947661876678467,2.9469326705545815,1.077975869178772,3.413480043411255,2.9374267294066527,1.2841973558750779,model.layers.0.self_attn.o_proj,4056,865.8182373046875,4056,19.23965835571289,45.00174697996118,19.23965835571289,1.0006168849940877e-05,16777216
crumb/llama2-7b-moe-text-exp0-4,True,0.013283967971801758,11008,4096,2.6921119689941406,5.765497389982672,1.1414833068847656,6.413748264312744,4.08407731512068,2.141626149426781,model.layers.0.mlp.gate_proj,4096,12136.048828125,4096,138.55625915527344,87.58932221549591,138.55625915527344,0.033372100442647934,45088768
crumb/llama2-7b-moe-text-exp0-4,True,0.026959240436553955,11008,4096,2.9721016883850098,6.090602249163816,1.1515575647354126,6.692113876342773,4.069334962483104,2.049257692953752,model.layers.0.mlp.up_proj,4096,11730.998046875,4096,112.0102310180664,104.73148693875007,112.0102310180664,0.024588488042354584,45088768
crumb/llama2-7b-moe-text-exp0-4,True,0.017658233642578125,4096,11008,4.226233959197998,8.023322902442493,1.1771854162216187,8.107171058654785,4.105529943122767,1.8984568719818482,model.layers.0.mlp.down_proj,4096,12750.580078125,4096,79.15108489990234,161.09166531639963,79.15108489990234,0.15584605932235718,45088768
crumb/llama2-7b-moe-text-exp0-4,True,0.03296387195587158,4096,4096,2.9074478149414062,7.357281275178074,0.9897765517234802,7.77004861831665,4.070130187685733,2.5304946961967554,model.layers.1.self_attn.q_proj,3859,11752.498046875,3984,339.2303466796875,34.64459521946041,339.2303466796875,1.0023829418059904e-05,16777216
crumb/llama2-7b-moe-text-exp0-4,True,0.03281509876251221,4096,4096,3.108703851699829,8.10924594424584,0.9866594076156616,8.364240646362305,4.06850582433746,2.608561745053885,model.layers.1.self_attn.k_proj,3808,11708.623046875,3970,406.03338623046875,28.83660172769405,406.03338623046875,1.0046762326965109e-05,16777216
crumb/llama2-7b-moe-text-exp0-4,True,0.0222795307636261,4096,4096,4.213714599609375,4.328001379304247,1.1250755786895752,4.803160667419434,3.2290266806876393,1.0271225724935114,model.layers.1.self_attn.v_proj,4072,1694.44189453125,4072,10.644433975219727,159.18572076973896,10.644433975219727,1.1150362297485117e-05,16777216
crumb/llama2-7b-moe-text-exp0-4,True,0.01874411106109619,4096,4096,3.788400888442993,4.451974864929645,1.1202187538146973,4.5737104415893555,3.0579183367845677,1.1751593867774053,model.layers.1.self_attn.o_proj,4063,1142.6634521484375,4063,14.967848777770996,76.34119432349064,14.967848777770996,1.0145945452677552e-05,16777216
crumb/llama2-7b-moe-text-exp0-4,True,0.01245969533920288,11008,4096,2.6175882816314697,6.026385861326312,1.140521764755249,6.44230318069458,4.17529284878553,2.302266518999785,model.layers.1.mlp.gate_proj,4096,14972.44921875,4096,200.57025146484375,74.6494014411424,200.57025146484375,0.01742509752511978,45088768
crumb/llama2-7b-moe-text-exp0-4,True,0.06133046746253967,11008,4096,4.032890319824219,7.000194214466586,1.1722160577774048,7.32250452041626,4.12305203715251,1.7357759966979969,model.layers.1.mlp.up_proj,4096,13275.53515625,4096,54.42218780517578,243.93607996383122,54.42218780517578,0.01596316695213318,45088768
crumb/llama2-7b-moe-text-exp0-4,True,0.021370649337768555,4096,11008,4.842000484466553,7.97301107319517,1.188629150390625,8.18636417388916,4.13566090553394,1.6466357446210713,model.layers.1.mlp.down_proj,4096,13666.61328125,4096,44.323673248291016,308.3366580358261,44.323673248291016,0.20781061053276062,45088768
