model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
grimjim/Magot-v2-Gemma2-8k-9B,False,0.026518821716308594,4096,3584,3.031588315963745,3.541363133272728,1.0755096673965454,3.800198554992676,2.8241404583497967,1.1681543680006317,model.layers.0.self_attn.q_proj,3583,667.0224609375,3583,14.72835922241211,45.28830746621752,14.72835922241211,1.6495007002959028e-05,14680064
grimjim/Magot-v2-Gemma2-8k-9B,False,0.023494362831115723,2048,3584,3.829193353652954,3.661800221301295,0.9978907704353333,3.695704221725464,2.5148722841653686,0.9562850143903101,model.layers.0.self_attn.k_proj,2048,327.24444580078125,2048,9.042427062988281,36.18989055938657,9.042427062988281,0.00019793045066762716,7340032
grimjim/Magot-v2-Gemma2-8k-9B,False,0.06994244456291199,2048,3584,2.1516551971435547,1.1764476409003966,0.9657082557678223,2.3621630668640137,2.431975600938393,0.5467640179812259,model.layers.0.self_attn.v_proj,2048,270.3806457519531,2048,3.521794557571411,76.7735429571464,3.521794557571411,8.680677274242043e-05,7340032
grimjim/Magot-v2-Gemma2-8k-9B,False,0.022527307271957397,3584,4096,3.2468085289001465,3.870095320965769,1.0549348592758179,4.017516613006592,2.7372773022398733,1.1919690633179285,model.layers.0.self_attn.o_proj,3584,546.1064453125,3584,15.558547973632812,35.10009071784788,15.558547973632812,9.177114407066256e-05,14680064
grimjim/Magot-v2-Gemma2-8k-9B,False,0.02912813425064087,14336,3584,2.902108669281006,4.602284292471426,1.1443209648132324,4.625859260559082,3.1435325838923274,1.585841474920247,model.layers.0.mlp.gate_proj,3584,1391.658203125,3584,38.53376770019531,36.115290203453064,38.53376770019531,0.00010646690498106182,51380224
grimjim/Magot-v2-Gemma2-8k-9B,False,0.012756407260894775,14336,3584,4.585506439208984,3.9983005245357064,1.160902976989746,4.096367359161377,3.1763672353322887,0.8719430618061518,model.layers.0.mlp.up_proj,3584,1500.9534912109375,3584,7.446343421936035,201.56920063467774,7.446343421936035,0.00010034926526714116,51380224
grimjim/Magot-v2-Gemma2-8k-9B,False,0.007702291011810303,3584,14336,3.602052688598633,5.917659321159117,1.144029140472412,5.918720245361328,3.146622227867118,1.6428575128536955,model.layers.0.mlp.down_proj,3584,1401.593994140625,3584,43.93974304199219,31.898092640213083,43.93974304199219,0.01754242554306984,51380224
grimjim/Magot-v2-Gemma2-8k-9B,False,0.03865276277065277,4096,3584,3.7981622219085693,3.3443440074727206,1.1261813640594482,3.4139087200164795,2.90468520779842,0.8805163687274511,model.layers.1.self_attn.q_proj,3584,802.9439086914062,3584,7.5948004722595215,105.72284441496633,7.5948004722595215,0.0004703210142906755,14680064
grimjim/Magot-v2-Gemma2-8k-9B,False,0.04714024066925049,2048,3584,7.673116683959961,4.557240156221884,1.0573101043701172,4.557349681854248,2.612435114314626,0.5939229577660967,model.layers.1.self_attn.k_proj,2048,409.6708984375,2048,3.925752878189087,104.35473427621287,3.925752878189087,0.0006653821328654885,7340032
grimjim/Magot-v2-Gemma2-8k-9B,False,0.09402897953987122,2048,3584,2.7425456047058105,0.03938996744316601,1.048163890838623,1.835396409034729,2.511404335511819,0.01436255695277356,model.layers.1.self_attn.v_proj,2048,324.6417236328125,2048,1.0336239337921143,314.0810821221807,1.0336239337921143,0.0032550469040870667,7340032
grimjim/Magot-v2-Gemma2-8k-9B,False,0.028421342372894287,3584,4096,4.904597282409668,4.84497872840723,1.1156796216964722,4.8481621742248535,2.8383864661058102,0.9878443528449807,model.layers.1.self_attn.o_proj,3584,689.265380859375,3584,9.723986625671387,70.88300379185117,9.723986625671387,0.0004271499637980014,14680064
grimjim/Magot-v2-Gemma2-8k-9B,False,0.03151679039001465,14336,3584,2.789773464202881,4.149343631060419,1.1475414037704468,4.194642543792725,3.1253087259421966,1.487340705008106,model.layers.1.mlp.gate_proj,3584,1334.4697265625,3584,30.714305877685547,43.447823039752116,30.714305877685547,0.002925685839727521,51380224
grimjim/Magot-v2-Gemma2-8k-9B,False,0.022023290395736694,14336,3584,6.374106407165527,3.2796291159007973,1.1662673950195312,3.486314535140991,3.1822488199599155,0.5145237475505529,model.layers.1.mlp.up_proj,3584,1521.4189453125,3584,3.2698192596435547,465.29145023090695,3.2698192596435547,0.0027485599275678396,51380224
grimjim/Magot-v2-Gemma2-8k-9B,False,0.01265794038772583,3584,14336,4.55013370513916,7.083072931030339,1.1533485651016235,7.083116054534912,3.1424924272506187,1.5566735814884614,model.layers.1.mlp.down_proj,3584,1388.3291015625,3584,36.0307731628418,38.53175992887854,36.0307731628418,0.01180647686123848,51380224
