model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.021122097969055176,5120,5120,3.6438050270080566,8.032699981959095,1.165886402130127,8.34481430053711,4.140516114050767,2.204481283279522,model.layers.0.self_attn.q_proj,5048,13820.2568359375,5089,160.13316345214844,86.30477621250091,160.13316345214844,1.051358958648052e-05,26219520
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.02880612015724182,1024,5120,3.692401885986328,6.489299872830416,1.0013591051101685,6.787727355957031,3.678736517107132,1.757473881014707,model.layers.0.self_attn.k_proj,1024,4772.396484375,1024,57.21025466918945,83.41854990806694,57.21025466918945,0.020971380174160004,5243904
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.07470118999481201,1024,5120,5.47480583190918,7.004740508951066,1.0203574895858765,7.062533855438232,3.1762715414920413,1.2794500342139743,model.layers.0.self_attn.v_proj,1024,1500.622802734375,1024,19.030492782592773,78.85359669230412,19.030492782592773,0.12355474382638931,5243904
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.037568867206573486,5120,5120,3.725360631942749,7.505748316113732,1.1807664632797241,7.877659320831299,3.937290102725112,2.014770932982007,model.layers.0.self_attn.o_proj,5084,8655.458984375,5100,103.45963287353516,83.66025225466517,103.45963287353516,1.0500996722839773e-05,26214400
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.02984657883644104,27648,5120,4.025712490081787,10.312451931638412,1.1688653230667114,10.433493614196777,4.610493353794884,2.5616464059580424,model.layers.0.mlp.gate_proj,5120,40784.33203125,5120,364.45709228515625,111.90434455680663,364.45709228515625,0.023196334019303322,141557760
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.026903748512268066,27648,5120,8.915393829345703,19.752715137702744,1.1767209768295288,19.7557430267334,4.574569097811433,2.2155740414613168,model.layers.0.mlp.up_proj,5120,37546.46875,5120,164.27597045898438,228.5572786153433,164.27597045898438,0.02226550318300724,141557760
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.0266873836517334,5120,27648,5.293905735015869,12.147145532700367,1.2366153001785278,12.239486694335938,4.723572035718311,2.2945526688083264,model.layers.0.mlp.down_proj,5120,52914.17578125,5120,197.03921508789062,268.546419846665,197.03921508789062,1.035941243171692,141557760
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.054995208978652954,5120,5120,1.606140375137329,3.1432324991764187,0.7932709455490112,3.6883604526519775,2.9094806141900786,1.9570098279284365,model.layers.1.self_attn.q_proj,2744,811.8590087890625,3297,90.57530975341797,8.963358899895189,90.57530975341797,1.0002264389186166e-05,26219520
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.03120887279510498,1024,5120,1.4803876876831055,2.537694705804137,0.6608631610870361,3.2260143756866455,2.686426069506375,1.7142095458628002,model.layers.1.self_attn.k_proj,1013,485.76483154296875,1020,51.78566360473633,9.380295582396295,51.78566360473633,1.1494560567371082e-05,5243904
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.04807281494140625,1024,5120,3.1242916584014893,3.3707963244509167,0.9122057557106018,4.052382946014404,2.741935716291898,1.078899377203327,model.layers.1.self_attn.v_proj,1024,551.9957275390625,1024,11.99221420288086,46.029508662917145,11.99221420288086,0.0001815706491470337,5243904
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.0344509482383728,5120,5120,2.9208877086639404,6.994089468454347,1.0853344202041626,7.078714847564697,3.687559092414523,2.3945081653459224,model.layers.1.self_attn.o_proj,4942,4870.337890625,5055,248.03225708007812,19.63590521636302,248.03225708007812,1.0367996765126009e-05,26214400
jpacifico/Chocolatine-32B-Instruct-DPO-v1.2,False,0.050686001777648926,27648,5120,2.6577858924865723,8.063437686142786,0.847511351108551,8.067153930664062,3.5788206242137863,3.033892876374173,model.layers.1.mlp.gate_proj,2226,3791.58349609375,2845,1081.167236328125,3.506935253579065,1081.167236328125,1.0010881851485465e-05,141557760
