model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.027582496404647827,4096,4096,2.4789743423461914,7.366075344843364,0.9095589518547058,7.395989894866943,3.721501874808067,2.9714205665686086,model.layers.0.self_attn.q_proj,2861,5266.2548828125,3605,936.3119506835938,5.624466161056312,936.3119506835938,1.0019500223279465e-05,16777216
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.04314824938774109,1024,4096,2.6401286125183105,6.6770681853015965,0.7949541211128235,6.73492431640625,3.4435602252154154,2.529069286110503,model.layers.0.self_attn.k_proj,1017,2776.89990234375,1024,338.1187744140625,8.212794179074894,338.1187744140625,5.337625043466687e-05,4194304
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.033911675214767456,1024,4096,4.519575119018555,1.6150523575540559,1.0084145069122314,1.792982578277588,2.2481264795853666,0.35734605909255723,model.layers.0.self_attn.v_proj,1024,177.0624542236328,1024,2.2769110202789307,77.76432747993023,2.2769110202789307,0.004768161568790674,4194304
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.011844277381896973,4096,4096,3.679230213165283,4.79963871169538,1.1205251216888428,4.8388671875,2.9649425823227613,1.3045225315124265,model.layers.0.self_attn.o_proj,4060,922.449462890625,4060,20.16148567199707,45.753050042926375,20.16148567199707,1.0270819984725676e-05,16777216
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.021306335926055908,14336,4096,3.058121681213379,5.821101191094334,1.169379711151123,6.165194988250732,3.894175335173596,1.9034890687491153,model.layers.0.mlp.gate_proj,4096,7837.4599609375,4096,80.07354736328125,97.87826590696876,80.07354736328125,0.015555819496512413,58720256
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.0347898006439209,14336,4096,4.067285537719727,5.773399088429285,1.190840721130371,6.074199676513672,3.809562739325887,1.4194722831449078,model.layers.0.mlp.up_proj,4096,6450.044921875,4096,26.27073860168457,245.52202432029836,26.27073860168457,0.01782456785440445,58720256
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.02567458152770996,4096,14336,3.6018402576446533,5.672585430435819,1.191319465637207,5.840067386627197,3.80735969813031,1.5749131068198137,model.layers.0.mlp.down_proj,4096,6417.40869140625,4096,37.57622146606445,170.78376805932683,37.57622146606445,0.12153100222349167,58720256
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.0332145094871521,4096,4096,3.609935760498047,7.903859658723361,1.0622670650482178,7.94603967666626,3.7520045702703335,2.1894737699246205,model.layers.1.self_attn.q_proj,3772,5649.42919921875,3840,154.69410705566406,36.520002647456366,154.69410705566406,1.0289779311278835e-05,16777216
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.029135286808013916,1024,4096,4.09785795211792,7.8031240433899525,0.926179826259613,7.892521858215332,3.4600456205433505,1.9041958346450292,model.layers.1.self_attn.k_proj,999,2884.33447265625,1012,80.20396423339844,35.962492630197936,80.20396423339844,1.1390283361834008e-05,4194304
lightblue/suzume-llama-3-8B-multilingual-orpo-borda-full,False,0.04757589101791382,1024,4096,8.777145385742188,1.6717442900469406,1.0216567516326904,1.693590521812439,2.400752787125762,0.1904656031746453,model.layers.1.self_attn.v_proj,1024,251.62442016601562,1024,1.5504779815673828,162.2882899063473,1.5504779815673828,0.012063045985996723,4194304
