model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.07519161701202393,2048,2048,2.275890350341797,5.303802372653672,0.9936810731887817,5.641348838806152,3.748913340467389,2.3304296588177627,model.layers.0.self_attn.q_proj,2043,5609.3603515625,2043,214.00782775878906,26.211005505298065,214.00782775878906,1.3176973880035803e-05,4196352
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.05589252710342407,2048,2048,3.529625177383423,4.329067438247732,1.0563141107559204,4.598830223083496,3.2894953507015274,1.2264949451252924,model.layers.0.self_attn.o_proj,2044,1947.5802001953125,2044,16.845928192138672,115.61133218555277,16.845928192138672,1.2313949810049962e-05,4194304
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.01935756206512451,11008,2048,4.483144760131836,9.950122712349044,1.0509158372879028,10.02308177947998,4.209105209259864,2.2194515780160624,model.layers.0.mlp.gate_proj,2048,16184.720703125,2048,165.74925231933594,97.64581424441772,165.74925231933594,0.008464185521006584,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.044368624687194824,11008,2048,13.150262832641602,20.481970393747968,1.064081072807312,20.50200653076172,4.09767159952598,1.5575331576573201,model.layers.0.mlp.up_proj,2048,12521.939453125,2048,36.10215759277344,346.8473988278062,36.10215759277344,0.015656109899282455,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.019332706928253174,2048,11008,5.944011211395264,10.126847634686168,1.0866740942001343,10.370301246643066,4.158418271509228,1.7037060117369882,model.layers.0.mlp.down_proj,2048,14401.849609375,2048,50.54823684692383,284.9129961345317,50.54823684692383,0.30108290910720825,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.050158679485321045,2048,2048,3.5159616470336914,6.099666955927422,0.9729822278022766,6.641973972320557,3.5429979858908447,1.7348502538625592,model.layers.1.self_attn.q_proj,2033,3491.386962890625,2033,54.306304931640625,64.29063747359524,54.306304931640625,1.0349584954383317e-05,4196352
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.024470150470733643,2048,2048,4.6233344078063965,5.834713580095192,1.0204724073410034,6.1380839347839355,3.318183314586513,1.2620141796888862,model.layers.1.self_attn.o_proj,2040,2080.57470703125,2040,18.281599044799805,113.80704182017759,18.281599044799805,1.0759715223684907e-05,4194304
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.03967767953872681,11008,2048,3.3903462886810303,7.244063890088546,0.9806978702545166,7.304523468017578,3.5178223379323015,2.1366737416391626,model.layers.1.mlp.gate_proj,2047,3294.7490234375,2047,136.9852294921875,24.051856069821053,136.9852294921875,4.366949724499136e-05,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.016163766384124756,11008,2048,2.8656322956085205,6.070977650968306,0.9275721907615662,6.123839378356934,3.3092660601526322,2.118547330818355,model.layers.1.mlp.up_proj,2047,2038.2904052734375,2047,131.38546752929688,15.513819325709909,131.38546752929688,1.783134757715743e-05,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.03553032875061035,2048,11008,3.3577675819396973,7.059667995792853,0.9683181047439575,7.102311134338379,3.2881478529273434,2.1024885801401005,model.layers.1.mlp.down_proj,2048,1941.5467529296875,2048,126.61599731445312,15.334134659997353,126.61599731445312,0.0012461718870326877,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.028714537620544434,2048,2048,2.6379122734069824,4.554582981857019,0.9751073122024536,5.351973533630371,3.5226513067039846,1.726586220388053,model.layers.2.self_attn.q_proj,2034,3331.588134765625,2034,53.28269958496094,62.52663924156664,53.28269958496094,1.041714222083101e-05,4196352
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.06433996558189392,2048,2048,3.2550830841064453,3.914640517833014,1.0092483758926392,4.88144063949585,3.319073206898724,1.2026238399096423,model.layers.2.self_attn.o_proj,2042,2084.84228515625,2042,15.944974899291992,130.75230900795106,15.944974899291992,1.0613628546707332e-05,4194304
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.019531607627868652,11008,2048,3.6460158824920654,8.121145826986645,1.0084723234176636,8.123017311096191,3.512971061637032,2.2274027565222263,model.layers.2.mlp.gate_proj,2048,3258.14990234375,2048,168.81178283691406,19.300488671998615,168.81178283691406,0.00019429995154496282,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.028904348611831665,11008,2048,3.5585994720458984,6.128353109139183,1.0140044689178467,6.656440258026123,3.6468193138866876,1.7221249981290785,model.layers.2.mlp.up_proj,2048,4434.2412109375,2048,52.738162994384766,84.08031222872953,52.738162994384766,8.699829777469859e-05,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.020111560821533203,2048,11008,3.4425981044769287,8.032012687197696,1.0056055784225464,8.033856391906738,3.5396038082356354,2.3331252860310534,model.layers.2.mlp.down_proj,2048,3464.206787109375,2048,215.3402862548828,16.087128179113883,215.3402862548828,0.0023350578267127275,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.03975355625152588,2048,2048,4.9464311599731445,7.147911844218681,1.0194883346557617,7.487549304962158,3.53782462698202,1.4450644541583975,model.layers.3.self_attn.q_proj,2042,3450.0439453125,2042,27.865346908569336,123.81126840561672,27.865346908569336,1.1953778994211461e-05,4196352
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.06235805153846741,2048,2048,4.661537170410156,4.703743374740807,1.0232843160629272,5.719376087188721,3.312029345429182,1.0090541387503162,model.layers.3.self_attn.o_proj,2042,2051.30078125,2042,10.210667610168457,200.89781193221677,10.210667610168457,1.0247263162455056e-05,4194304
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.01581496000289917,11008,2048,3.4634218215942383,8.006869831692681,1.0464775562286377,8.014690399169922,3.793587416314705,2.3118379002437135,model.layers.3.mlp.gate_proj,2048,6217.09375,2048,205.0396728515625,30.321418599320705,205.0396728515625,0.003936416935175657,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.03221166133880615,11008,2048,3.8983404636383057,7.086501139480395,1.055855631828308,7.299881935119629,3.864109839901724,1.8178250990593552,model.layers.3.mlp.up_proj,2048,7313.240234375,2048,65.73930358886719,111.24608620912561,65.73930358886719,0.003121105255559087,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.012329518795013428,2048,11008,3.3455684185028076,7.912753071129945,1.0457953214645386,7.919974327087402,3.8231148557942665,2.3651445976618293,model.layers.3.mlp.down_proj,2048,6654.4912109375,2048,231.81663513183594,28.705839885705522,231.81663513183594,0.21083666384220123,22544384
mrkrak3n/Qwen2.5-3B-Instruct-Flux,False,0.04180994629859924,2048,2048,3.445499897003174,5.026502150457286,1.0067651271820068,5.899021148681641,3.543841507490963,1.4588600495473056,model.layers.4.self_attn.q_proj,2040,3498.1748046875,2040,28.764713287353516,121.61340771039363,28.764713287353516,1.2089204574294854e-05,4196352
