model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.027930915355682373,4096,4096,2.4858131408691406,7.386427325916448,0.8892707228660583,7.416659832000732,3.7239032882255674,2.9714330512123106,model.layers.0.self_attn.q_proj,2833,5295.455078125,3308,936.3388671875,5.655489976648161,936.3388671875,1.0019412911788095e-05,16777216
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.04552522301673889,1024,4096,2.6430580615997314,6.681135160285876,0.7957835793495178,6.740081310272217,3.4459010587947807,2.5278049155840594,model.layers.0.self_attn.k_proj,1012,2791.90771484375,1022,337.1358337402344,8.281254721190319,337.1358337402344,1.0757689778984059e-05,4194304
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.033876895904541016,1024,4096,4.5598931312561035,1.6439456309196556,1.0083682537078857,1.819247841835022,2.2506314130284744,0.36052284200502777,model.layers.0.self_attn.v_proj,1024,178.086669921875,1024,2.2936272621154785,77.64411980245671,2.2936272621154785,0.0039491052739322186,4194304
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.01065140962600708,4096,4096,3.6735823154449463,4.8034703584821346,1.1202399730682373,4.842862606048584,2.9670691539987106,1.3075711787610604,model.layers.0.self_attn.o_proj,4057,926.9774169921875,4057,20.303512573242188,45.65601216283346,20.303512573242188,1.0383103472122457e-05,16777216
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.02142965793609619,14336,4096,3.038630723953247,5.792722900712006,1.1693006753921509,6.142576217651367,3.896399664024273,1.9063596162075578,model.layers.0.mlp.gate_proj,4096,7877.7041015625,4096,80.60456085205078,97.73273395809427,80.60456085205078,0.015800636261701584,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.034749507904052734,14336,4096,4.084068775177002,5.807038728776522,1.1908351182937622,6.104429721832275,3.81173015999451,1.4218758420699826,model.layers.0.mlp.up_proj,4096,6482.3154296875,4096,26.416534423828125,245.38856330224567,26.416534423828125,0.018152428790926933,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.024228274822235107,4096,14336,3.5780768394470215,5.646259872097651,1.191319465637207,5.818178176879883,3.809676248625024,1.5780152650299872,model.layers.0.mlp.down_proj,4096,6451.73095703125,4096,37.84558868408203,170.4751116672382,37.84558868408203,0.1216675341129303,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.03206932544708252,4096,4096,3.61708664894104,7.9229629678155336,1.0618646144866943,7.965381622314453,3.7545883278379146,2.1904266435350968,model.layers.1.self_attn.q_proj,3771,5683.1396484375,3834,155.0338897705078,36.65740217735675,155.0338897705078,1.0062643013952766e-05,16777216
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.029436230659484863,1024,4096,4.0913496017456055,7.795845060825087,0.9262199997901917,7.887279987335205,3.4626468020993597,1.9054458356477115,model.layers.1.self_attn.k_proj,996,2901.661865234375,1008,80.43514251708984,36.07455366437458,80.43514251708984,1.1195626029802952e-05,4194304
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.05015188455581665,1024,4096,8.661479949951172,1.6931099011753283,1.0216596126556396,1.7160685062408447,2.4027541373136763,0.19547582064019822,model.layers.1.self_attn.v_proj,1024,252.78665161132812,1024,1.5684685707092285,161.167814473339,1.5684685707092285,0.012033243663609028,4194304
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.021942555904388428,4096,4096,3.7606582641601562,4.977057000855877,1.1276113986968994,5.008810520172119,3.0784926610776076,1.323453675195178,model.layers.1.self_attn.o_proj,4069,1198.098876953125,4069,21.059772491455078,56.89039981031367,21.059772491455078,1.000529300654307e-05,16777216
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.02225428819656372,14336,4096,3.1541311740875244,5.218507931641226,1.1788239479064941,5.721111297607422,3.9069148932309843,1.654499335510647,model.layers.1.mlp.gate_proj,4096,8070.7685546875,4096,45.1335334777832,178.81978061080244,45.1335334777832,0.026647726073861122,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.03382843732833862,14336,4096,4.554922580718994,4.582096475365632,1.1920875310897827,5.724066734313965,3.8247203016077904,1.0059658301903232,model.layers.1.mlp.up_proj,4096,6679.13623046875,4096,10.13831615447998,658.8013363064568,10.13831615447998,0.027997437864542007,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.02156829833984375,4096,14336,4.7898850440979,6.3751321493928375,1.1963062286376953,6.472299098968506,3.821806855981458,1.330957233983784,model.layers.1.mlp.down_proj,4096,6634.4794921875,4096,21.426795959472656,309.63469782118483,21.426795959472656,0.0669570341706276,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.026966452598571777,4096,4096,3.3835222721099854,6.578017449722235,1.1175097227096558,6.6417694091796875,3.7110417878084045,1.9441330426414312,model.layers.2.self_attn.q_proj,4045,5140.93115234375,4056,87.92918395996094,58.46672197804887,87.92918395996094,1.1477486623334698e-05,16777216
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.03525535762310028,1024,4096,5.5214972496032715,9.278332144737352,0.9784852862358093,9.29320240020752,3.48110737074125,1.6804014790379576,model.layers.2.self_attn.k_proj,1023,3027.661865234375,1023,47.90727615356445,63.19837211218921,47.90727615356445,5.067754682386294e-05,4194304
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.04409092664718628,1024,4096,4.871845245361328,-0.23730251437122962,1.0136677026748657,0.6977291107177734,2.251597529570325,-0.0487089598334788,model.layers.2.self_attn.v_proj,1024,178.4832763671875,1024,0.8939043283462524,199.66709043392424,0.8939043283462524,0.008296203799545765,4194304
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.014267504215240479,4096,4096,3.247417688369751,3.926774790564697,1.1273562908172607,4.022972106933594,3.006188607052599,1.2091991752794795,model.layers.2.self_attn.o_proj,4066,1014.351806640625,4066,16.188222885131836,62.65986166846406,16.188222885131836,1.1009105946868658e-05,16777216
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.022069334983825684,14336,4096,4.587368011474609,8.185408423977378,1.1892831325531006,8.197009086608887,3.931272889041189,1.7843365527907973,model.layers.2.mlp.gate_proj,4096,8536.36328125,4096,60.86064529418945,140.2608079488272,60.86064529418945,0.01781512051820755,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.035051584243774414,14336,4096,10.541508674621582,10.040562338081326,1.1958738565444946,10.085044860839844,3.820549947872999,0.9524786866849266,model.layers.2.mlp.up_proj,4096,6615.30615234375,4096,8.963521957397461,738.0253190414998,8.963521957397461,0.015325958840548992,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.012835562229156494,4096,14336,4.484064102172852,5.912394318682031,1.1913949251174927,6.233012676239014,3.8233553522468804,1.3185347452586706,model.layers.2.mlp.down_proj,4096,6658.17724609375,4096,20.822589874267578,319.75740223947275,20.822589874267578,0.08313528448343277,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.01847255229949951,4096,4096,3.3711533546447754,6.747072106780138,1.1217586994171143,6.802022457122803,3.7149689015423166,2.0014135807509383,model.layers.3.self_attn.q_proj,4058,5187.62890625,4068,100.32601928710938,51.70771194862453,100.32601928710938,1.0081881555379368e-05,16777216
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.036797985434532166,1024,4096,5.028911113739014,8.623157704239581,0.9811815023422241,8.653376579284668,3.480528453529116,1.7147166671292053,model.layers.3.self_attn.k_proj,1024,3023.628662109375,1024,51.846168518066406,58.31923068829582,51.846168518066406,4.7067765990504995e-05,4194304
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.0833185613155365,1024,4096,6.285488605499268,-0.45665887478664446,1.0263128280639648,0.7345161437988281,2.4008979538245296,-0.07265288403945348,model.layers.3.self_attn.v_proj,1024,251.7085418701172,1024,0.8459547162055969,297.5437538774157,0.8459547162055969,0.024794498458504677,4194304
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.03801167011260986,4096,4096,3.26366925239563,3.7745631890879436,1.1408779621124268,3.9163835048675537,3.122378052241306,1.1565397401459423,model.layers.3.self_attn.o_proj,4074,1325.494873046875,4074,14.339689254760742,92.43539727381567,14.339689254760742,1.0610227946017403e-05,16777216
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.022547245025634766,14336,4096,3.5297441482543945,6.806757270283493,1.1842782497406006,6.878074645996094,3.983147649137894,1.9283996188929777,model.layers.3.mlp.gate_proj,4096,9619.392578125,4096,84.80073547363281,113.43524940436357,84.80073547363281,0.014094463549554348,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.02421283721923828,14336,4096,9.68968677520752,8.528247092472363,1.196892261505127,8.785674095153809,3.8042320687662006,0.8801365090864577,model.layers.3.mlp.up_proj,4096,6371.35888671875,4096,7.588160514831543,839.6447168276849,7.588160514831543,0.014706065878272057,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.02543017268180847,4096,14336,5.111199855804443,6.165433705291263,1.1907588243484497,6.439877986907959,3.8025619497630747,1.2062595631610056,model.layers.3.mlp.down_proj,4096,6346.904296875,4096,16.07901954650879,394.73204684629496,16.07901954650879,0.013336554169654846,58720256
princeton-nlp/Llama-3-Base-8B-SFT-IPO,False,0.02420908212661743,4096,4096,3.4033944606781006,6.83899670486913,1.114424228668213,6.891666412353516,3.7036882697881848,2.0094634294922464,model.layers.4.self_attn.q_proj,4052,5054.6171875,4063,102.20294952392578,49.45666647631055,102.20294952392578,1.0090706382470671e-05,16777216
