model_id,is_adapter,D,M,N,alpha,alpha_weighted,entropy,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,spectral_norm,stable_rank,xmax,xmin,params
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.02769652009010315,4096,4096,2.4791250228881836,7.366471352763788,0.8882965445518494,7.396420478820801,3.721523699134983,2.9713997014082976,model.layers.0.self_attn.q_proj,2833,5266.51953125,3300,936.2669677734375,5.625019051750225,936.2669677734375,1.0036027561000083e-05,16777216
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.04316762089729309,1024,4096,2.640000581741333,6.676931365173735,0.7952184677124023,6.734790802001953,3.443548999421079,2.529140111313786,model.layers.0.self_attn.k_proj,1013,2776.828125,1022,338.1739196777344,8.211242687331422,338.1739196777344,1.1300935511826538e-05,4194304
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.03519630432128906,1024,4096,4.575784683227539,1.6361357322589472,1.008373737335205,1.8085764646530151,2.2479237683997733,0.35756396892016684,model.layers.0.self_attn.v_proj,1024,176.97982788085938,1024,2.2780537605285645,77.68904797040247,2.2780537605285645,0.004037812352180481,4194304
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.012237310409545898,4096,4096,3.6806581020355225,4.801473902108467,1.120450735092163,4.840632915496826,2.965010623131477,1.3045150538304813,model.layers.0.self_attn.o_proj,4058,922.593994140625,4058,20.1611385345459,45.76100662964891,20.1611385345459,1.0336855666537303e-05,16777216
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.021360933780670166,14336,4096,3.0563347339630127,5.817855052152318,1.1693774461746216,6.16244649887085,3.894155907840717,1.9035398798117134,model.layers.0.mlp.gate_proj,4096,7837.109375,4096,80.08291625976562,97.86243734654596,80.08291625976562,0.01544229220598936,58720256
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.03455829620361328,14336,4096,4.0881757736206055,5.8024927899080625,1.1908442974090576,6.098972797393799,3.8095440648125583,1.419335447205884,model.layers.0.mlp.up_proj,4096,6449.767578125,4096,26.262462615966797,245.58883423992893,26.262462615966797,0.01776493899524212,58720256
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.025955140590667725,4096,14336,3.598414421081543,5.667130857635381,1.1913180351257324,5.835330486297607,3.807301635667486,1.5748966612722897,model.layers.0.mlp.down_proj,4096,6416.55078125,4096,37.574798583984375,170.76740323459634,37.574798583984375,0.12162049114704132,58720256
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.03252577781677246,4096,4096,3.612104654312134,7.907736680395849,1.0618420839309692,7.949828624725342,3.751969022076326,2.189232438477547,model.layers.1.self_attn.q_proj,3770,5648.966796875,3833,154.60816955566406,36.537311146686754,154.60816955566406,1.0186295185121708e-05,16777216
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.02903425693511963,1024,4096,4.09600305557251,7.798841668876448,0.9261171817779541,7.888510704040527,3.4600251078258952,1.9040126589423119,model.layers.1.self_attn.k_proj,997,2884.1982421875,1008,80.1701431274414,35.97596473792834,80.1701431274414,1.1524937690410297e-05,4194304
thinkcoder/llama3-8b-instruct-lora-8-sft,False,0.047504425048828125,1024,4096,8.808295249938965,1.67641382500237,1.0216596126556396,1.697790503501892,2.400663630249439,0.19032216534907662,model.layers.1.self_attn.v_proj,1024,251.57276916503906,1024,1.5499659776687622,162.30857502009104,1.5499659776687622,0.012033616192638874,4194304
